Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Physical Access Control,PE-3,PE-03a.01,Determine if physical access authorizations are enforced at [organization-defined entry and exit points to the facility where the system resides] by verifying individual access authorizations before granting access to the facility,CSP-defined physical access control systems/devices and guards,,Test,,,,,,,,,,,,,,,,,,,
,PE-3,PE-03a.02,Determine if physical access authorizations are enforced at [organization-defined entry and exit points to the facility where the system resides] by controlling ingress and egress to the facility using [organization-defined physical access control systems or devices; guards],CSP-defined physical access control systems/devices and guards,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-3,PE-03b.,Determine if physical access audit logs are maintained for [organization-defined entry or exit points],CSP-defined entry or exit points,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-3,PE-03c.,Determine if access to areas within the facility designated as publicly accessible are maintained by implementing [organization-defined physical access controls],CSP-defined physical access controls,,Test,,,,,,,,,,,,,,,,,,,
,PE-3,PE-03d.[01],Determine if visitors are escorted,,,Test,,,,,,,,,,,,,,,,,,,
,PE-3,PE-03d.[02],Determine if visitor activity is controlled during [organization-defined circumstances requiring visitor escorts and control of visitor activity],in all circumstances within restricted access area where the information system resides,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-3,PE-03e.,"Determine if keys, combinations, and other physical access devices are secured",,,Test,,,,,,,,,,,,,,,,,,,
,PE-3,PE-03f.,Determine if [organization-defined physical access devices] are inventoried [organization-defined frequency],at least annually,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-3,PE-03g.[01],"Determine if combinations are changed [organization-defined frequency], when combinations are compromised, or when individuals possessing the combinations are transferred or terminated",at least annually or earlier as required by a security relevant event,,Test,,,,,,,,,,,,,,,,,,,
,PE-3,PE-03g.[02],"Determine if keys are changed [organization-defined frequency], when keys are lost, or when individuals possessing the keys are transferred or terminated",at least annually or earlier as required by a security relevant event,,Test,,,,,,,,,,,,,,,,,,,
System Access,PE-3 (1),PE-03(01)[01],Determine if physical access authorizations to the system are enforced,,,Test,,,,,,,,,,,,,,,,,,,
,PE-3 (1),PE-03(01)[02],Determine if physical access controls are enforced for the facility at [organization-defined physical spaces containing one or more components of the system],CSP-defined physical spaces containing one or more components of the system,,Test,,,,,,,,,,,,,,,,,,,
Access Control for Transmission,PE-4,PE-04,Determine if physical access to [organization-defined system distribution and transmission lines] within organizational facilities is controlled using [organization-defined security controls].,CSP-defined system distribution and transmission lines; CSP-defined security controls,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Access Control for Output Devices,PE-5,PE-05,Determine if physical access to output from [organization-defined output devices] is controlled to prevent unauthorized individuals from obtaining the output,CSP-defined output devices,,Test,,,,,,,,,,,,,,,,,,,
Monitoring Physical Access,PE-6,PE-06a.,Determine if physical access to the facility where the system resides is monitored to detect and respond to physical security incidents,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-6,PE-06b.[01],Determine if physical access logs are reviewed [organization-defined frequency],at least monthly,,Test,,,,,,,,,,,,,,,,,,,
,PE-6,PE-06b.[02],Determine if physical access logs are reviewed upon occurrence of [organization-defined events or potential indications of events],CSP-defined events or potential indications of events,,Test,,,,,,,,,,,,,,,,,,,
,PE-6,PE-06c.[01],Determine if results of reviews are coordinated with organizational incident response capabilities,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-6,PE-06c.[02],Determine if results of investigations are coordinated with organizational incident response capabilities,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Intrusion Alarms and Surveillance Equipment,PE-6 (1),PE-06(01),Determine if physical access to the facility where the system resides is monitored using physical intrusion alarms and physical surveillance equipment,,,Test,,,,,,,,,,,,,,,,,,,
Monitoring Physical Access to Systems,PE-6 (4),PE-06(04),Determine if physical access to the system is monitored in addition to the physical access monitoring of the facility at [organization-defined physical spaces containing one or more components of the system],CSP-defined physical spaces containing one or more components of the system,,Test,,,,,,,,,,,,,,,,,,,
Visitor Access Records,PE-8,PE-08a.,Determine if visitor access records for the facility where the system resides are maintained for [organization-defined time period],for a minimum of one (1) year,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-8,PE-08b.,Determine if visitor access records are reviewed [organization-defined frequency],at least monthly,,Test,,,,,,,,,,,,,,,,,,,
,PE-8,PE-08c.,Determine if visitor access records anomalies are reported to [organization-defined personnel],CSP-defined personnel,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Automated Records Maintenance and Review,PE-8 (1),PE-08(01)[01],Determine if visitor access records are maintained using [organization-defined automated mechanisms],CSP-defined automated mechanisms,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-8 (1),PE-08(01)[02],Determine if visitor access records are reviewed using [organization-defined automated mechanisms],CSP-defined automated mechanisms,,Test,,,,,,,,,,,,,,,,,,,
Power Equipment and Cabling,PE-9,PE-09,Determine if power equipment and power cabling for the system are protected from damage and destruction,,,Test,,,,,,,,,,,,,,,,,,,
Emergency Shutoff,PE-10,PE-10a.,Determine if the capability to shut off power to [organization-defined system or individual system components] in emergency situations is provided,CSP-defined system or individual system components,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-10,PE-10b.,Determine if emergency shutoff switches or devices are placed in [organization-defined location by system or system component] to facilitate access for authorized personnel,near more than one egress point of the IT area and ensures it is labeled and protected by a cover to prevent accidental shut-off,,Test,,,,,,,,,,,,,,,,,,,
,PE-10,PE-10c.,Determine if the emergency power shutoff capability is protected from unauthorized activation,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Emergency Power,PE-11,PE-11,Determine if an uninterruptible power supply is provided to facilitate [organization-defined selection: an orderly shutdown of the system; transition of the system to long-term alternate power] in the event of a primary power source loss,"CSP-defined selection (an orderly shutdown of the system, transition of the system to long-term alternate power)",,"Interview, Test",,,,,,,,,,,,,,,,,,,
Alternate Power Supply - Minimal Operational Capability,PE-11 (1),PE-11(01)[01],Determine if an alternate power supply provided for the system is activated [organization-defined selection: manually; automatically],automatically,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-11 (1),PE-11(01)[02],Determine if the alternate power supply provided for the system can maintain minimally required operational capability in the event of an extended loss of the primary power source,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Emergency Lighting,PE-12,PE-12[01][02],Determine if automatic emergency lighting that activates in the event of a power outage or disruption is employed and maintained for the system,,,Test,,,,,,,,,,,,,,,,,,,
,PE-12,PE-12[03][04],Determine if automatic emergency lighting for the system covers emergency exits and evacuation routes within the facility,,,Test,,,,,,,,,,,,,,,,,,,
Fire Protection,PE-13,PE-13[01][02][03],"Determine if fire detection systems are:
-employed
-supported by an independent energy source
-maintained",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-13,PE-13[04][05][06],"Determine if fire suppression systems are: 
-employed
-supported by an independent energy source
-maintained",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Detection Systems - Automatic Activation and Notification,PE-13 (1),PE-13(01)[01],Determine if fire detection systems that activate automatically are employed in the event of a fire,,,Test,,,,,,,,,,,,,,,,,,,
,PE-13 (1),PE-13(01)[02][03],Determine if fire detection systems that notify [organization-defined personnel or roles] and [organization-defined emergency responders] automatically are employed in the event of a fire,service provider building maintenance/physical security personnel; service provider emergency responders with incident response responsibilities,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Suppression Systems - Automatic Activation and Notification,PE-13 (2),PE-13(02)(a)[01],Determine if fire suppression systems that activate automatically are employed,,,Test,,,,,,,,,,,,,,,,,,,
,PE-13 (2),PE-13(02)(a)[02][03],Determine if fire suppression systems that notify [organization-defined personnel or roles] and [organization-defined emergency responders] automatically are employed,CSP-defined personnel or roles: CSP-defined emergency responders,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-13 (2),PE-13(02)(b),Determine if an automatic fire suppression capability is employed when the facility is not staffed on a continuous basis,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Environmental Controls,PE-14,PE-14a.,Determine if [Selection: temperature; humidity; pressure; radiation] levels are maintained at [organization-defined acceptable levels for environmental controls] within the facility where the system resides,"CSP-selection; consistent with American Society of Heating, Refrigerating and Air-conditioning Engineers (ASHRAE) document entitled Thermal Guidelines for Data Processing Environments",Requirement: The service provider measures temperature at server inlets and humidity levels by dew point,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-14,PE-14b.,Determine if environmental control levels are monitored [organization-defined frequency],continuously,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Monitoring with Alarms and Notifications,PE-14 (2),PE-14(02)[01],Determine if environmental control monitoring is employed,,,Test,,,,,,,,,,,,,,,,,,,
,PE-14 (2),PE-14(02)[02],Determine if the environmental control monitoring capability provides an alarm or notification to [organization-defined personnel or roles] when changes are potentially harmful to personnel or equipment,CSP-defined personnel or roles,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Water Damage Protection,PE-15,PE-15[01],Determine if the system is protected from damage resulting from water leakage by providing master shutoff or isolation valves,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-15,PE-15[02][03][04],"Determine if the master shutoff or isolation valves are accessible, working, and known to key personnel",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Automation Support,PE-15 (1),PE-15(01)[01],Determine if the presence of water near the system can be detected automatically,,,Test,,,,,,,,,,,,,,,,,,,
,PE-15 (1),PE-15(01)[02],Determine if [organization-defined personnel or roles] is/are alerted using [organization-defined automated mechanisms],service provider building maintenance/physical security personnel; CSP-defined automated mechanisms,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Delivery and Removal,PE-16,PE-16a.[01][02],Determine if [organization-defined types of system components] are authorized and controlled when entering the facility,all information system components,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-16,PE-16a.[03][04],Determine if [organization-defined types of system components] are authorized and controlled when exiting the facility,all information system components,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-16,PE-16b.,Determine if records of the system components are maintained,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Alternate Work Site,PE-17,PE-17a.,Determine if [organization-defined alternate work sites] are determined and documented,CSP-defined alternate work sites,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,PE-17,PE-17b.,Determine if [organization-defined controls] are employed at alternate work sites,CSP-defined controls,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-17,PE-17c.,Determine if the effectiveness of controls at alternate work sites is assessed,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,PE-17,PE-17d.,Determine if a means for employees to communicate with information security and privacy personnel in case of incidents is provided,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Location of System Components,PE-18,PE-18,Determine if system components are positioned within the facility to minimize potential damage from [organization-defined physical and environmental hazards] and to minimize the opportunity for unauthorized access,physical and environmental hazards identified during threat assessment,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
