Area,ID,Title,Basic Criteria,Additional Criteria,"Supplementary Information -
About the Criteria","Supplementary Information -
Complementary Customer Criteria","Supplementary Information -
Notes on Continuous Auditing - Feasibility","Supplementary Information -
Notes on Continuous Auditing"
Personnel (HR),HR-01,Verification of qualification and trustworthiness,"The competency and integrity of all internal and external employees of the Cloud Service Provider with access to cloud customer data or system components under the Cloud Service Provider's responsibility who are responsible to provide the cloud service in the production environment shall be verified prior to commencement of employment in accordance with local legislation and regulation by the Cloud Service Provider.

To the extent permitted by law, the review will cover the following areas:

- Verification of the person through identity card;

- Verification of the CV;

- Verification of academic titles and degrees;

- Request of a police clearance certificate for applicants;

- Certificate of good conduct or national equivalent; and

- Evaluation of the risk to be blackmailed.",,"External employees in the sense of the criteria are those who perform activities in accordance with the processes and procedures of the Cloud Service Provider. Employees of sub-service providers who perform activities according to the sub-service own processes and procedures are not covered by this criterion.

The verification of qualification and trustworthiness can be supported by a specialised service provider. Depending on national legislation, national equivalents of the German certificate of good conduct may also be permitted. The assessment of the extent to which a potential employee can be blackmailed can be carried out, for example, by checking his creditworthiness.",,partially,"A continuous audit is only partially achievable due to the complications between local deviations in laws and regulations.

It would be conceivable to continuously query the process steps stored in the system for each new hire in relation to the specified areas based on a list of employees maintained in the HR system in which new hires are registered.

To do this, the Cloud Service Provider would have to go through and document these steps applying a system-based approach. The auditor could then use an agent or a connected monitoring system to detect any deviations from the standard process."
Personnel (HR),HR-02,Employment terms and conditions,"The Cloud Service Provider's internal and external employees are required by the employment terms and conditions to comply with applicable policies and instructions relating to information security.

The information security policy, and the policies and instructions based on it, are to be acknowledged by the internal and external personnel in a documented form before access is granted to any cloud customer data or system components under the responsibility of the Cloud Service Provider used to provide the cloud service in the production environment.",,The Cloud Service Provider ensures that the policies and instructions reflect applicable legal and regulatory requirements in accordance with SP-01.,,yes,"Due to the obligation of employees to comply with certain requirements, a continuous audit is not practical as compliance with the requirements can be verified as part of a standard audit cycle

A continuous audit of the granting of access only after acknowledgement of the instructions is achievable as far as the Cloud Service Provider designs the approval system to document the appropriate data (e.g., date of acknowledgement, which data the employee had access to and when). A clear definition and differentiation of customer data as well as data in the productive environment is essential.

With the help of this data, the auditor can perform a comparison and detect deviations accordingly. The data could be monitored using an agent on a monitoring system."
Personnel (HR),HR-03,Security training and awareness programme,"The Cloud Service Provider operates a target group-oriented security awareness and training program, which is completed by all internal and external employees of the Cloud Service Provider on a regular basis. The program is regularly updated based on changes to policies and instructions and the current threat situation and includes the following aspects:

- Handling system components used to provide the cloud service in the production environment in accordance with applicable policies and procedures;

- Handling cloud customer data in accordance with applicable policies and instructions and applicable legal and regulatory requirements;

- Information about the current threat situation; and

- Correct behaviour in the event of security incidents.",The learning outcomes achieved through the awareness and training programme are measured and evaluated in a target group-oriented manner. The measurements cover quantitative and qualitative aspects. The results are used to improve the awareness and training programme.,,,yes,"The concept behind the security awareness and training program does not require continuous assessment and is sufficiently covered by the recurring audit.

However, the completion of the training can be traced via training portals. For a continuous audit that each employee has completed and, if necessary, repeated the relevant training courses for his role description, a clear system-based definition of the necessary training courses for each role description must be carried out at the Cloud Service Provider. The expected dates which the respective training course is to be completed must also be recorded. The documentation that the training has been completed by the employee and, if necessary, successfully completed with an examination, should take place in the same portal.

The auditor then has the option of examining the results of the training courses for employees of the Cloud Service Provider for deviations by automatically and continuously comparing the expected training dates with the actual date on which the employees completed the training."
Personnel (HR),HR-04,Disciplinary measures,"In the event of violations of policies and instructions or applicable legal and regulatory requirements, actions are taken in accordance with a defined policy that includes the following aspects:

- Verifying whether a violation has occurred; and

- Consideration of the nature and severity of the violation and its impact.

The internal and external employees of the Cloud Service Provider are informed about possible disciplinary measures.

The use of disciplinary measures is appropriately documented.",,The Cloud Service Provider ensures that the policies and instructions reflect applicable legal and regulatory requirements in accordance with SP-01.,,no,"Continuous audit not practical, as the associated processes and steps can be tested once within a  recurring audit. 

A system-based definition of the violations as well as the corresponding regulations does not appear practical, since in this context individual case decisions are often necessary which cannot be covered by predefined algorithms."
Personnel (HR),HR-05,Responsibilities in the event of termination or change of employment,"Internal and external employees have been informed about which responsibilities, arising from employment terms and conditions relating to information security, will remain in place when their employment is terminated or changed and for how long.",,The Cloud Service Provider ensures that the policies and instructions reflect applicable legal and regulatory requirements in accordance with SP-01.,,yes,"As part of a comprehensive, system-based documentation of HR data, it is conceivable that the employee will receive confirmation that he or she has been informed about the required topics. This should be requested again at the end of the employment relationship.
If such documentation was available in standardised and digital form, the auditor would be able to check each termination for this confirmation and identify any deviations. This makes continuous verification possible."
Personnel (HR),HR-06,Confidentiality agreements,"The non-disclosure or confidentiality agreements to be agreed with internal employees, external service providers and suppliers of the Cloud Service Provider are based on the requirements identified by the Cloud Service Provider for the protection of confidential information and operational details. 

The agreements are to be accepted by external service providers and suppliers when the contract is agreed. The agreements must be accepted by internal employees of the Cloud Service Provider before authorisation to access data of cloud customers is granted.

The requirements must be documented and reviewed at regular intervals (at least annually). If the review shows that the requirements need to be adapted, the non-disclosure or confidentiality agreements are updated.

The Cloud Service Provider must inform the internal employees, external service providers and suppliers and obtain confirmation of the updated confidentiality or non-disclosure agreement.",,"In a confidentiality agreement it should be described:

- Which information must be kept confidential;

- The period for which this confidentiality agreement applies;

- What actions must be taken upon termination of this agreement, e.g. destruction or return of data medium;

- How the ownership of information is regulated;

- What rules apply to the use and disclosure of confidential information to other partners, if necessary; and

- The consequences of a breach of the agreement.

Confidentiality or non-disclosure agreements can be signed by means of an electronic signature, insofar as this is legally binding.",,yes,"The signing of confidentiality agreements with internal employees, external service providers and suppliers can be standardised and stored digitally.

An automated continuous evaluation can then be carried out to check whether all parties have signed such a confidentiality agreement and whether the agreement is up to date."
Asset Management (AM),AM-01,Asset Inventory,"The Cloud Service Provider has established procedures for inventorying assets.

The inventory is performed automatically and/or by the people or teams responsible for the assets to ensure complete, accurate, valid and consistent inventory throughout the asset lifecycle.

Assets are recorded with the information needed to apply the Risk Management Procedure (Cf. OIS-07), including the measures taken to manage these risks throughout the asset lifecycle. Changes to this information are logged.","Logging and monitoring applications take into account the information collected on the assets in order to identify the impact on cloud services and functions in case of events that could lead to a breach of protection objectives, and to support information provided to affected cloud customers in accordance with contractual agreements.","Assets within the meaning of this criteria area are the objects required for the information security of the cloud service during the creation, processing, storage, transmission, deletion or destruction of information in the Cloud Service Provider's area of responsibility, e.g. firewalls, load balancers, web servers, application servers and database servers.

These objects consist of hardware and software objects:
Hardware objects are

- Physical and virtual infrastructure resources (e.g. servers, storage systems, network components); and

- As well as end devices if the Cloud Service Provider has determined in a risk assessment that these could endanger the information security of the cloud service in the event of loss or unauthorised access (e.g. mobile devices used as security tokens for authentication).

Software objects are e.g. hypervisors, containers, operating systems, databases, microservices and programming interfaces (APIs).

The lifecycle of an asset includes:

- Acquisition;

- Commissioning;

- Maintenance;

- Decommissioning; and

- Disposal.",,yes,"The Cloud Service Provider must ensure that assets are automatically captured (in a database). The automatic capture of physical assets must also be ensured. However, it would be conceivable to automatically capture these assets when logging on to a network for the first time. The creation of virtual assets can be directly linked to the entry into the database.

If all assets are recorded automatically, changes to the database can be documented (logs) and these logs can then be continuously evaluated. It is important to ensure that the information contained in the inventory and logs is complete.

If automated processes are available, the auditor can create an evaluation of the changes in the inventory based on the logs.

In order to check the completeness, the first step would be to query all current assets at the Cloud Service Provider. This asset list could then be compared with the entries in the asset management database."
Asset Management (AM),AM-02,Acceptable Use and Safe Handling of Assets Policy,"Policies and instructions for acceptable use and safe handling of assets are documented, communicated and provided in accordance with SP-01 and address the following aspects of the asset lifecycle as applicable to the asset:

- Approval procedures for acquisition, commissioning, maintenance, decommissioning, and disposal by authorised personnel or system components;

- Inventory;

- Classification and labelling based on the need for protection of the information and measures for the level of protection identified;

- Secure configuration of mechanisms for error handling, logging, encryption, authentication and authorisation;

- Requirements for versions of software and images as well as application of patches;

- Handling of software for which support and security patches are not available anymore;

- Restriction of software installations or use of services;

- Protection against malware;

- Remote deactivation, deletion or blocking;

- Physical delivery and transport;

- dealing with incidents and vulnerabilities; and

- Complete and irrevocable deletion of the data upon decommissioning.",,,,partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Asset Management (AM),AM-03,Commissioning of Hardware,"The Cloud Service Provider has an approval process for the use of hardware to be commissioned, which is used to provide the cloud service in the production environment, in which the risks arising from the commissioning are identified, analysed and mitigated. Approval is granted after verification of the secure configuration of the mechanisms for error handling, logging, encryption, authentication and authorisation according to the intended use and based on the applicable policies.",,"The basic criterion applies only to physical hardware objects, such as servers, storage systems, and network components.

Virtual hardware and software objects are considered in the criteria areas (OPS) and (DEV).

The approval process typically considers both the basic approval to use the hardware and the final approval of the configured assets.",,yes,"The approval of the commissioning of hardware by authorised personnel or system components must be digitally documented to allow continuous testing. A ticketing system, for example, is suitable for this purpose.

Both the instance and the verification of the configuration must be stored in the respective ticket.

This makes it possible for the auditor to check the tickets in an automated procedure. This requires an automated comparison of the authorised instance against a database containing all potential approvers. In addition, the verification of the configuration in the ticket must be audited automatically.

The compliant use of the assets can then be ensured via an agent system which checks active assets. The status of this system can then be queried by the auditor for a continuous audit."
Asset Management (AM),AM-04,Decommissioning of Hardware,"The decommissioning of hardware used to operate system components supporting the cloud service production environment under the responsibility of the Cloud Service Provider requires approval based on the applicable policies.

The decommissioning includes the complete and permanent deletion of the data or proper destruction of the media.",,"The deletion of data or physical destruction of data mediums can take place, for example, according to DIN 66399 or BSI IT-Grundschutz module CON.6.",,yes,"The approval of the decommissioning of hardware by authorised personnel or system components must be digitally documented to allow continuous testing. A ticketing system, for example, is suitable for this purpose.

Both the instance and the verification of the complete deletion of the data must be stored in the respective ticket.

This enables the auditor to check the tickets in an automated procedure. This requires an automated comparison of the authorised instance against a database containing all potential approvers. In addition, the deletion of the data documented in the ticket must be audited automatically.

The compliant use of the assets can be ensured via an agent system which checks active assets. The status of this system can then be queried by the auditor for a continuous audit."
Asset Management (AM),AM-05,"Commitment to Permissible Use, Safe Handling and Return of Assets","The Cloud Service Provider's internal and external employees are provably committed to the policies and instructions for acceptable use and safe handling of assets before they can be used if the Cloud Service Provider has determined in a risk assessment that loss or unauthorised access could compromise the information security of the Cloud Service.

Any assets handed over are provably returned upon termination of employment.","Physical assets of internal and external employees are managed centrally.

Central management enables software, data, and policy distribution, as well as remote deactivation, deletion, or locking.","The basic criterion essentially concerns mobile devices (e.g. notebooks, tablets, smartphones, etc.), where confidential information is stored on them which can be used in the event of unauthorised access to obtain privileged access to the cloud service (e.g. if these are used as security tokens for authentication).",,yes,"The obligation of the employees to follow the policies and instructions can be made in digital form. This can be used to create a monitoring system that documents the non-obligation to employee guidelines in the form of logs.

In this case, the auditor can check the exceptions in the form of logs and request evidence of what additional steps the Cloud Service Provider has taken in these cases to minimise the risk.

The compliant use of the assets can then be ensured via an agent system which checks active assets. The status of this system can then be queried by the auditor for a continuous audit."
Asset Management (AM),AM-06,Asset Classification and Labelling,"Assets are classified and, if possible, labelled. Classification and labelling of an asset reflect the protection needs of the information it processes, stores, or transmits.

The need for protection is determined by the individuals or groups responsible for the assets of the Cloud Service Provider according to a uniform schema. The schema provides levels of protection for the confidentiality, integrity, availability, and authenticity protection objectives.","Logging and monitoring applications take the asset protection needs into account in order to inform the responsible stakeholder of events that could lead to a violation of the protection goals, so that the necessary measures are taken with an appropriate priority. Actions for events on assets with a higher level of protection take precedence over events on assets with a lower need for protection.","If the Cloud Service Provider does not make a differentiated classification of the assets, all assets are to be assigned to the highest defined protection requirement.","Cloud customers can use appropriate controls to ensure that the need for protection of the information that can be processed or stored with the cloud service is adequately determined.

Cloud customers can also use appropriate controls to ensure that the information processed or stored with the cloud service is protected against tampering, copying, modifying, redirecting or deleting in accordance with its protection needs.",yes,"The classification of the assets and the determination of the need for protection should take place during the initial acquisition of the assets. Thus, the classification should also be documented in an asset management tool. The determination of the protection requirement can also be carried out in a standardised form and stored digitally. If there are changes in the classification, these should also be recorded in logs.

The auditor can then automatically test whether all assets in the platform are classified and whether the classification was determined using a standardised format. For changes in the classification, it can be automatically reconstructed whether these were also carried out based on the uniform schema. For this purpose, the logs produced can be evaluated as part of a continuous audit."
Physical Security (PS),PS-01,Physical Security and Environmental Control Requirements,"Security requirements for premises and buildings related to the cloud service provided, are based on the security objectives of the information security policy, identified protection requirements for the cloud service and the assessment of risks to physical and environmental security. The security requirements are documented, communicated and provided in a policy or concept according to SP-01.

The security requirements for data centres are based on criteria which comply with established rules of technology. They are suitable for addressing the following risks in accordance with the applicable legal and contractual requirements:

- Faults in planning;

- Unauthorised access;

- Insufficient surveillance;

- Insufficient air-conditioning;

- Fire and smoke; 

- Water;

- Power failure; and

- Air ventilation and filtration.

If the Cloud Service Provider uses premises or buildings operated by third parties to provide the Cloud Service, the document describes which security requirements the Cloud Service Provider places on these third parties. 

The appropriate and effective verification of implementation is carried out in accordance with the criteria for controlling and monitoring subcontractors (cf. SSO-01, SSO-02).","The security requirements include time constraints for self-sufficient operation in the event of exceptional events (e.g. prolonged power outage, heat waves, low water in cold river water supply) and maximum tolerable utility downtime.

The time limits for self-sufficient operation provide for at least 48 hours in the event of a failure of the external power supply.

For a self-sufficient operation during a heat period, the highest outside temperatures measured to date within a radius of at least 50 km around the locations of the premises and buildings have been determined with a safety margin of 3 K. The security requirements stipulate that the permissible operating and environmental parameters of the cooling supply must also be observed on at least five consecutive days with these outside temperatures including the safety margin (cf. PS-06 Protection against failure of the supply facilities).

If water is taken from a river for air conditioning, it is determined at which water levels and water temperatures the air conditioning can be maintained for how long.

The maximum tolerable downtimes of utility facilities are suitable for meeting the availability requirements contained in the service level agreement.","Premises and buildings related to the cloud service provided include data centres and server rooms housing system components used to process cloud customer data and the technical utilities required to operate these system components (e.g. power supply, refrigeration, fire-fighting, telecommunications, security, etc.). Backup or redundancy computer centres.

Premises and buildings operated by third parties are e.g. server housing, colocation, IaaS.

Premises and buildings in which no data from cloud customers is processed or stored (e.g. offices of the Cloud Service Provider, server rooms with system components for internal development and test systems) are not subject to this criteria area.

The recognised rules of technology are defined in relevant standards, e.g. EN 50600 (facilities and infrastructures of data centres).

Incorrect planning can endanger the operational safety and availability of the premises or buildings. This can result from an incorrect assessment of elementary hazards at the site (e.g. air traffic, earthquakes, floods, hazardous substances) as well as an incorrect conception of the bandwidth or energy supply.

Time specifications for self-sustaining operation as well as maximum tolerable downtimes of utility facilities are typically collected during the business impact analysis (cf. BCM-02, BCM-03).",,partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Physical Security (PS),PS-02,Redundancy model,"The cloud service is provided from two locations that are redundant to each other. The locations meet the security requirements of the Cloud Service Provider (cf. PS-01 Security Concept) and are located in an adequate distance to each other to achieve operational redundancy. Operational redundancy is designed in a way that ensures that the availability requirements specified in the service level agreement are met. The functionality of the redundancy is checked at least annually by suitable tests and exercises (cf. BCM-04 - Verification, updating and testing of business continuity). ","The cloud service is provided from more than two locations that provide each other with redundancy. The locations are sufficiently far apart to achieve georedundancy. If two locations fail at the same time, at least one third location is still available to prevent a total service failure. The georedundancy is designed in a way that ensures that the availability requirements specified in the service level agreement are met.. The functionality of the redundancy is checked at least annually by suitable tests and exercises (cf. BCM-04 - Verification, updating and testing of business continuity).","Operational redundancy of the sites to each other in the sense of the basic requirement is given, if based on the assessment of elementary risks at the site corresponding distances of the premises and buildings to these risks are maintained. Very extensive events which, due to their extent, could affect several sites of the same redundancy group simultaneously or in a timely manner (e.g. floods, earthquakes) are not considered.

A georedundancy of the sites to each other in the sense of the optional, more far-reaching requirement is given if a very extensive event at a site under no circumstances affects several sites of the same redundancy group simultaneously or promptly. The BSI publication ""Kriterien für die Standortwahl höchstverfügbarer und georedundanter Rechenzentren"" provides assistance in this regard. 

There are cloud providers who no longer address the issue of reliability of the cloud service on a physical level through redundancy from two independent locations, but through resilience. The cloud service is provided simultaneously from more than two locations. The underlying distributed data centre architecture ensures that the failure of a location or components of a location does not violate the defined availability criteria of the cloud service. Such an architecture can represent an alternative fulfilment (cf. Chapter 4.4.7) of the criterion. The tests and exercises on functionality required in the criterion also apply analogously to resilient architectures.","By means of suitable controls, cloud customers ensure that the existing redundancy model of the cloud provider and the evidence for the verification of the model comply with their own requirements for the availability and reliability of the cloud service.",partially,"An annual audit of the effectiveness of the redundancy is only partially suitable for a continuous audit. A continuous audit could return the date of the last transaction to bring about redundancy.

In addition, it would be possible to document every transaction that contributes to redundancy by means of logs and to evaluate these logs automatically and continuously. In addition, the status of the redundancy could be continuously queried."
