question_id,question,aicm_control_id,aicm_control_title,aicm_domain_title,aicm_control_type,aicm_control_specification
BCR-11.1,Are business-critical equipment supplemented with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance in accordance with applicable industry standards?,BCR-11,Equipment Redundancy,Business Continuity Management and Operational Resilience,Cloud & AI Related,Supplement business-critical equipment with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance in accordance with applicable industry standards.
CCC-01.1,"Are policies and procedures for managing the risks associated with applying changes to assets owned, controlled or used by the organization, established, documented, approved, communicated, applied, evaluated, and maintained?",CCC-01,Change Management Policy and Procedures,Change Control and Configuration Management,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and  maintain policies and procedures for managing the risks  associated with applying changes to assets owned, controlled or  used by the organization. Review and update the policies and  procedures at least annually, or upon significant changes."
CCC-01.2,Are the policies and procedures reviewed and updated at least annually or upon significant changes?,CCC-01,Change Management Policy and Procedures,Change Control and Configuration Management,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and  maintain policies and procedures for managing the risks  associated with applying changes to assets owned, controlled or  used by the organization. Review and update the policies and  procedures at least annually, or upon significant changes."
CCC-02.1,"Is a defined quality change control, approval and testing process incorporating baselines, testing and release standards, established, maintained and implemented?",CCC-02,Quality Testing,Change Control and Configuration Management,Cloud & AI Related,"Establish, maintain and implement a defined quality change  control, approval and testing process incorporating baselines, testing, and release standards."
CCC-03.1,"Is a change management procedure implemented to manage the risks associated with applying changes to assets owned, controlled or used by the organization?",CCC-03,Change Management Technology,Change Control and Configuration Management,Cloud & AI Related,"Implement a change management procedure to manage the risks associated with applying changes to assets owned, controlled or used by the organization."
CCC-04.1,"Are procedures implemented and enforced to authorize the addition, removal, update, and management of assets that are owned, controlled, or used by the organization?",CCC-04,Unauthorized Change Protection,Change Control and Configuration Management,Cloud & AI Related,"Implement and enforce a procedure to authorize the addition, removal, update, and management of assets that are owned, controlled or used by the organization."
CCC-05.1,Are provisions included that limit changes impacting directly service customer owned environments (tenants) to explicitly authorized requests within service level agreements?,CCC-05,Change Agreements,Change Control and Configuration Management,Cloud & AI Related,Include provisions limiting changes directly impacting service customers owned environments (tenants) to explicitly authorized requests within service level agreements.
CCC-06.1,"Are change management and configuration baselines established, documented and implemented for all relevant authorized changes on organization assets?",CCC-06,Change Management Baseline,Change Control and Configuration Management,Cloud & AI Related,"Establish, document and implement change management and configuration baselines for all relevant authorized changes on organization assets. Review and update the baselines at least annually, or upon significant changes."
CCC-06.2,Are the baselines reviewed and updated at least annually or upon significant changes?,CCC-06,Change Management Baseline,Change Control and Configuration Management,Cloud & AI Related,"Establish, document and implement change management and configuration baselines for all relevant authorized changes on organization assets. Review and update the baselines at least annually, or upon significant changes."
CCC-07.1,Are detection measures with proactive notification implemented in case of changes deviating from the established baseline?,CCC-07,Detection of Baseline Deviation,Change Control and Configuration Management,Cloud & AI Related,Implement detection measures with proactive notification in case of changes deviating from the established baseline.
CCC-08.1,"Is a procedure implemented (aligning with the requirements of GRC-04: Policy Exception Process) for the management of exceptions, including emergencies, in the change and configuration process?",CCC-08,Exception Management,Change Control and Configuration Management,Cloud & AI Related,"Implement a procedure for the management of exceptions, including emergencies, in the change and configuration process. Align the procedure with the requirements of GRC-04: Policy Exception Process."
CCC-09.1,Is a process defined and implemented to proactively roll back changes to a previous known good state in case of errors or security concerns?,CCC-09,Change Restoration,Change Control and Configuration Management,Cloud & AI Related,Define and implement a process to proactively roll back changes to a previous known good state in case of errors or security concerns.
CEK-01.1,"Are cryptography, encryption, and key management policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained?",CEK-01,Encryption and Key Management Policy and Procedures,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Cryptography, Encryption and Key Management.  Review and update the policies and procedures at least annually, or upon significant changes."
CEK-01.2,"Are cryptography, encryption, and key management policies and procedures reviewed and updated at least annually or upon significant changes?",CEK-01,Encryption and Key Management Policy and Procedures,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Cryptography, Encryption and Key Management.  Review and update the policies and procedures at least annually, or upon significant changes."
CEK-02.1,"Are cryptography, encryption, and key management roles and responsibilities defined and implemented?",CEK-02,CEK Roles and Responsibilities,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define and implement cryptographic, encryption and key management roles and responsibilities."
CEK-03.1,"Is data protection, at-rest, in-transit and where applicable in-use, provided by using cryptographic libraries certified to approved standards?",CEK-03,Data Protection,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Provide data protection at-rest, in-transit and, where applicable, in-use by using cryptographic libraries certified to approved standards."
CEK-04.1,"Are encryption algorithms utilized following industry standards for protecting data, based on the data classification and associated risks?",CEK-04,Encryption Algorithm,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Utilize encryption algorithms following industry standards for protecting data, based on the data classification and associated risks."
CEK-05.1,"Are standard change management procedures established to review, approve, implement, and communicate cryptography, encryption, and key management technology changes that accommodate internal and external sources?",CEK-05,Encryption Change Management,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Establish a standard change management procedure, to accommodate changes from internal and external sources, for review, approval, implementation and communication of cryptographic, encryption and key management technology changes."
CEK-06.1,"Are changes to cryptography-, encryption- and key management-related systems, policies, and procedures, managed and adopted in a manner that fully accounts for downstream effects of proposed changes, including residual risk, cost, and benefits analysis?",CEK-06,Encryption Change Cost Benefit Analysis,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Manage and adopt changes to cryptography-, encryption-, and key management-related systems (including policies and procedures) that fully account for downstream effects of proposed changes, including residual risk, cost, and benefits analysis."
CEK-07.1,"Is a cryptography, encryption, and key management risk program established and maintained that includes risk assessment, risk treatment, risk context, monitoring,
 and feedback provisions?",CEK-07,Encryption Risk Management,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Establish and maintain an encryption and key management risk program that includes provisions for risk assessment, risk treatment, risk context, monitoring, and feedback."
CEK-08.1,Are service providers providing service customers with the capability to manage their own data encryption keys?,CEK-08,Service Customer Key Management Capability,"Cryptography, Encryption & Key Management",Cloud & AI Related,Service providers must provide the capability for service customers to manage their own data encryption keys.
CEK-09.1,"Are encryption and key management systems, policies, and processes audited with a frequency proportional to the system's risk exposure?",CEK-09,Encryption and Key Management Audit,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Audit encryption and key management systems, policies, and processes with a frequency that is proportional to the risk exposure of the system  with audit occurring preferably continuously but at least annually and after  any security event(s)."
CEK-09.2,"Are encryption and key management systems, policies, and processes audited preferably continuously but at least annually and after any security event?",CEK-09,Encryption and Key Management Audit,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Audit encryption and key management systems, policies, and processes with a frequency that is proportional to the risk exposure of the system  with audit occurring preferably continuously but at least annually and after  any security event(s)."
CEK-10.1,Are cryptographic keys generated using industry-accepted and approved cryptographic libraries that specify algorithm strength and random number generator specifications?,CEK-10,Key Generation,"Cryptography, Encryption & Key Management",Cloud & AI Related,Generate Cryptographic keys using industry accepted cryptographic libraries specifying the algorithm strength and the random number  generator used.
CEK-11.1,Are cryptographic secrets and private keys that are provisioned for a unique purpose properly managed?,CEK-11,Key Purpose,"Cryptography, Encryption & Key Management",Cloud & AI Related,Manage cryptographic secret and private keys that are provisioned for a unique purpose.
CEK-12.1,"Are cryptographic keys rotated based on a cryptoperiod calculated while considering information disclosure risks, and legal and regulatory requirements?",CEK-12,Key Rotation,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Rotate cryptographic keys in accordance with the calculated cryptoperiod, which includes provisions for considering the risk of information disclosure and legal and regulatory requirements."
CEK-13.1,"Are cryptographic keys revoked and removed before the end of the established cryptoperiod (when a key is compromised, or an entity is no longer part of the organization) per defined, implemented, and evaluated processes, procedures, and technical measures which include legal and regulatory requirement provisions?",CEK-13,Key Revocation,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to revoke and remove cryptographic keys prior to the end of its established cryptoperiod, when a key is compromised, or an entity is no longer part of the organization, which include provisions for legal and regulatory requirements."
CEK-14.1,"Are processes, procedures, and technical measures which include provisions for legal and regulatory requirements, defined, implemented and evaluated, to securely destroy cryptographic keys when they are no longer needed?",CEK-14,Key Destruction,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define, implement, and evaluate processes, procedures, and technical measures to securely destroy cryptographic keys when they are no longer needed, which include provisions for legal and regulatory requirements."
CEK-15.1,"Are processes, procedures, and technical measures to create keys in a pre-activated state (i.e., when they have been generated but not authorized for use) defined, implemented, and evaluated, including provisions for legal and regulatory requirements?",CEK-15,Key Activation,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to create keys in a pre-activated state when they have been generated but not authorized for use, which include provisions for legal and regulatory requirements."
CEK-16.1,"Are processes, procedures, and technical measures to monitor, review, and approve key transitions (e.g., from any state to/from suspension) defined, implemented, and evaluated including provisions for legal and regulatory requirements?",CEK-16,Key Suspension,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to monitor, review and approve key transitions from any  state to/from suspension, which include provisions for legal and regulatory  requirements."
CEK-17.1,"Are processes, procedures, and technical measures to deactivate keys (at the time of their expiration date) defined, implemented, and evaluated including provisions for legal and regulatory requirements?",CEK-17,Key Deactivation,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to deactivate keys at the time of their expiration date, which  include provisions for legal and regulatory requirements."
CEK-18.1,"Are processes, procedures, and technical measures to manage archived keys in a secure repository (requiring least privilege access) defined, implemented, and evaluated including provisions for legal and regulatory requirements?",CEK-18,Key Archival,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to manage archived keys in a secure repository requiring least  privilege access, which include provisions for legal and regulatory  requirements."
CEK-19.1,"Are processes, procedures, and technical measures to use compromised keys to encrypt information in specific scenarios (e.g., only in controlled circumstances and thereafter only for data decryption and never for encryption) defined, implemented, and evaluated including provisions for legal and regulatory requirement?",CEK-19,Key Compromise,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to use compromised keys to encrypt information only in  controlled circumstance, and thereafter exclusively for decrypting data  and never for encrypting data, which include provisions for legal and  regulatory requirements."
CEK-20.1,"Are processes, procedures, and technical measures to assess operational continuity risks (versus the risk of losing control of keying material and exposing protected data) defined, implemented, and evaluated, including provisions for legal and regulatory requirement provisions?",CEK-20,Key Recovery,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures to assess the risk to operational continuity versus the risk of  the keying material and the information it protects being exposed if  control of the keying material is lost, which include provisions for legal  and regulatory requirements."
CEK-21.1,"Are key management system processes, procedures, and technical measures defined, implemented, and evaluated to track and report all cryptographic materials and status changes including provisions for legal and regulatory requirements?",CEK-21,Key Inventory Management,"Cryptography, Encryption & Key Management",Cloud & AI Related,"Define, implement and evaluate processes, procedures and technical measures in order for the key management system to track and report  all cryptographic materials and changes in status, which include provisions  for legal and regulatory requirements."
DCS-01.1,"Are the policies and procedures for physical and environmental security, established, 
documented, approved, communicated, applied, evaluated and maintained?",DCS-01,Physical and Environmental Security Policy and Procedures,Datacenter Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for physical and environmental security. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-01.2,"Are the Physical and Environmental Security Policy and Procedures, reviewed at least annually or upon significant changes?",DCS-01,Physical and Environmental Security Policy and Procedures,Datacenter Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for physical and environmental security. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-02.1,"Are policies and procedures for the secure disposal of equipment used outside the organization's premises established, documented, approved, communicated, enforced, and maintained?",DCS-02,Off-Site Equipment Disposal Policy and Procedures,Datacenter Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure disposal of equipment used outside  the organization's premises. If the equipment is not physically destroyed a data destruction procedure that renders recovery of information  impossible must be applied. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-02.2,Is a data destruction procedure applied that renders recovery of information impossible if equipment is not physically destroyed?,DCS-02,Off-Site Equipment Disposal Policy and Procedures,Datacenter Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure disposal of equipment used outside  the organization's premises. If the equipment is not physically destroyed a data destruction procedure that renders recovery of information  impossible must be applied. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-02.3,"Are all policies and procedures for the secure disposal of equipment used outside the organization's premises reviewed and updated at least annually, or upon significant changes?",DCS-02,Off-Site Equipment Disposal Policy and Procedures,Datacenter Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure disposal of equipment used outside  the organization's premises. If the equipment is not physically destroyed a data destruction procedure that renders recovery of information  impossible must be applied. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-03.1,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location established, documented, approved, communicated, implemented, enforced, maintained?",DCS-03,Off-Site Transfer Authorization Policy and Procedures,Datacenter Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location. The relocation or transfer request requires the written or cryptographically verifiable authorization. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-03.2,Are the written or cryptographically verifiable authorizations required for relocation or transfer request?,DCS-03,Off-Site Transfer Authorization Policy and Procedures,Datacenter Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location. The relocation or transfer request requires the written or cryptographically verifiable authorization. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-03.3,"Are policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location reviewed and updated at least annually, or upon significant changes?",DCS-03,Off-Site Transfer Authorization Policy and Procedures,Datacenter Security,Cloud & AI Related,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the relocation or transfer of hardware, software, or data/information to an offsite or alternate location. The relocation or transfer request requires the written or cryptographically verifiable authorization. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-04.1,"Are policies and procedures for maintaining a safe and secure working environment (in offices, rooms, and facilities) established, documented, approved, communicated, applied, evaluated and maintained?",DCS-04,Secure Area Policy and Procedures,Datacenter Security,Cloud-Specific,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for maintaining a safe and secure working environment in offices, rooms, and facilities. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-04.2,"Are policies and procedures for maintaining safe, secure working environments (e.g., offices, rooms, and facilities) reviewed and updated at least annually, or upon significant changes?",DCS-04,Secure Area Policy and Procedures,Datacenter Security,Cloud-Specific,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for maintaining a safe and secure working environment in offices, rooms, and facilities. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-05.1,"Are policies and procedures for the secure transportation of physical media  established, documented, approved, communicated, applied, evaluated, and maintained?",DCS-05,Secure Media Transportation Policy and Procedures,Datacenter Security,Cloud-Specific,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure transportation of physical media. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-05.2,"Are policies and procedures for the secure transportation of physical media reviewed and updated at least annually, or upon significant changes?",DCS-05,Secure Media Transportation Policy and Procedures,Datacenter Security,Cloud-Specific,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure transportation of physical media. Review and update the policies and procedures at least annually, or upon significant changes."
DCS-06.1,Are the physical and logical assets (e.g. applications) classified and documented based on the organizational business risk?,DCS-06,Assets Classification,Datacenter Security,Cloud & AI Related,"Classify and document the physical, and logical assets (e.g., applications) based on the organizational business risk. Review and update the assets’ classification at least annually, or upon significant changes."
DCS-06.2,Is the assets' classification reviewed and updated at least annually or upon significant changes?,DCS-06,Assets Classification,Datacenter Security,Cloud & AI Related,"Classify and document the physical, and logical assets (e.g., applications) based on the organizational business risk. Review and update the assets’ classification at least annually, or upon significant changes."
