Control Name,Control ID,Assessment Procedure,Assessment Objective,Assessment Parameter,Additional FedRAMP Requirements / Guidance,Test Method,Observations / Test Results,Evidence,Assessment Result,Identified Risk,Likelihood Level,Impact Level,Risk Exposure Level,Recommendation for Mitigation,SSP Implementation Differential?,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26
Automated Temporary and Emergency Account Management,AC-2 (2),AC-02(02),Determine if temporary and emergency accounts are automatically [organization-defined value] after [organization-defined time period],disables after no more than 24 hours from last use,,Test,,,,,,,,,,,,,,,,,,,
Disable Accounts,AC-2 (3),AC-02(03)(a)(b)(c)(d),"Determine if accounts are disabled within [organization-defined time period] when the accounts:
a. have expired
b. are no longer associated with a user or individual
c. are in violation of organizational policy; or
d. have been inactive for [organization-defined time period]",24 hours for user accounts; thirty-five (35) days,"Requirement: The service provider defines the time period for non-user accounts (e.g., accounts associated with devices).  The time periods are approved and accepted by the AO. Where user management is a function of the service, reports of activity of consumer users shall be made available.

The service provider defines the time period of inactivity for device identifiers.

Guidance: For DoD clouds, see DoD cloud website for specific DoD requirements that go above and beyond FedRAMP https://public.cyber.mil/dccs/.
","Interview, Test",,,,,,,,,,,,,,,,,,,
Automated Audit Actions,AC-2 (4),AC-02(04),"Determine if account creation, modification, enabling, disabling, and removal actions are automatically audited",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Inactivity Logout,AC-2 (5),AC-02(05),Determine if users are required to log out when [organization-defined time period of expected inactivity or description of when to log out],inactivity is anticipated to exceed fifteen (15) minutes,Guidance: Should use a shorter timeframe than AC-12,"Interview, Test",,,,,,,,,,,,,,,,,,,
Privileged User Accounts,AC-2 (7),AC-02(07)(a),Determine if privileged user accounts are established and administered in accordance with [Selection: role-based access scheme or attribute-based access scheme],CSP-defined value,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2 (7),AC-02(07)(b),Determine if privileged role or attribute assignments are monitored,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2 (7),AC-02(07)(c),Determine if changes to roles or attributes are monitored;,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2 (7),AC-02(07)(d),Determine if access is revoked when privileged role or attribute assignments are no longer appropriate,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Restrictions on Use of Shared and Group Accounts,AC-2 (9),AC-02(09),Determine if the use of shared and group accounts is only permitted if [organization-defined conditions] are met,CSP-defined need with justification statement that explains why such accounts are necessary,"Requirement: Required if shared/group accounts are deployed
","Examine, Interview",,,,,,,,,,,,,,,,,,,
Usage Conditions,AC-2 (11),AC-02(11),Determine if [organization-defined circumstances and/or usage conditions] for [organization-defined system accounts] are enforced,CSP-defined circumstances and/or usage conditions for CSP-defined system accounts,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Account Monitoring for Atypical Usage,AC-2 (12),AC-02(12)(a),Determine if system accounts are monitored for [organization-defined atypical usage],CSP-defined atypical usage,"Requirement: Required for privileged accounts
","Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-2 (12),AC-02(12)(b),Determine if atypical usage of system accounts is reported to [organization-defined personnel or roles],"at a minimum, the ISSO and/or similar role within the organization","Requirement: Required for privileged accounts
","Interview, Test",,,,,,,,,,,,,,,,,,,
Disable Accounts for High-risk Individuals,AC-2 (13),AC-02(13),Determine if accounts of individuals are disabled within [organization-defined time period] of discovery of [organization-defined significant risks],one (1) hour; CSP-defined significant risks,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Access Enforcement,AC-3,AC-03,Determine if approved authorizations for logical access to information and system resources are enforced in accordance with applicable access control policies,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Information Flow Enforcement,AC-4,AC-04,Determine if approved authorizations are enforced for controlling the flow of information within the system and between connected systems based on [organization-defined information flow control policies],CSP-defined information flow control policies,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Flow Control of Encrypted Information,AC-4 (4),AC-04(04),Determine if encrypted information is prevented from bypassing [organization-defined information flow control mechanisms] by [organization-defined values],intrusion detection mechanisms; CSP-defined values,Requirement: The service provider must support Agency requirements to comply with M-21-31 (https://www.whitehouse.gov/wp-content/uploads/2021/08/M-21-31-Improving-the-Federal-Governments-Investigative-and-Remediation-Capabilities-Related-to-Cybersecurity-Incidents.pdf) and M-22-09 (https://www.whitehouse.gov/wp-content/uploads/2022/01/M-22-09.pdf).,"Interview, Test",,,,,,,,,,,,,,,,,,,
Physical or Logical Separation of Information Flows,AC-4 (21),AC-04(21),Determine if information flows are separated logically or physically using [organization-defined mechanisms and/or techniques] to accomplish [organization-defined required separations],CSP-defined mechanisms and/or techniques; CSP-defined required separations,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Separation of Duties,AC-5,AC-05a.,Determine if [organization-defined duties of individuals] are identified and documented,CSP-defined duties of individuals,"Guidance: CSPs have the option to provide a separation of duties matrix as an attachment to the SSP
",Examine,,,,,,,,,,,,,,,,,,,
,AC-5,AC-05b.,Determine if system access authorizations to support separation of duties are defined,,,Examine,,,,,,,,,,,,,,,,,,,
Least Privilege,AC-6,AC-06,"Determine if the principle of least privilege is employed, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Authorize Access to Security Functions,AC-6 (1),AC-06(01)(a),"Determine if access is authorized for [organization-defined individuals and roles] to [organization-defined security functions (deployed in hardware, software and firmware)]",CSP-defined individuals and roles; all functions not publicly accessible,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-6 (1),AC-06(01)(b),Determine if access is authorized for [organization-defined individuals and roles] to [organization-defined security-relevant information],CSP-defined individuals and roles to all security-relevant information not publicly available,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Non-privileged Access for Nonsecurity Functions,AC-6 (2),AC-06(02),Determine if users of system accounts (or roles) with access to [organization-defined security functions or security-relevant information] are required to use non-privileged accounts or roles when accessing non-security functions,all security functions,"Guidance: Examples of security functions include but are not limited to: establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters, system programming, system and security administration, other privileged functions            
","Interview, Test",,,,,,,,,,,,,,,,,,,
Network Access to Privileged Commands,AC-6 (3),AC-06(03)[01],Determine if network access to [organization-defined privileged commands] is authorized only for [organization-defined compelling operational needs],all privileged commands,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-6 (3),AC-06(03)[02],Determine if the rationale for authorizing network access to privileged commands is documented in the security plan for the system,,,Examine,,,,,,,,,,,,,,,,,,,
Privileged Accounts,AC-6 (5),AC-06(05),Determine if privileged accounts on the system are restricted to [organization-defined personnel or roles],CSP-defined personnel or roles,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Review of User Privileges,AC-6 (7),AC-06(07)(a),Determine if privileges assigned to [organization-defined roles and classes] are reviewed [organization-defined frequency] to validate the need for such privileges,"all users with privileges; at a minimum, annually",,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-6 (7),AC-06(07)(b),"Determine if privileges are reassigned or removed, if necessary, to correctly reflect organizational mission and business needs",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Privilege Levels for Code Execution,AC-6 (8),AC-06(08),Determine if [organization-defined software] is prevented from executing at higher privilege levels than users executing the software,any software except software explicitly documented,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Log Use of Privileged Functions,AC-6 (9),AC-06(09),Determine if the execution of privileged functions is logged,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Prohibit Non-privileged Users from Executing Privileged Functions,AC-6 (10),AC-06(10),Determine if non-privileged users are prevented from executing privileged functions,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Unsuccessful Logon Attempts,AC-7,AC-07a.,Determine if a limit of [organization-defined number] consecutive invalid logon attempts by a user during [organization-defined time period] is enforced,,"Requirement: In alignment with NIST SP 800-63B

","Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-7,AC-07b.,Determine if automatically [organization-defined values] when the maximum number of unsuccessful attempts is exceeded,locks the account/node for a minimum of three (3) hours or until unlocked by an administrator,,"Interview, Test",,,,,,,,,,,,,,,,,,,
System Use Notification,AC-8,AC-08a.,"Determine if [organization-defined system use notification] is displayed to users before granting access to the system that provides privacy and security notices consistent with applicable laws, Executive Orders, directives, regulations, policies, standards, and guidelines",see Additional FedRAMP Requirements / Guidance,"Requirement: The service provider shall determine elements of the cloud environment that require the System Use Notification control. The elements of the cloud environment that require System Use Notification are approved and accepted by the AO. 

Requirement: The service provider shall determine how System Use Notification is going to be verified and provide appropriate periodicity of the check. The System Use Notification verification and periodicity are approved and accepted by the AO.

Requirement: If not performed as part of a Configuration Baseline check, then there must be documented agreement on how to provide results of verification and the necessary periodicity of the verification by the service provider. The documented agreement on how to provide verification of the results are approved and accepted by the AO.

Guidance: If performed as part of a Configuration Baseline check, then the % of items requiring setting that are checked and that pass (or fail) check can be provided. ","Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-8,AC-08a.01.02.03.04,"Determine if the system use notification states that:
 - users are accessing a U.S. Government system;
 - system usage may be monitored, recorded, and subject to audit;
 - unauthorized use of the system is prohibited and subject to criminal and civil penalties; and
 - use of the system indicates consent to monitoring and recording",,,Examine,,,,,,,,,,,,,,,,,,,
,AC-8,AC-08b.,Determine if the notification message or banner is retained on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-8,AC-08c.,"Determine if for publicly accessible systems:
 - system use information [organization-defined conditions] is displayed before granting further access to the publicly accessible system;
 - any references to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities are displayed; and
 - a description of the authorized uses of the system is included",see Additional FedRAMP Requirements / Guidance,"Requirement: The service provider shall determine elements of the cloud environment that require the System Use Notification control. The elements of the cloud environment that require System Use Notification are approved and accepted by the AO. 

Requirement: The service provider shall determine how System Use Notification is going to be verified and provide appropriate periodicity of the check. The System Use Notification verification and periodicity are approved and accepted by the AO.

Guidance: If performed as part of a Configuration Baseline check, then the % of items requiring setting that are checked and that pass (or fail) check can be provided. 

Requirement: If not performed as part of a Configuration Baseline check, then there must be documented agreement on how to provide results of verification and the necessary periodicity of the verification by the service provider. The documented agreement on how to provide verification of the results are approved and accepted by the AO.",Examine,,,,,,,,,,,,,,,,,,,
Concurrent Session Control,AC-10,AC-10,Determine if the number of concurrent sessions for each [organization-defined account and/or account types] is limited to [organization-defined number],three (3) sessions for privileged access and two (2) sessions for non-privileged access,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Device Lock,AC-11,AC-11a.,Determine if further access to the system is prevented by [Selection: initiating a device lock after [organization-defined frequency]  of inactivity; requiring the user to initiate a device lock before leaving the system unattended],fifteen (15) minutes; requiring the user to initiate a device lock before leaving the system unattended,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-11,AC-11b.,Determine if device lock is retained until the user re-establishes access using established identification and authentication procedures,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Pattern-hiding Displays,AC-11 (1),AC-11(01),"Determine if information previously visible on the display is concealed, via device lock, with a publicly viewable image",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Session Termination,AC-12,AC-12,Determine if a user session is automatically terminated after [organization-defined conditions or trigger events],CSP-defined conditions or trigger events,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Permitted Actions Without Identification or Authentication,AC-14,AC-14a.,Determine if [organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions are identified,CSP-defined user actions,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-14,AC-14b.,"Determine if:
 - user actions not requiring identification or authentication are documented in the security plan for the system; and
 - a rationale for user actions not requiring identification or authentication is provided in the security plan for the system",,,Examine,,,,,,,,,,,,,,,,,,,
Remote Access,AC-17,AC-17a.,"Determine if:
 - usage restrictions are established and documented for each type of remote access allowed;
 - configuration/connection requirements are established and documented for each type of remote access allowed;
 - implementation guidance is established and documented for each type of remote access allowed",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-17,AC-17b.,Determine if each type of remote access to the system is authorized prior to allowing such connections,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Monitoring and Control,AC-17 (1),AC-17(01),Determine if automated mechanisms are employed to monitor and control remote access methods,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Protection of Confidentiality and Integrity Using Encryption,AC-17 (2),AC-17(02),Determine if cryptographic mechanisms are implemented to protect the confidentiality and integrity of remote access sessions,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Managed Access Control Points,AC-17 (3),AC-17(03),Determine if remote accesses are routed through authorized and managed network access control points,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Privileged Commands and Access,AC-17 (4),AC-17(04)(a)[01][03],Determine if the execution of privileged commands via remote access is authorized only in a format that provides assessable evidence and is authorized only for the following needs: [organization-defined needs requiring remote access],CSP-defined needs requiring remote access,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-17 (4),AC-17(04)(a)[02][04],Determine if access to security-relevant information via remote access is authorized only in a format that provides assessable evidence and is authorized only for the following needs: [organization-defined needs requiring remote access],CSP-defined needs requiring remote access,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-17 (4),AC-17(04)(b),Determine if the rationale for remote access is documented in the security plan for the system,,,Examine,,,,,,,,,,,,,,,,,,,
Wireless Access,AC-18,AC-18a.,"Determine if configuration requirements, connection requirements, and implementation guidance are established for each type of wireless access",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-18,AC-18b.,Determine if each type of wireless access to the system is authorized prior to allowing such connections,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Authentication and Encryption,AC-18 (1),AC-18(01)[01],Determine if wireless access to the system is protected using authentication of [Selection: users; devices].,CSP-defined values,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-18 (1),AC-18(01)[02],Determine if wireless access to the system is protected using encryption,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Disable Wireless Networking,AC-18 (3),AC-18(03),"Determine if when not intended for use, wireless networking capabilities embedded within system components are disabled prior to issuance and deployment",,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Restrict Configurations by Users,AC-18 (4),AC-18(04),Determine if users allowed to independently configure wireless networking capabilities are identified and explicitly authorized,,,"Examined, Interview",,,,,,,,,,,,,,,,,,,
Antennas and Transmission Power Levels,AC-18 (5),AC-18(05)[01],Determine if radio antennas are selected to reduce the probability that signals from wireless access points can be received outside of organization-controlled boundaries,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-18 (5),AC-18(05)[02],Determine if transmission power levels are calibrated to reduce the probability that signals from wireless access points can be received outside of organization-controlled boundaries,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Access Control for Mobile Devices,AC-19,AC-19a.,"Determine if configuration requirements, connection requirements, and implementation guidance are established for organization-controlled mobile devices, including when such devices are outside of the controlled area",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-19,AC-19b.,Determine if the connection of mobile devices to organizational systems is authorized,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Full Device or Container-based Encryption,AC-19 (5),AC-19(05),Determine if [Selection: full-device encryption; container-based encryption] are employed to protect the confidentiality and integrity of information on [organization-defined mobile devices],CSP-defined encryption type; CSP-defined mobile devices,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Use of External Systems,AC-20,AC-20a.,"Determine if [Selection: Establish [organization-defined terms and conditions]; Identify [organization-defined controls asserted to be implemented on external systems] consistent with the trust relationships established with other organizations owning, operating, and/or maintaining external systems, allowing authorized individuals to:
 -  access the system from external systems (if applicable); and
 -  process, store, or transmit organization-controlled information using external systems (if applicable)",CSP-defined selection,"Guidance: The interrelated controls of AC-20, CA-3, and SA-9 should be differentiated as follows:
AC-20 describes system access to and from external systems.
CA-3 describes documentation of an agreement between the respective system owners when data is exchanged between the CSO and an external system.
SA-9 describes the responsibilities of external system owners. These responsibilities would typically be captured in the agreement required by CA-3.","Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-20,AC-20b.,Determine if the use of [organization-defined prohibited types of external systems] is prohibited (if applicable),CSP-defined prohibited types of external systems,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Limits on Authorized Use,AC-20 (1),AC-20(01)(a),"Determine if authorized individuals are permitted to use an external system to access the system or to process, store, or transmit organization-controlled information only after verification of the implementation of controls on the external system as specified in the organization's security and privacy policies and security and privacy plans (if applicable)",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-20 (1),AC-20(01)(b),"Determine if authorized individuals are permitted to use an external system to access the system or to process, store, or transmit organization-controlled information only after retention of approved system connection or processing agreements with the organizational entity hosting the external system (if applicable)",,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
Portable Storage Devices - Restricted Use,AC-20 (2),AC-20(02),Determine if the use of organization-controlled portable storage devices by authorized individuals is restricted on external systems using [organization-defined restrictions],CSP-defined restrictions,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Information Sharing,AC-21,AC-21a.,Determine if authorized users are enabled to determine whether access authorizations assigned to a sharing partner match the information's access and use restrictions for [organization-defined information-sharing circumstances],CSP-defined information-sharing circumstances where user discretion is required to determine whether access authorizations assigned to a sharing partner match the information's access and use restrictions are defined,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-21,AC-21b.,Determine if [organization-defined automated mechanisms] are employed to assist users in making information-sharing and collaboration decisions,CSP-defined automated mechanisms or manual processes that assist users in making information-sharing and collaboration decisions are defined,,"Interview, Test",,,,,,,,,,,,,,,,,,,
Publicly Accessible Content,AC-22,AC-22a.,Determine if designated individuals are authorized to make information publicly accessible,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-22,AC-22b.,Determine if authorized individuals are trained to ensure that publicly accessible information does not contain non-public information,,,"Examine, Interview",,,,,,,,,,,,,,,,,,,
,AC-22,AC-22c.,Determine if the proposed content of information is reviewed prior to posting onto the publicly accessible system to ensure that non-public information is not included,,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,AC-22,AC-22d.,"Determine if the content on the publicly accessible system is reviewed for non-public information [organization-defined frequency] and removed, if discovered",at least quarterly,,"Interview, Test",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
