"subcategory_id","function","category_id","category_name","description"
"GV.AT-P3","Govern-P","GV.AT-P","Awareness and Training","Privacy personnel understand their roles and"
"GV.AT-P4","Govern-P","GV.AT-P","Awareness and Training","Third parties (e.g., service providers, customers,"
"GV.MT-P1","Govern-P","GV.MT-P","Monitoring and Review","Privacy risk is re-evaluated on an ongoing basis and as key factors, including the organization's business environment (e.g., introduction of new technologies), governance (e.g., legal obligations, risk tolerance), data processing, and systems/products/services change."
"GV.MT-P2","Govern-P","GV.MT-P","Monitoring and Review","Privacy values, policies, and training are reviewed and any updates are communicated."
"GV.MT-P3","Govern-P","GV.MT-P","Monitoring and Review","Policies, processes, and procedures for assessing compliance with legal requirements and privacy policies are established and in place."
"GV.MT-P4","Govern-P","GV.MT-P","Monitoring and Review","Policies, processes, and procedures for communicating progress on managing privacy risks are established and in place."
"GV.MT-P5","Govern-P","GV.MT-P","Monitoring and Review","place to receive, analyze, and respond to problematic data actions disclosed to the organization from internal and external sources (e.g.,"
"GV.MT-P6","Govern-P","GV.MT-P","Monitoring and Review","Policies, processes, and procedures incorporate lessons learned from problematic data actions."
"GV.MT-P7","Govern-P","GV.MT-P","Monitoring and Review","Policies, processes, and procedures for receiving, tracking, and responding to complaints, concerns, and questions from individuals about organizational privacy practices are established and in place."
"GV.PO-P1","Govern-P","GV.PO-P","Governance Policies, Processes, and Procedures","Organizational privacy values and policies (e.g.,"
"GV.PO-P2","Govern-P","GV.PO-P","Governance Policies, Processes, and Procedures","Processes to instill organizational privacy values within"
"GV.PO-P3","Govern-P","GV.PO-P","Governance Policies, Processes, and Procedures","Roles and responsibilities for the workforce are"
"GV.PO-P4","Govern-P","GV.PO-P","Governance Policies, Processes, and Procedures","Privacy roles and responsibilities are coordinated and"
"GV.PO-P5","Govern-P","GV.PO-P","Governance Policies, Processes, and Procedures","Legal, regulatory, and contractual requirements"
"GV.PO-P6","Govern-P","GV.PO-P","Governance Policies, Processes, and Procedures",""
"GV.RM-P1","Govern-P","GV.RM-P","Risk Management Strategy","Risk management processes are established, managed,"
"GV.RM-P2","Govern-P","GV.RM-P","Risk Management Strategy","Organizational risk tolerance is determined and clearly"
"GV.RM-P3","Govern-P","GV.RM-P","Risk Management Strategy","The organization's determination of risk tolerance is"
"CT.DM-P1","Control-P","CT.DM-P","Data Processing Management","Data elements can be accessed for review."
"CT.DM-P2","Control-P","CT.DM-P","Data Processing Management","Data elements can be accessed for transmission or"
"CT.DM-P3","Control-P","CT.DM-P","Data Processing Management","Data elements can be accessed for alteration."
"CT.DM-P4","Control-P","CT.DM-P","Data Processing Management","Data elements can be accessed for deletion."
"CT.DM-P5","Control-P","CT.DM-P","Data Processing Management","Data are destroyed according to policy."
"CT.DM-P6","Control-P","CT.DM-P","Data Processing Management","Data are transmitted using standardized formats."
"CT.DM-P7","Control-P","CT.DM-P","Data Processing Management","Mechanisms for transmitting processing permissions and"
"CT.DM-P8","Control-P","CT.DM-P","Data Processing Management","Audit/log records are determined, documented,"
"CT.DM-P9","Control-P","CT.DM-P","Data Processing Management",""
"CT.DM-P10","Control-P","CT.DM-P","Data Processing Management","Stakeholder privacy preferences are included in"
"CT.DP-P1","Control-P","CT.DP-P","Disassociated Processing","Data are processed to limit observability and linkability (e.g.,"
"CT.DP-P2","Control-P","CT.DP-P","Disassociated Processing","Data are processed to limit the identification of individuals"
"CT.DP-P3","Control-P","CT.DP-P","Disassociated Processing","Data are processed to limit the formulation of inferences"
"CT.DP-P4","Control-P","CT.DP-P","Disassociated Processing","System or device configurations permit selective collection"
"CT.DP-P5","Control-P","CT.DP-P","Disassociated Processing","Attribute references are substituted for attribute values."
"CT.PO-P1","Control-P","CT.PO-P","Data Processing Policies, Processes, and Procedures","Policies, processes, and procedures for authorizing data processing (e.g., organizational decisions, individual consent), revoking authorizations, and maintaining authorizations are established and in place."
"CT.PO-P2","Control-P","CT.PO-P","Data Processing Policies, Processes, and Procedures","Policies, processes, and procedures for enabling data review, transfer, sharing or disclosure, alteration, and deletion are established and in place (e.g., to maintain data quality, manage data retention)."
"CT.PO-P3","Control-P","CT.PO-P","Data Processing Policies, Processes, and Procedures","Policies, processes, and procedures for enabling individuals' data processing preferences and requests are established and in place."
"CT.PO-P4","Control-P","CT.PO-P","Data Processing Policies, Processes, and Procedures","A data life cycle to manage data is aligned and"
"CM.AW-P1","Communicate-P","CM.AW-P","Data Processing Awareness","Mechanisms (e.g., notices, internal or public reports) for"
"CM.AW-P2","Communicate-P","CM.AW-P","Data Processing Awareness","Mechanisms for obtaining feedback from individuals (e.g.,"
"CM.AW-P3","Communicate-P","CM.AW-P","Data Processing Awareness","System/product/service design enables data processing"
"CM.AW-P4","Communicate-P","CM.AW-P","Data Processing Awareness","Records of data disclosures and sharing are maintained"
"CM.AW-P5","Communicate-P","CM.AW-P","Data Processing Awareness","Data corrections or deletions can be communicated to"
"CM.AW-P6","Communicate-P","CM.AW-P","Data Processing Awareness","Data provenance and lineage are maintained and can be"
"CM.AW-P7","Communicate-P","CM.AW-P","Data Processing Awareness","Impacted individuals and organizations are notified about"
"CM.AW-P8","Communicate-P","CM.AW-P","Data Processing Awareness","Individuals are provided with mitigation mechanisms (e.g.,"
"CM.PO-P1","Communicate-P","CM.PO-P","Communication Policies, Processes, and Procedures","Transparency policies, processes, and procedures for"
"CM.PO-P2","Communicate-P","CM.PO-P","Communication Policies, Processes, and Procedures","Roles and responsibilities (e.g., public relations) for"
"PR.AC-P1","Protect-P","PR.AC-P","Identity Management, Authentication, and Access Control",""
"PR.AC-P2","Protect-P","PR.AC-P","Identity Management, Authentication, and Access Control","Physical access to data and devices is managed."
"PR.AC-P3","Protect-P","PR.AC-P","Identity Management, Authentication, and Access Control","Remote access is managed."
"PR.AC-P4","Protect-P","PR.AC-P","Identity Management, Authentication, and Access Control","Access permissions and authorizations are managed,"
"PR.AC-P5","Protect-P","PR.AC-P","Identity Management, Authentication, and Access Control","Network integrity is protected (e.g., network"
"PR.AC-P6","Protect-P","PR.AC-P","Identity Management, Authentication, and Access Control","Individuals and devices are proofed and bound to"
"PR.DS-P1","Protect-P","PR.DS-P","Data Security","Data-at-rest are protected."
"PR.DS-P2","Protect-P","PR.DS-P","Data Security","Data-in-transit are protected."
"PR.DS-P3","Protect-P","PR.DS-P","Data Security","Systems/products/services and associated data are"
"PR.DS-P4","Protect-P","PR.DS-P","Data Security","Adequate capacity to ensure availability is maintained."
"PR.DS-P5","Protect-P","PR.DS-P","Data Security","Protections against data leaks are implemented."
"PR.DS-P6","Protect-P","PR.DS-P","Data Security","Integrity checking mechanisms are used to verify"
"PR.DS-P7","Protect-P","PR.DS-P","Data Security","The development and testing environment(s) are"
"PR.DS-P8","Protect-P","PR.DS-P","Data Security",""
"PR.MA-P1","Protect-P","PR.MA-P","Maintenance","Maintenance and repair of organizational assets are"
"PR.MA-P2","Protect-P","PR.MA-P","Maintenance","Remote maintenance of organizational assets is"
"PR.PO-P1","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","A baseline configuration of information technology is"
"PR.PO-P2","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","Configuration change control processes are established"
"PR.PO-P3","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","Backups of information are conducted, maintained, and"
"PR.PO-P4","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","Policy and regulations regarding the physical operating"
"PR.PO-P5","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","Protection processes are improved."
"PR.PO-P6","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","Effectiveness of protection technologies is shared."
"PR.PO-P7","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","Response plans (Incident Response and Business"
"PR.PO-P8","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","Response and recovery plans are tested."
"PR.PO-P9","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","Privacy procedures are included in human resources"
"PR.PO-P10","Protect-P","PR.PO-P","Data Protection Policies, Processes, and Procedures","A vulnerability management plan is developed and"
"PR.PT-P1","Protect-P","PR.PT-P","Protective Technology","Removable media is protected and its use restricted"
"PR.PT-P2","Protect-P","PR.PT-P","Protective Technology","The principle of least functionality is incorporated by"
"PR.PT-P3","Protect-P","PR.PT-P","Protective Technology","Communications and control networks are protected."
"PR.PT-P4","Protect-P","PR.PT-P","Protective Technology","Mechanisms (e.g., failsafe, load balancing, hot swap) are"
