CWE_ID,Name,MITRE_AI_Tagged,View1_Score,View2_Score,Max_Score,Is_AI_Relevant,AI_Category,Attack_Type,Attack_Surface,View1_Reasoning,View2_Reasoning,AI_Impact,Description,Source_View
24,Path Traversal: '../filedir',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize ../ sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
25,Path Traversal: '/../filedir',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize /../ sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
26,Path Traversal: '/dir/../filename',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize /dir/../filename sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
27,Path Traversal: 'dir/../../filename',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize multiple internal ../ sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
28,Path Traversal: '..filedir',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize .. sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
29,Path Traversal: '..filename',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '..filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
30,Path Traversal: 'dir..filename',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize 'dir..filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
31,Path Traversal: 'dir....filename',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize 'dir....filename' (multiple internal backslash dot dot) sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
32,Path Traversal: '...' (Triple Dot),No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '...' (triple dot) sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
33,Path Traversal: '....' (Multiple Dot),No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '....' (multiple dot) sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
34,Path Traversal: '....//',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '....//' (doubled dot dot slash) sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
35,Path Traversal: '.../...//',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '.../...//' (doubled triple dot slash) sequences that can resolve to a location that is outside of that directory.",Research-Concepts-1000
36,Absolute Path Traversal,Yes,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize absolute path sequences such as /abs/path that can resolve to a location that is outside of that directory.",Research-Concepts-1000
37,Path Traversal: '/absolute/pathname/here',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product accepts input in the form of a slash absolute path ('/absolute/pathname/here') without appropriate validation, which can allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
38,Path Traversal: 'absolutepathnamehere',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product accepts input in the form of a backslash absolute path ('absolutepathnamehere') without appropriate validation, which can allow an attacker to traverse the file system to unintended locations or access arbitrary files.",Research-Concepts-1000
39,Path Traversal: 'C:dirname',No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,The product accepts input that contains a drive letter or Windows volume letter ('C:dirname') that potentially redirects access to an unintended location or arbitrary file.,Research-Concepts-1000
40,Path Traversal: 'UNCsharename' (Windows UNC Share),No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,The product accepts input that identifies a Windows UNC share ('UNCsharename') that potentially redirects access to an unintended location or arbitrary file.,Research-Concepts-1000
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component.",Research-Concepts-1000
75,Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,The product does not adequately filter user-controlled input for special elements with control implications.,Research-Concepts-1000
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Yes,1,3,3,Yes,Output Validation,Direct,AI Outputs,"XSS could affect web interfaces of AI systems, but this is not specific to AI - it's a general web vulnerability.",Classic target for AI-generated attacks. Attackers want AI to generate HTML/JS containing XSS payloads that execute in user browsers.,"Session hijacking, credential theft, malware distribution via AI-generated web content.",The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,Research-Concepts-1000
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,XSS is a primary target for AI-generated attacks. AI output containing XSS executes in user browsers.,Client-side attacks via AI-generated web content.,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as <, >, and & that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages.",Research-Concepts-1000
85,Doubled Character XSS Manipulations,No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,XSS is a primary target for AI-generated attacks. AI output containing XSS executes in user browsers.,Client-side attacks via AI-generated web content.,The web application does not filter user-controlled input for executable script disguised using doubling of the involved characters.,Research-Concepts-1000
87,Improper Neutralization of Alternate XSS Syntax,No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,XSS is a primary target for AI-generated attacks. AI output containing XSS executes in user browsers.,Client-side attacks via AI-generated web content.,The product does not neutralize or incorrectly neutralizes user-controlled input for alternate script syntax.,Research-Concepts-1000
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product constructs a string for a command to be executed by a separate component in another control sphere, but it does not properly delimit the intended arguments, options, or switches within that command string.",Research-Concepts-1000
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),No,1,3,3,Yes,Output Validation,Direct,AI Outputs,"SQL injection could affect AI systems using databases, but this is not AI-specific.",Attackers want AI to generate SQL queries containing injection payloads. AI output IS the attack when generating database queries.,"Database breach, data exfiltration, data manipulation via AI-generated queries.","The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs, the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data.",Research-Concepts-1000
90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product constructs all or part of an LDAP query using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended LDAP query when it is sent to a downstream component.",Research-Concepts-1000
91,XML Injection (aka Blind XPath Injection),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product does not properly neutralize special elements that are used in XML, allowing attackers to modify the syntax, content, or commands of the XML before it is processed by an end system.",Research-Concepts-1000
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product uses CRLF (carriage return line feeds) as a special element, e.g. to separate lines or records, but it does not neutralize or incorrectly neutralizes CRLF sequences from inputs.",Research-Concepts-1000
94,Improper Control of Generation of Code ('Code Injection'),Yes,2,3,3,Yes,Output Validation,Direct,AI Outputs,MITRE has tagged this CWE as applicable to AI/ML systems. Specific AI impact should be reviewed.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment.",Research-Concepts-1000
95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),Yes,2,3,3,Yes,Output Validation,Direct,AI Outputs,MITRE has tagged this CWE as applicable to AI/ML systems. Specific AI impact should be reviewed.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes code syntax before using the input in a dynamic evaluation call (e.g. eval).",Research-Concepts-1000
96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes code syntax before inserting the input into an executable resource, such as a library, configuration file, or template.",Research-Concepts-1000
98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The PHP application receives input from an upstream component, but it does not restrict or incorrectly restricts the input before its usage in require, include, or similar functions.",Research-Concepts-1000
99,Improper Control of Resource Identifiers ('Resource Injection'),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product receives input from an upstream component, but it does not restrict or incorrectly restricts the input before it is used as an identifier for a resource that may be outside the intended sphere of control.",Research-Concepts-1000
200,Exposure of Sensitive Information to an Unauthorized Actor,No,3,3,3,Yes,General,Both,Multiple,"Information exposure can leak model architecture, training data, prompts, or inference details.","Attackers want AI to leak sensitive information in its outputs - PII, credentials, internal data.","Exposure of model IP, training data, user data, or system information via AI outputs or errors.",The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.,Research-Concepts-1000
352,Cross-Site Request Forgery (CSRF),No,1,3,3,Yes,Output Validation,Direct,AI Outputs,"CSRF could affect AI system web interfaces, not AI-specific.",Attackers want AI to generate HTML forms or links that perform unwanted actions when users interact with them.,Unauthorized actions on behalf of users via AI-generated malicious forms or links.,"The web application does not, or cannot, sufficiently verify whether a request was intentionally provided by the user who sent the request, which could have originated from an unauthorized actor.",Research-Concepts-1000
434,Unrestricted Upload of File with Dangerous Type,No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,The product allows the upload or transfer of dangerous file types that are automatically processed within its environment.,Research-Concepts-1000
522,Insufficiently Protected Credentials,No,2,3,3,Yes,Infrastructure,Both,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval.",Research-Concepts-1000
564,SQL Injection: Hibernate,No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,Using Hibernate to execute a dynamic SQL statement built with user-controlled input can allow an attacker to modify the statement's meaning or to execute arbitrary SQL commands.,Research-Concepts-1000
616,Incomplete Identification of Uploaded File Variables (PHP),No,2,3,3,Yes,Infrastructure,Both,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The PHP application uses an old method for processing uploaded files by referencing the four global variables that are set for each file (e.g. $varname, $varname_size, $varname_name, $varname_type). These variables could be overwritten by attackers, causing the application to process unauthorized files.",Research-Concepts-1000
643,Improper Neutralization of Data within XPath Expressions ('XPath Injection'),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product uses external input to dynamically construct an XPath expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query.",Research-Concepts-1000
646,Reliance on File Name or Extension of Externally-Supplied File,No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product allows a file to be uploaded, but it relies on the file name or extension of the file to determine the appropriate behaviors. This could be used by attackers to cause the file to be misclassified and processed in a dangerous fashion.",Research-Concepts-1000
652,Improper Neutralization of Data within XQuery Expressions ('XQuery Injection'),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product uses external input to dynamically construct an XQuery expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query.",Research-Concepts-1000
692,Incomplete Denylist to Cross-Site Scripting,No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,XSS is a primary target for AI-generated attacks. AI output containing XSS executes in user browsers.,Client-side attacks via AI-generated web content.,"The product uses a denylist-based protection mechanism to defend against XSS attacks, but the denylist is incomplete, allowing XSS variants to succeed.",Research-Concepts-1000
862,Missing Authorization,Yes,3,2,3,Yes,Infrastructure,Both,Infrastructure,"Missing authorization in AI systems can allow unauthorized model access, training data access, or inference. MITRE AI/ML tagged.",AI agents might perform actions without proper authorization checks.,"Unauthorized access to models, data, or AI system functionality.",The product does not perform an authorization check when an actor attempts to access a resource or perform an action.,Research-Concepts-1000
917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),No,0,3,3,Yes,Output Validation,Direct,AI Outputs,No specific AI relevance identified.,Injection weakness - attackers may want AI to generate payloads that execute in target systems.,Potential code/command execution via AI-generated output.,"The product constructs all or part of an expression language (EL) statement in a framework such as a Java Server Page (JSP) using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended EL statement before it is executed.",Research-Concepts-1000
1236,Improper Neutralization of Formula Elements in a CSV File,No,2,3,3,Yes,Agent/Autonomous Systems,Direct,AI Outputs,"File operation weakness could affect AI model files, training data, or configuration.",AI agents with file access could be tricked into unauthorized file operations.,Unauthorized file access via AI.,"The product saves user-provided information into a Comma-Separated Value (CSV) file, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as a command when the file is opened by a spreadsheet product.",Research-Concepts-1000
1336,Improper Neutralization of Special Elements Used in a Template Engine,Yes,3,0,3,Yes,Supply Chain,Indirect,Supply Chain,"Model files contain executable metadata (e.g., Jinja2 chat templates in GGUF). CVE-2024-34359 demonstrated critical RCE via template injection in llama-cpp-python, affecting ~6,000 HuggingFace models. Model metadata is an attack surface.","Template injection is an attack ON AI model loading infrastructure, not something AI would produce.","Remote code execution when loading malicious model files from untrusted sources (HuggingFace, model registries). CVSS 9.8 in CVE-2024-34359.","The product uses a template engine to insert or process externally-influenced input, but it does not neutralize or incorrectly neutralizes special elements or syntax that can be interpreted as template expressions or other code directives when processed by the engine.",Research-Concepts-1000
57,Path Equivalence: 'fakedir/../realdir/filename',No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product contains protection mechanisms to restrict access to 'realdir/filename', but it constructs pathnames using external input in the form of 'fakedir/../realdir/filename' that are not handled by those mechanisms. This allows attackers to perform unauthorized actions against the targeted file.",Research-Concepts-1000
61,UNIX Symbolic Link (Symlink) Following,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product, when opening a file or directory, does not sufficiently account for when the file is a symbolic link that resolves to a target outside of the intended control sphere. This could allow an attacker to cause the product to operate on unauthorized files.",Research-Concepts-1000
62,UNIX Hard Link,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product, when opening a file or directory, does not sufficiently account for when the name is associated with a hard link to a target that is outside of the intended control sphere. This could allow an attacker to cause the product to operate on unauthorized files.",Research-Concepts-1000
64,Windows Shortcut Following (.LNK),No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product, when opening a file or directory, does not sufficiently handle when the file is a Windows shortcut (.LNK) whose target is outside of the intended control sphere. This could allow an attacker to cause the product to operate on unauthorized files.",Research-Concepts-1000
65,Windows Hard Link,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product, when opening a file or directory, does not sufficiently handle when the name is associated with a hard link to a target that is outside of the intended control sphere. This could allow an attacker to cause the product to operate on unauthorized files.",Research-Concepts-1000
67,Improper Handling of Windows Device Names,No,2,2,2,Yes,Output Validation,Both,AI Outputs,"Could expose model details, training data, or prompts.","AI could leak sensitive information, but this is data exposure not AI generating attack payloads.",Data leakage via AI outputs.,"The product constructs pathnames from user input, but it does not handle or incorrectly handles a pathname containing a Windows device name such as AUX or CON. This typically leads to denial of service or an information exposure when the application attempts to process the pathname as a regular file.",Research-Concepts-1000
116,Improper Encoding or Escaping of Output,Yes,2,0,2,Yes,Output Validation,N/A,AI Outputs,Defensive CWE - proper output encoding mitigates View 2 attacks where AI generates injection payloads. MITRE AI-tagged. Foundation of OWASP LLM02 (Insecure Output Handling).,"This is a defense against AI-generated attacks, not an attack AI produces. Proper encoding PREVENTS View 2 attacks.","When absent: AI-generated injection attacks succeed. When present: Mitigates XSS, command injection, etc. in AI outputs.","The product prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved.",Research-Concepts-1000
201,Insertion of Sensitive Information Into Sent Data,No,2,2,2,Yes,Output Validation,Both,AI Outputs,"Could expose model details, training data, or prompts.","AI could leak sensitive information, but this is data exposure not AI generating attack payloads.",Data leakage via AI outputs.,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor.",Research-Concepts-1000
202,Exposure of Sensitive Information Through Data Queries,No,2,2,2,Yes,Output Validation,Both,AI Outputs,"Could expose model details, training data, or prompts.","AI could leak sensitive information, but this is data exposure not AI generating attack payloads.",Data leakage via AI outputs.,"When trying to keep information confidential, an attacker can often infer some of the information by using statistics.",Research-Concepts-1000
203,Observable Discrepancy,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,"The product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor, which exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not.",Research-Concepts-1000
204,Observable Response Discrepancy,No,2,1,2,Yes,Infrastructure,N/A,Infrastructure,Authentication/authorization affects AI API access and model protection.,AI might be tricked into bypassing or exposing authentication.,Unauthorized access to AI systems.,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere.,Research-Concepts-1000
