term,definition,source_anchor,notes
Industrial Control System (ICS),"An ICS consists of combinations of control components (e.g., electrical, mechanical, hydraulic) that act together to achieve an industrial objective (e.g., transport energy). ICS is a general term that encompasses several types of control systems, including SCADA (see entry below).",industrial-control-system-ics,links: NIST Guide to ICS Security: http://dx.doi.org/10.6028/NIST.SP.800-82r2
Industrial Control Systems Computer Emergency Readiness Team (ICS-CERT),Unit within DHS' National Cybersecurity and Integration Center that assists control systems vendors and asset owners and operators to identify security vulnerabilities and develop sound mitigation strategies,industrial-control-systems-computer-emergency-readiness-team-ics-cert,links: About ICS-CERT: https://ics-cert.us-cert.gov/About-Industrial-Control-Systems-Cyber-Emergency-Response-Team; ICS-CERT Alert on Ukraine Cyber Attack: https://ics-cert.us-cert.gov/alerts/IR-ALERT-H-16-056-01
Information technology (IT),"In the ES-C2M2, IT is a discrete set of electronic information resources organized for the collection, processing, maintenance, use, sharing, dissemination, or deposition of information, including interconnected or dependent business systems and their operating environment.",information-technology-it,links: ES-C2M2: http://energy.gov/sites/prod/files/2014/02/f7/ES-C2M2-v1-1-Feb2014.pdf
Intentional electromagnetic interference device (IEMI),"Devices that intentionally generate electromagnetic energy to introduce noise or signals into electric and electronic systems, thus disrupting, confusing or damaging these systems for malicious purposes",intentional-electromagnetic-interference-device-iemi,
Malware,"Malware is malicious code or software, including viruses, spyware, and other unwanted software that is installed onto a computer or other equipment without the user's consent. Malware can be used to steal information including users' credentials or cause programs to crash or act erratically.",malware,
MIL,"The ES-C2M2 (see entry above) includes Maturity Indicator Levels (MILs) as a measurement that rates a program's completeness and development level of cybersecurity practices as well as the extent to which such practices are ingrained in daily operations. MILs range from MIL0 (an absence of security practices) to MIL3 (extensive implementation of best practices). MILs apply to separate cybersecurity domains (e.g., risk management and situational awareness).",mil,links: ES-C2M2: http://energy.gov/sites/prod/files/2014/02/f7/ES-C2M2-v1-1-Feb2014.pdf
National Cyber Incident Response Plan (NCIRP),"Plan developed by DHS and the Federal Emergency Management Authority (FEMA) to describe a nationwide approach to cyber incidents and discuss the role of private sector entities, states, and federal agencies in response to cyber incidents. An Interim NCIRP was released in 2011. DHS and FEMA are currently developing a new NCIRP to replace it.",national-cyber-incident-response-plan-ncirp,links: About NCRIP: https://www.us-cert.gov/ncirp; Draft NCRIP: https://www.us-cert.gov/sites/default/files/ncirp/NE%20DRAFT%20NATIONAL%20CYBER%20INCIDENT%20RESPONSE%20PLAN%2020160930.pdf
NIST,National Institute of Standards and Technology,nist,
NIST Cybersecurity Framework,"National Institute of Standards and Technology's ""Framework for Improving Critical Infrastructure Cybersecurity"" does not include requirements or standards, but rather a ""common language"" to address cybersecurity risk and a methodology that organizations can use to apply principles of risk management to improve the security and resilience of critical infrastructure.",nist-cybersecurity-framework,links: NIST: Framework Basics and FAQs: https://www.nist.gov/cyberframework/cybersecurity-framework-faqs-framework-basics
NERC CIP,The cybersecurity standards and requirements created by NERC (see below) that apply to certain BESs (see above) in the United States are known as Critical Infrastructure Protection (CIP). The NERC CIP is the only mandatory federal cybersecurity framework for the utility industry. It includes penalties and sanctions for noncompliance. NERC CIP does not apply to distribution systems.,nerc-cip,links: NERC: CIP Compliance: http://www.nerc.com/pa/CI/Comp/Pages/default.aspx
North American Electric Reliability Corporation (NERC),"NERC is a nonprofit international regulatory authority that, among other things, develops and enforces reliability standards and monitors the bulk power system. NERC is the electric reliability organization (ERO, see above) for North America, subject to oversight by FERC and Canadian authorities.",north-american-electric-reliability-corporation-nerc,links: About NERC: http://www.nerc.com/AboutNERC/Pages/default.aspx
Operations technology (OT),"In the ES-C2M2, OT is programmable systems or devices that interact with the physical environment (or manage devices that do) (e.g., industrial control systems, building management systems, physical access control mechanisms).",operations-technology-ot,links: ES-C2M2: http://energy.gov/sites/prod/files/2014/02/f7/ES-C2M2-v1-1-Feb2014.pdf
PCII,DHS' Protected Critical Infrastructure Information program seeks to protect private sector infrastructure information voluntarily shared with the government for homeland security purposes. The PCII protects such information from public disclosure.,pcii,links: PCII Program: https://www.dhs.gov/pcii-program
Probe,An attempt to access a system to learn something about that system,probe,
Spear-phishing,"Phishing is an attempt to acquire sensitive information (usernames, passwords, or credit card or identity information) by pretending to be a trustworthy entity in an email or other communication. Perpetrators generally send phishing emails to a large number of recipients, asking them to click a link or perform some other action. Spear-phishing refers to a more targeted phishing attack where the fraudulent email appears to be from someone the recipient knows and may include personal information.",spear-phishing,
Supervisory Control and Data Acquisition Systems (SCADA),"A generic name for a computerized system capable of gathering and processing data and applying operational controls over long distances. Used for pipeline systems and power transmission and distribution, SCADA was designed for communications challenges posed by the materials that must be used in such systems (e.g., delays due to electric lines).",supervisory-control-and-data-acquisition-systems-scada,
Telephone denial-of-service attack (TDOS),An attack in which a large number of false telephone calls are generated and directed to one or more phone numbers to prevent those numbers from accepting legitimate phone calls.,telephone-denial-of-service-attack-tdos,
