"section","content"
"4","Any person carrying on an enterprise who, for a serious and legitimate reason, collects personal information on another person must determine the purposes for collecting the information before doing so."
"4.1","The personal information concerning a minor under 14 years of age may not be collected from him without the consent of the person having parental authority or of the tutor, unless collecting the information is clearly for the minor’s benefit."
"5","Any person collecting personal information on another person may collect only the information necessary for the purposes determined before collecting it. Such information must be collected by lawful means."
"6","Any person collecting personal information relating to another person may collect such information only from the person concerned, unless the latter consents to collection from third persons. However, he may, without the consent of the person concerned, collect such information from a third person if the law so authorizes. He may also do so if he has a serious and legitimate reason and either of the following conditions is fulfilled: 1 ° the information is collected in the interest of the person concerned and cannot be collected from him in due time; 2 ° collection from a third person is necessary to ensure the accuracy of the information."
"7","Any person collecting personal information from another person carrying on an enterprise must, at the request of the person concerned, inform the latter of the source of the information. This section does not apply to a file established for the purposes of an inquiry to prevent, detect or repress a crime or statutory offence."
"8","Any person who collects personal information from the person concerned must, when the information is collected and subsequently on request, inform that person 1 ° of the purposes for which the information is collected; 2 ° of the means by which the information is collected; 3 ° of the rights of access and rectification provided by law; and 4 ° of the person’s right to withdraw consent to the communication or use of the information collected. If applicable, the person concerned is informed of the name of the third person for whom the information is being collected, the name of the third persons or categories of third persons to whom it is necessary to communicate the information for the purposes referred to in subparagraph 1 of the first paragraph, and the possibility that the information could be communicated outside Québec. On request, the person concerned is also informed of the personal information collected from him, the categories of persons who have access to the information within the enterprise, the duration of the period of time the information will be kept, and the contact information of the person in charge of the protection of personal information. The information must be provided to the person concerned in clear and simple language, regardless of the means used to collect the personal information."
"8.1","In addition to the information that must be provided in accordance with section 8, any person who collects personal information from the person concerned using technology that includes functions allowing the person concerned to be identified, located or profiled must first inform the person 1 ° of the use of such technology; and 2 ° of the means available to activate the functions that allow a person to be identified, located or profiled. “ Profiling ” means the collection and use of personal information to assess certain characteristics of a natural person, in particular for the purpose of analyzing that person’s work performance, economic situation, health, personal preferences, interests or behaviour."
"8.2","Any person who collects personal information through technological means must publish on the enterprise’s website, if applicable, a confidentiality policy drafted in clear and simple language and disseminate it by any appropriate means to reach the persons concerned. The person must do the same for the notice required for any amendment to such a policy."
"8.3","Any person who provides his personal information in accordance with section 8 consents to its use and its communication for the purposes referred to in subparagraph 1 of the first paragraph of that section."
"8.4","No person may, after being notified by a credit assessment agent in accordance with section 9 of the Credit Assessment Agents Act ( chapter A-8.2 ) of the existence of a security freeze prohibiting the agent from communicating personal information, request communication of that information from another credit assessment agent for the purposes of the same entering into a contract or the same credit increase for which a request had been made to the agent having sent the notice of the existence of the freeze."
"9","No person may refuse to respond to a request for goods or services or to a request relating to employment by reason of the applicant’s refusal to disclose personal information except where 1 ° collection of that information is necessary for the conclusion or performance of a contract; 2 ° collection of that information is authorized by law; or 3 ° there are reasonable grounds to believe that the request is not lawful. In case of doubt, personal information is deemed to be non-necessary."
"9.1","Any person carrying on an enterprise who collects personal information when offering to the public a technological product or service having privacy settings must ensure that those settings provide the highest level of confidentiality by default, without any intervention by the person concerned. The first paragraph does not apply to privacy settings for browser cookies."
"10","A person carrying on an enterprise must take the security measures necessary to ensure the protection of the personal information collected, used, communicated, kept or destroyed and that are reasonable given the sensitivity of the information, the purposes for which it is to be used, the quantity and distribution of the information and the medium on which it is stored."
"11","Every person carrying on an enterprise must ensure that any personal information held on another person is up to date and accurate when used to make a decision in relation to the person concerned. The information used to make such a decision is kept for at least one year following the decision."
"12","Unless the person concerned gives his consent, personal information may not be used within the enterprise except for the purposes for which it was collected. Such consent must be given expressly when it concerns sensitive personal information. Personal information may, however, be used for another purpose without the consent of the person concerned, but only 1 ° if it is used for purposes consistent with the purposes for which it was collected; 2 ° if it is clearly used for the benefit of the person concerned; 3 ° if its use is necessary for the purpose of preventing and detecting fraud or of assessing and improving protection and security measures; 4 ° if its use is necessary for the purpose of providing or delivering a product or providing a service requested by the person concerned; or 5 ° if its use is necessary for study or research purposes or for the production of statistics and if the information is de-identified. In order for a purpose to be consistent within the meaning of subparagraph 1 of the second paragraph, it must have a direct and relevant connection with the purposes for which the information was collected. However, commercial or philanthropic prospection may not be considered a consistent purpose. For the purposes of this Act, personal information is 1 ° de-identified if it no longer allows the person concerned to be directly identified; 2 ° sensitive if, due to its nature, in particular its medical, biometric or otherwise intimate nature, or the context of its use or communication, it entails a high level of reasonable expectation of privacy. Every person carrying on an enterprise who uses de-identified information must take reasonable measures to limit the risk of someone identifying a natural person using de-identified information."
"12.1","Any person carrying on an enterprise who uses personal information to render a decision based exclusively on an automated processing of such information must inform the person concerned accordingly not later than at the time it informs the person of the decision. He must also inform the person concerned, at the latter’s request, 1 ° of the personal information used to render the decision; 2 ° of the reasons and the principal factors and parameters that led to the decision; and 3 ° of the right of the person concerned to have the personal information used to render the decision corrected. The person concerned must be given the opportunity to submit observations to a member of the personnel of the enterprise who is in a position to review the decision."
"13","No person may communicate to a third person the personal information he holds on another person, unless the person concerned consents to, or this Act provides for, such communication. Such consent must be given expressly when it concerns sensitive personal information."
"14","Consent under this Act must be clear, free and informed and be given for specific purposes. It must be requested for each such purpose, in clear and simple language. If the request for consent is made in writing, it must be presented separately from any other information provided to the person concerned. If the person concerned so requests, assistance is provided to help him understand the scope of the consent requested. The consent of a minor under 14 years of age is given by the person having parental authority or by the tutor. The consent of a minor 14 years of age or over is given by the minor, by the person having parental authority or by the tutor. Consent is valid only for the time necessary to achieve the purposes for which it was requested. Consent not given in accordance with this Act is without effect."
"15","Consent to the communication of personal information by a third person may be given by the person concerned to the person who collects the information from the third person."
"16","Any person holding personal information on behalf of a person carrying on an enterprise may refer to the latter every request for access or rectification received from a person to whom such information relates. Nothing in this section limits a person’s right to obtain, from a personal information agent, access to, or rectification of, personal information concerning him held by that agent."
"17","Before communicating personal information outside Québec, a person carrying on an enterprise must conduct a privacy impact assessment. The person must, in particular, take into account 1 ° the sensitivity of the information; 2 ° the purposes for which it is to be used; 3 ° the protection measures, including those that are contractual, that would apply to it; and 4 ° the legal framework applicable in the State in which the information would be communicated, including the personal information protection principles applicable in that State. The information may be communicated if the assessment establishes that it would receive adequate protection, in particular in light of generally recognized principles regarding the protection of personal information. The communication of the information must be the subject of a written agreement that takes into account, in particular, the results of the assessment and, if applicable, the terms agreed on to mitigate the risks identified in the assessment. The same applies where the person carrying on an enterprise entrusts a person or body outside Québec with the task of collecting, using, communicating or keeping such information on his behalf. This section does not apply to a communication of information under subparagraph 7 of the first paragraph of section 18."
"18","A person carrying on an enterprise may, without the consent of the person concerned, communicate personal information he holds on that person 1 ° to his attorney; 2 ° to the Director of Criminal and Penal Prosecutions if the information is required for the purposes of the prosecution of an offence under an Act applicable in Québec; 3 ° to a person or body responsible, by law, for the prevention, detection or repression of crime or statutory offences who requires it in the performance of his duties, if the information is needed for the prosecution of an offence under an Act applicable in Québec; 4 ° to a person to whom it is necessary to communicate the information under an Act applicable in Québec or under a collective agreement; 5 ° to a public body within the meaning of the Act respecting Access to documents held by public bodies and the Protection of personal information ( chapter A-2.1 ) which, through a representative, collects such information in the exercise of its functions or the implementation of a program under its management; 6 ° to a person or body having the power to compel communication of the information if he or it requires it in the exercise of his or its duties or functions; 7 ° to a person to whom the information must be communicated by reason of the urgency of a situation that threatens the life, health or safety of the person concerned; 7.1 ° to a person or body in accordance with sections 18.1 to 18.4; 8 ° to a person who may use the information for study, research or statistical purposes in accordance with section 21 or a person authorized pursuant to section 21.1; 9 ° to a person who is authorized by law to recover debts on behalf of others and who requires it for that purpose in the performance of his duties; 9.1 ° to a person if the information is needed for the recovery of a claim of the enterprise; 10 ° (subparagraph repealed). A person carrying on an enterprise must make an entry of every communication made under subparagraphs 6 to 9.1 of the first paragraph. The persons referred to in subparagraphs 1, 9 and 9.1 of the first paragraph who receive communication of information may communicate the information to the extent that such communication is necessary, in the performance of their duties, to achieve the purposes for which they received communication of the information. The holder of a security guard agency licence or investigation agency licence issued under the Private Security Act ( chapter S-3.5 ) or a body having as its object the prevention, detection or repression of crime or statutory offences and a person carrying on an enterprise may, without the consent of the person concerned, communicate among themselves the information needed for conducting an inquiry for the purpose of preventing, detecting or repressing a crime or a statutory offence. The same applies in respect of information communicated among persons carrying on an enterprise, if the person who communicates or collects such information has reasonable grounds to believe that the person concerned has committed, or is about to commit, a crime or statutory offence against one or other of the persons carrying on an enterprise."
"18.1","In addition to the cases referred to in section 18, a person who carries on an enterprise may also communicate personal information the person holds on another person, without the consent of the persons concerned, in order to protect a person or an identifiable group of persons where there is reasonable cause to believe that a serious risk of death or of serious bodily injury, related in particular to a disappearance or to an act of violence, including a suicide attempt, threatens the person or group and where the nature of the threat generates a sense of urgency. The information may in such case be communicated to any person exposed to the risk or that person’s representative, and to any person who can come to that person’s aid. A person carrying on an enterprise who communicates information pursuant to this section may only communicate such information as is necessary to achieve the purposes for which the information is communicated. Where information is so communicated by a person carrying on an enterprise, the person must make an entry of the communication. No proceedings may be brought against a person carrying on an enterprise for communicating information in good faith under this section. The same applies to any person who, on behalf of the person carrying on an enterprise, participates in good faith in such a communication, even indirectly. For the purposes of the first paragraph, “ serious bodily injury ” means any physical or psychological injury that is significantly detrimental to the physical integrity or the health or well-being of a person or an identifiable group of persons."
"18.2","A person carrying on an enterprise may, without the consent of the person concerned, communicate personal information concerning another person to an archival agency if the archival agency is a person carrying on an enterprise whose object is the acquisition, preservation and distribution of documents for their general informational value and if the information is communicated as part of the transfer or deposit of the archives of the enterprise. A person carrying on an enterprise may also communicate personal information to any person without the consent of the person concerned if the document containing the information is more than 100 years old or if more than 30 years have elapsed since the death of the person concerned. However, no information relating to a person’s health may be communicated without the consent of the person concerned unless 100 years have elapsed since the date of the document. Notwithstanding the first and second paragraphs, the information may be communicated for research purposes, without the consent of the person concerned, before the time specified has elapsed if the documents containing the information are not structured so as to allow retrieval by reference to a person’s name or identifying code or symbol and the information cannot be retrieved by means of such a reference. The person to whom the information is communicated must preserve the confidentiality of the personal information throughout the period during which it may not be communicated without the consent of the person concerned."
"18.3","A person carrying on an enterprise may, without the consent of the person concerned, communicate personal information to any person or body if the information is necessary for carrying out a mandate or performing a contract of enterprise or for services entrusted to that person or body by the person carrying on an enterprise. In such a case, the person carrying on an enterprise must 1 ° entrust the mandate or contract in writing; and 2 ° specify in the mandate or contract the measures the mandatary or the person performing the contract must take to protect the confidentiality of the personal information communicated, to ensure that the information is used only for carrying out the mandate or performing the contract and to ensure that the mandatary or person does not keep the information after the expiry of the mandate or contract. A person or body carrying out a mandate or performing a contract of enterprise or for services referred to in the first paragraph must notify the person in charge of the protection of personal information without delay of any violation or attempted violation by any person of any obligation concerning the confidentiality of the information communicated, and must also allow the person in charge of the protection of personal information to conduct any verification relating to confidentiality requirements. Subparagraph 2 of the second paragraph does not apply if the mandatary or the person performing the contract is a public body within the meaning of the Act respecting Access to documents held by public bodies and the Protection of personal information ( chapter A-2.1 ) or a member of a professional order."
"18.4","Where the communication of personal information is necessary for concluding a commercial transaction to which a person carrying on an enterprise intends to be a party, the person may communicate such information, without the consent of the person concerned, to the other party to the transaction. An agreement must first be entered into with the other party that stipulates, among other things, that the latter undertakes 1 ° to use the information only for concluding the commercial transaction; 2 ° not to communicate the information without the consent of the person concerned, unless authorized to do so by this Act; 3 ° to take the measures required to protect the confidentiality of the information; and 4 ° to destroy the information if the commercial transaction is not concluded or if using the information is no longer necessary for concluding the commercial transaction. Where the commercial transaction has been concluded and the other party wishes to continue using the information or to communicate it, that party may use or communicate it only in accordance with this Act. Within a reasonable time after the commercial transaction is concluded, that party must notify the person concerned that it now holds personal information concerning him because of the transaction. For the purposes of this section, “ commercial transaction ” means the alienation or leasing of all or part of an enterprise or of its assets, a modification of its legal structure by merger or otherwise, the obtaining of a loan or any other form of financing by the enterprise or of a security taken to guarantee any of its obligations."
"19","Every person carrying on an enterprise having as its object entering into a credit contract, a long-term contract of lease of goods or a contract involving sequential performance for a service provided at a distance, who consults credit reports or recommendations as to the solvency of natural persons prepared by a personal information agent, must inform such persons of their right of access and rectification in relation to the personal information held by the agent and indicate to them the manner in which and the place where they may have access to the reports or recommendations and cause them to be rectified, where necessary. The person carrying on such an enterprise must communicate to a natural person, on request, the content of any credit report or recommendation he has consulted for the purpose of making a decision concerning the person. The person must also inform the natural person who so requests that 1 ° the refusal to enter into a contract referred to in the first paragraph or the entering into such a contract with less advantageous conditions for the natural person, or 2 ° the refusal to increase the credit extended under a credit contract or the increasing of the credit with less advantageous conditions for the natural person is based on the consultation of such a report or recommendation. For the purposes of this section: 1 ° credit that is the subject of a contract has the meaning assigned by subparagraph f of the first paragraph of section 1 of the Consumer Protection Act ( chapter P-40.1 ); 2 ° long-term contract of lease of goods has the meaning assigned by section 150.2 of that Act; and 3 ° contract involving sequential performance for a service provided at a distance is a contract to which Division VII of Chapter III of Title I of that Act applies."
"19.1","Every person who consults a recommendation or credit report referred to in section 19 or other document sent by a credit assessment agent on which the notice referred to in the first paragraph of section 10 of the Credit Assessment Agents Act ( chapter A-8.2 ) appears or is otherwise notified by that agent must take reasonable measures to ensure that the person from whom consent was obtained to obtain the recommendation, report, document or personal information concerning him is actually the person who is the subject of the recommendation, report, document or personal information, the representative of that person or the person having parental authority over that person before entering into a contract with that person."
"20","In the carrying on of an enterprise, authorized employees or agents may have access to personal information without the consent of the person concerned only if the information is needed for the performance of their duties."
"21","A person carrying on an enterprise may communicate personal information without the consent of the persons concerned to a person or body wishing to use the information for study or research purposes or for the production of statistics. The information may be communicated if a privacy impact assessment concludes that 1 ° the objective of the study or research or of the production of statistics can be achieved only if the information is communicated in a form allowing the persons concerned to be identified; 2 ° it is unreasonable to require the person or body to obtain the consent of the persons concerned; 3 ° the objective of the study or research or of the production of statistics outweighs, with regard to the public interest, the impact of communicating and using the information on the privacy of the persons concerned; 4 ° the personal information is used in such a manner as to ensure confidentiality; and 5 ° only the necessary information is communicated."
"21.0.1","A person or body wishing to use personal information for study or research purposes or for the production of statistics must 1 ° request it in writing; 2 ° enclose a detailed presentation of the research activities with the request; 3 ° state the grounds supporting fulfillment of the criteria set out in subparagraphs 1 to 5 of the second paragraph of section 21; 4 ° mention all the persons and bodies to whom or which the person or body is making a similar request for the purposes of the same study or research or production of statistics; 5 ° if applicable, describe the different technologies that will be used to process the information; and 6 ° if applicable, send the documented decision of a research ethics committee relating to the study or research or the production of statistics."
"21.0.2","A person who communicates personal information in accordance with section 21 must first enter into an agreement with the person or body to whom or which the information is to be sent that stipulates, among other things, that the information 1 ° may be made accessible only to persons who need to know it to exercise their functions and who have signed a confidentiality agreement; 2 ° may not be used for purposes other than those specified in the detailed presentation of the research activities; 3 ° may not be matched with any other information file that has not been provided for in the detailed presentation of the research activities; and 4 ° may not be communicated, published or otherwise distributed in a form allowing the persons concerned to be identified. The agreement must also 1 ° specify the information that must be provided to the persons concerned if personal information concerning them is used to contact them to participate in the study or research; 2 ° provide for measures for ensuring the protection of the personal information; 3 ° determine a preservation period for the personal information; 4 ° set out the obligation to notify the person who communicates the personal information of its destruction; and 5 ° provide that the person who communicates the personal information and the Commission must be informed without delay a ) of non-compliance with any condition set out in the agreement; b ) of any failure to comply with the protection measures provided for in the agreement; and c ) of any event that could breach the confidentiality of the information. The agreement must be sent to the Commission and comes into force 30 days after it is received by the Commission."
"21.1","The Commission d’accès à l’information may, on written request and after consulting the professional orders concerned, grant a person authorization to receive communication of personal information on professionals regarding their professional activities, without the consent of the professionals concerned, if it has reasonable cause to believe 1 ° that the communication protects professional secrecy, especially in that it does not allow the identification of the person to whom the professional service is rendered, and does not otherwise invade the privacy of the professionals concerned ; 2 ° that the professionals concerned will be notified periodically of the intended uses and the ends contemplated and will be given a valid opportunity to refuse to allow such information to be preserved or to allow such information to be used for the intended uses or the ends contemplated ; and 3 ° that security measures have been put into place to ensure the confidentiality of personal information. Such authorization shall be granted in writing. It may be revoked or suspended if the Commission has reasonable cause to believe that the authorized person is not complying with the prescriptions of this section, the intended uses or the ends contemplated. The authorized person may communicate such personal information if 1 ° the information is communicated in a combined form that does not allow the identification of a specific professional act performed by a professional ; 2 ° the professionals concerned are periodically given a valid opportunity to refuse to be the subject of such a communication of information ; and 3 ° the person receiving communication of such information undertakes to use the information only for the intended uses and the ends contemplated. The authorized person shall report annually to the Commission on the implementation of the authorization. The Commission shall publish a list of the persons authorized under this section in its annual report of activities. Any interested person may, on any question of law or jurisdiction, appeal to a judge of the Court of Québec from the granting, refusal, suspension or revocation of an authorization in accordance with Division II of Chapter V of the Act respecting Access to documents held by public bodies and the Protection of personal information ( chapter A-2.1 )."
"22","Any person carrying on an enterprise who uses personal information for commercial or philanthropic prospection purposes must identify himself to the person whom he is addressing and inform that person of his right to withdraw his consent to the personal information concerning him being used for such purposes. If the person concerned withdraws his consent regarding such use, the personal information must cease to be used for those purposes."
"23","Where the purposes for which personal information was collected or used are achieved, the person carrying on an enterprise must destroy the information, or anonymize it to use it for serious and legitimate purposes, subject to any preservation period provided for by an Act. For the purposes of this Act, information concerning a natural person is anonymized if it is, at all times, reasonably foreseeable in the circumstances that it irreversibly no longer allows the person to be identified directly or indirectly. Information anonymized under this Act must be anonymized according to generally accepted best practices and according to the criteria and terms determined by regulation."
"24","(Replaced)."
"25","(Replaced)."
"26","(Replaced)."
"27","Every person carrying on an enterprise who holds personal information on another person must, at the request of the person concerned, confirm the existence of the personal information, communicate it to the person and allow him to obtain a copy of it. At the applicant’s request, computerized personal information must be communicated in the form of a written and intelligible transcript. Unless doing so raises serious practical difficulties, computerized personal information collected from the applicant, and not created or inferred using personal information concerning him, must, at his request, be communicated to him in a structured, commonly used technological format. The information must also be communicated, at the applicant’s request, to any person or body authorized by law to collect such information. If the person concerned is handicapped, reasonable accommodation must be provided on request to enable the person to exercise the right of access provided for in this division."
"28","In addition to the rights provided under the first paragraph of article 40 of the Civil Code, any person may, if personal information concerning him is inaccurate, incomplete or equivocal, or if collecting, communicating or keeping it are not authorized by law, require that the information be rectified."
"28.1","The person to whom personal information relates may require any person carrying on an enterprise to cease disseminating that information or to de-index any hyperlink attached to his name that provides access to the information by a technological means, if the dissemination of the information contravenes the law or a court order. The person may do likewise, or may require that the hyperlink providing access to the information be re-indexed, where the following conditions are met: 1 ° the dissemination of the information causes the person concerned serious injury in relation to his right to the respect of his reputation or privacy; 2 ° the injury is clearly greater than the interest of the public in knowing the information or the interest of any person in expressing himself freely; and 3 ° the cessation of dissemination, re-indexation or de-indexation requested does not exceed what is necessary for preventing the perpetuation of the injury. In assessing the criteria set out in the second paragraph, the following, in particular, must be taken into account: 1 ° the fact that the person concerned is a public figure; 2 ° the fact that the information concerns the person at the time the person is a minor; 3 ° the fact that the information is up to date and accurate; 4 ° the sensitivity of the information; 5 ° the context in which the information is disseminated; 6 ° the time elapsed between the dissemination of the information and the request made under this section; and 7 ° where the information concerns a criminal or penal procedure, the obtaining of a pardon or the application of a restriction on the accessibility of records of the courts of justice. Sections 30, 32 and 34 apply, with the necessary modifications, to a request made under this section. When granting such a request, the person in charge of the protection of personal information shall attest, in his written reply under section 32, to the cessation of the dissemination of the personal information or to the de-indexation or the re-indexation of the hyperlink."
"29","Every person carrying on an enterprise who holds personal information on other persons must take the necessary steps to ensure the exercise by a person concerned of the rights provided under articles 37 to 40 of the Civil Code and the rights conferred by this Act. In particular, he must inform the public of the place where, and manner in which, access to the personal information may be granted."
"30","No request for access or rectification may be considered unless it is made in writing by a person who proves that he is the person concerned or the representative, heir or successor of that person, the liquidator of the succession, a beneficiary of life insurance or of a death benefit, the person having parental authority even if the minor child is deceased, or the spouse or a close relative of the deceased person in accordance with section 40.1. Such a request must be addressed to the person in charge of the protection of personal information. If the request is not sufficiently precise or if a person requires it, the person in charge must assist in identifying the information sought. This section does not limit the communication of personal information to the person concerned or the rectification of that information as a result of a service to be provided to the person."
"31","The spouse and the direct ascendants or descendants of a deceased person are entitled to receive, in accordance with the procedure provided for in section 30, communication of information relating to the cause of death contained in the person’s medical file, unless the deceased person recorded in writing, in his file, his refusal to grant such right of access. Notwithstanding the first paragraph, the blood relatives of a deceased person are entitled to receive communication of the information contained in that person’s medical file to the extent that such communication is necessary to ascertain the existence of a genetic or family disease."
"32","The person in charge of the protection of personal information must reply in writing to the request for access or rectification, promptly and not later than 30 days after the date the request is received. Failure to respond within 30 days of the receipt of a request is deemed to be a refusal to grant the request."
"33","Access to personal information shall be free of charge. However, a reasonable charge may be required from a person requesting the transcription, reproduction or transmission of such information. Any person carrying on an enterprise who intends to require a charge under this section must inform the applicant, in advance, of the approximate amount that will be charged for the transcription, reproduction or transmission of information."
"34","The person in charge of the protection of personal information must give the reasons for any refusal to grant a request and indicate the provision of law on which the refusal is based, the remedies available to the applicant under this Act and the time limit for exercising them. If the applicant so requests, the person in charge must also help him understand the refusal."
"35","Where the person in charge of the protection of personal information grants a request for rectification, he must, in addition to the obligations prescribed in the second paragraph of article 40 of the Civil Code, issue free of charge to the person who made the request a copy of any personal information modified or added or, as the case may be, an attestation of the deletion of personal information."
"36","The person holding information that is the subject of a request for access or rectification must, if he does not grant the request, retain the information for such time as is necessary to allow the person concerned to exhaust the recourses provided by law."
"37","A person carrying on a professional health care enterprise may temporarily refuse to the person concerned access to the file established on him only if, in the opinion of a health care professional, consultation would result in serious harm to the person’s health. A person carrying on another type of enterprise and holding such information may refuse to the person concerned access to the information relating to him only if consultation would result in serious harm to the person’s health, provided that he offers the person the possibility of designating a health care professional of his choice to receive communication of the information and communicates the information to such physician. The health care professional shall determine the time at which consultation may take place and inform the person concerned thereof."
"38","No person of less than 14 years of age may demand to be informed of the existence of information of a medical or social nature concerning him and contained in a file established on him, or receive communication of such information, except through his attorney in the context of judicial proceedings. Nothing in the first paragraph is intended to restrict normal communication between a health care or social services professional and his patient, or the right of access of the holder of parental authority."
"39","A person carrying on an enterprise may refuse to communicate personal information to the person it concerns where disclosure of the information would be likely to 1 ° hinder an inquiry the purpose of which is the prevention, detection or repression of crime or statutory offences conducted by his internal security service or conducted on his behalf for the same purpose by an external service or the holder of a security guard agency licence or investigation agency licence issued under the Private Security Act ( chapter S-3.5 ); 2 ° affect judicial proceedings in which either person has an interest."
"40","Any person carrying on an enterprise must refuse to give communication of personal information to a person to whom it relates where disclosure would be likely to reveal personal information about a third person or the existence of such information and the disclosure may seriously harm that third person, unless the latter consents to the communication of the information or in the case of an emergency that threatens the life, health or safety of the person concerned."
"40.1","A person carrying on an enterprise may communicate personal information that he holds concerning a deceased person to the spouse or a close relative of the person if knowledge of the information could help the applicant in the grieving process and if the deceased person did not record in writing his refusal to grant such a right of access."
"41","Subject to section 40.1, a person carrying on an enterprise must refuse to communicate personal information to the liquidator of the succession, to a beneficiary of life insurance or of a death benefit, or to the heir or successor of the person to whom the information relates, unless the information affects their interests or rights as liquidator, beneficiary, heir or successor."
"41.1","The functions and powers of the Commission that are provided for in this division are exercised by the chair and the members assigned to the adjudicative division."
"42","Any interested person may submit an application to the Commission d’accès à l’information for the examination of a disagreement relating to the application of a legislative provision concerning access to or the rectification of personal information, or concerning the application of section 28.1."
"43","Where the disagreement results from a refusal to grant a request or from a failure to respond within the time limit prescribed by law, the person concerned disposes of a period of 30 days from the refusal or the expiry of the time limit to submit the disagreement to the Commission unless the Commission, for reasonable cause, releases the person concerned from failure to submit the disagreement within that time."
