Domain,Category,Control ID,Control Name,Control Requirements
AI App Controls & Management,AI App Compliance,App 3.2,Conduct Trustworthy AI System Testing,"Deploy testing measures, including testing, throughout the AI application life cycle."
AI App Controls & Management,App Interaction Safety & Security,App 4.1,Input manipulation & prompt injection Protection,"Detect and block adversarial inputs or atypical queries to AI applications that deviate from known benign behavior, exhibit behavior patterns observed in previous attacks (e.g. similar to SQL Injection attacks in Web Apps, prompt injection attacks can exploit AI app capabilities)."
AI App Controls & Management,App Interaction Safety & Security,App 4.2,Prevent inference attacks / Minimize Query Response,"Regulate the amount and fidelity of potentially sensitive information in, prompts and API queries to limit the amount of information an attacker can learn."
AI App Controls & Management,App Interaction Safety & Security,App 4.3,Denial of gen AI service Prevention / Restrict Excessive Queries,"Detect and block adversarial inputs or atypical queries that deviate from known benign behavior, exhibit behavior patterns observed in previous attacks."
AI App Controls & Management,App Interaction Safety & Security,App 4.4,Prevent Toxic Results,"Detect and block outputs with hateful, abusive, or toxic content; hallucinations; malicious outputs (i.e. generating harmful code); sensitive model or data information leakage."
AI App Controls & Management,AI App Protection,App 5.1,AI App Access Controls,"Establish access controls AI applications through UI (including chat interface), and APIs which in turn leverage AI systems and data as backend systems."
AI App Controls & Management,AI App Protection,App 5.2,Assess Security of AI Application,"Identify security measures to protect against data breaches, and malicious attacks (security & risk assessments, attack surface assessments, threat assessments, etc.)."
AI App Controls & Management,AI App Threat Management & Resilience,App 6.1,AI App Security Testing,"Deploy testing measures, including red teaming for adversarial testing, throughout the AI Application life cycle."
AI App Controls & Management,AI App Threat Management & Resilience,App 6.2,AI App Vulnerability Mitigation,"Identify and mitigate vulnerabilities, incidents and patterns of misuse, including third party vulnerabilities."
AI App Controls & Management,AI App Threat Management & Resilience,App 6.3,AI App Threat Detection & Response,"Implement comprehensive monitoring and logging mechanisms to track AI application performance, usage, and compliance with relevant regulations and ethical guidelines."
AI App Controls & Management,AI App Threat Management & Resilience,App 6.4,Establish Resilient Gen AI Applications & Systems,"Design and implement AI applications and systems with robustness, ensuring they can withstand various types of failures, attacks, and unexpected inputs."
AI Model Controls & Management,AI Model Explainability,Mod 1.1,"Document Model Capabilities, Limitations, and Usages","Document and report model capabilities, limitations, acceptable and unacceptable usage. Include technical documentation and instructions for usage of AI models, as applicable."
AI Model Controls & Management,AI Model Explainability,Mod 1.2,Bias Detection and Evaluation,"Implement algorithms and tools designed to detect and evaluate potential biases in the training data, algorithms, or outputs of the AI system."
AI Model Controls & Management,AI Model Explainability,Mod 1.3,Diversity in Training Data,"Ensure that the training data used for the AI system is diverse, representative, and free from discriminatory patterns."
AI Model Controls & Management,AI Model Lifecycle,Mod 2.1,Model Lifecycle Completeness,"Define and deploy secure development practices for generative AI models, throughout the AI lifecycle, for cybersecurity, physical security and insider threats."
AI Model Controls & Management,AI Model Lifecycle,Mod 2.2,Model Lifecycle Documented,"Document AI model details including model type (e.g., convolutional neural network, reinforcement learning, decision tree, random forest, etc.) data features, training algorithms, proposed uses, decision thresholds, training data, evaluation data, and ethical considerations."
AI Model Controls & Management,AI Model Lifecycle,Mod 2.3,Model Code Maintainability,Mechanisms are established to enable AI actors to regularly incorporate adjudicated feedback from relevant sources into system design and implementation.
AI Model Controls & Management,AI Model Lifecycle,Mod 2.4,Assess Model Security,"Identify security measures to protect against unauthorized access, data breaches, and malicious attacks (security & risk assessments, attack surface assessments, threat assessments, etc.) to AI models."
AI Model Controls & Management,AI Model Compliance,Mod 3.1,Model Drift Tracking,Regularly monitor AI Model performance and trustworthiness to enhance ability to detect and respond to drift.  Processes and mechanisms for regular monitoring model functionality and behavior - as well as impacts and alignment with the values and norms within the specific context of use.
AI Model Controls & Management,AI Model Compliance,Mod 3.2,Model Posture Management & Compliance,"Implement monitoring and logging mechanisms to track AI models’ secure configurations, performance, usage, and compliance with relevant regulations and ethical guidelines."
AI Model Controls & Management,AI Model Compliance,Mod 3.3,Model Monitoring and Tracking,Regularly track the AI model(s) to ensure that they do not lead to inaccurate / harmful results.
AI Model Controls & Management,Prompt Safety & Security,Mod 4.1,Input manipulation & prompt injection Protection,"Detect and block adversarial inputs, prompts, or atypical queries that deviate from known benign behavior, exhibit behavior patterns observed in previous attacks."
AI Model Controls & Management,Prompt Safety & Security,Mod 4.2,Prevent inference attacks / Minimize Query Response,"Regulate the amount and fidelity of potentially sensitive information in, prompts and API queries to limit the amount of information an attacker can learn."
AI Model Controls & Management,Prompt Safety & Security,Mod 4.3,Prevent Toxic Results,"Prevent models from responding with hateful, abusive, or toxic content; hallucinations; malicious outputs (i.e. generating harmful code); sensitive model or data information leakage."
AI Model Controls & Management,AI Model Access,Mod 5.1,Model Access Controls,"Establish access controls around models that are exposed for enterprise usage, including for AI applications; secure internal model registries and limit internal access to production models. Such access controls should include contextual policies that factor in who, what, when, and from where."
AI Model Controls & Management,AI System and Model Threat Detection,Mod 6.1,Model Security Testing,"Deploy testing measures, including red teaming for adversarial testing, throughout the AI lifecycle."
AI Model Controls & Management,AI System and Model Threat Detection,Mod 6.2,Model Vulnerability Mitigation,"Identify and mitigate vulnerabilities, incidents and patterns of misuse, including third party vulnerabilities."
AI Model Controls & Management,AI System and Model Threat Detection,Mod 6.3,Establish Resilient AI Models,"Design and implement AI models with robustness, ensuring they can withstand various types of failures, attacks, and unexpected inputs."
AI Data Controls & Management,Data Classification and Lineage,Dat 1.1,Data Source Determination,"Document assumptions made and techniques used in data selection, curation, preparation and analysis, including: identification of constructs and development of indices – especially those operationalizing concepts that are inherently unobservable (e.g. “hireability,” “criminality.” “lendability”)"
AI Data Controls & Management,Data Classification and Lineage,Dat 1.2,Implement Data Classification Schema,"Implement robust data classification mechanisms to accurately categorize and label data according to its sensitivity, ensuring appropriate handling and protection based on the classification."
AI Data Controls & Management,Data Classification and Lineage,Dat 1.3,Data Bias Mitigation / Transparency Enablement,"Map adherence to policies that address data and construct validity, fairness, bias, and explainability for AI systems and verify documentation, oversight, and processes."
AI Data Controls & Management,Data Classification and Lineage,Dat 1.4,Data Transformation,Enforce data transformation activities risk mitigation identified in risk assessment.
AI Data Controls & Management,Data Classification and Lineage,Dat 1.5,Data Labeling / Attribution,Develop and deploy mechanism to authenticate and label AI generated content for users’ awareness.
AI Data Controls & Management,Data Classification and Lineage,Dat 1.6,Data Usage Permission / Data Owner Consent,"Ensure legal right to leverage data for training, inference, and usage"
AI Data Controls & Management,Data Quality & Integrity,Dat 2.1,Sanitize Input Data,"Implement safeguards for protecting input data to train AI systems, including protection of personal data and intellectual property."
AI Data Controls & Management,Data Quality & Integrity,Dat 2.2,Verify Data Integrity,Verify that all machine learning data artifacts and files have not been modified by unauthorized individuals.
AI Data Controls & Management,Data Compliance,Dat 3.1,Data residency and location,"Ensure enterprise requirements based on risk and compliance around data residency and location are met. Based on data residency and sovereignty requirements, there is increased need to restrict where data is stored."
AI Data Controls & Management,Data Privacy & Confidentiality,Dat 4.1,Privacy Protections,"Implement safeguards for protecting input data, including protection of personal data and intellectual property."
AI Data Controls & Management,Data Privacy & Confidentiality,Dat 4.2,Sensitive Data Security /Data Confidentiality,"Develop and implement data confidentiality mechanisms to ensure that data architecture has factored in security practices, so that AI systems or data layers do not divulge sensitive or confidential information to unauthorized access. Also protect contextual data that is used with AI systems in inferencing and other use cases."
AI Data Controls & Management,Data Access Controls,Dat 5.1,Detect & respond to unauthorized and malicious access,Monitor data activity and access. Detect malicious and/or unauthorized access.
AI Data Controls & Management,Data Activity and Posture Monitoring,Dat 6.1,Detect & respond to unauthorized and malicious access,Monitor data activity and access. Detect malicious and/or unauthorized access and respond.
