"control_id","control_domain","control_specification","architectural_relevance.phys","architectural_relevance.network","architectural_relevance.compute","architectural_relevance.storage","architectural_relevance.app","architectural_relevance.data","corp_gov_relevance","service_delivery_model.saas","service_delivery_model.paas","service_delivery_model.iaas","supplier_relationship.service_provider","supplier_relationship.tenant_consumer","framework_mappings.aicpa_2009_tsc_map","framework_mappings.aicpa_trust_service_criteria_soc_2sm_report","framework_mappings.aicpa_2014_tsc","framework_mappings.bits_shared_assessments_aup_v5_0","framework_mappings.bits_shared_assessments_sig_v6_0","framework_mappings.canada_pipeda","framework_mappings.ccm_v1_x","framework_mappings.cobit_4_1","framework_mappings.cobit_5_0","framework_mappings.coppa","framework_mappings.csa_enterprise_architecture_formerly_trusted_cloud_initiative","framework_mappings.csa_enterprise_architecture_formerly_trusted_cloud_initiative_2","framework_mappings.csa_enterprise_architecture_formerly_trusted_cloud_initiative_3","framework_mappings.csa_guidance_v3_0","framework_mappings.enisa_iaf","framework_mappings.95_46_ec_european_union_data_protection_directive","framework_mappings.fedramp_security_controls_final_release_jan_2012_low_impact_level","framework_mappings.fedramp_security_controls_final_release_jan_2012_moderate_impact_level","framework_mappings.gapp_aug_2009","framework_mappings.hipaa_hitech_act","framework_mappings.iso_iec_27001_2005","framework_mappings.iso_iec_27001_2013","framework_mappings.jericho_forum","framework_mappings.nerc_cip","framework_mappings.nist_sp800_53_r3","framework_mappings.nist_sp800_53_r4_app_j","framework_mappings.nzism","framework_mappings.odca_um_pa_r2_0","framework_mappings.odca_um_pa_r2_0_2","framework_mappings.pci_dss_v2_0","framework_mappings.pci_dss_v3_0","framework_mappings.tenant_consumer","framework_mappings.bsi_germany","framework_mappings.mexico_federal_law_on_protection_of_personal_data_held_by_private_parties","framework_mappings.itar","framework_mappings.ferpa"
"DCS-05","Datacenter Security
Off-Site Equipment","Policies and procedures shall be established for the secure disposal of equipment (by asset type) used outside the organization's premises. This shall include a wiping solution or destruction process that renders recovery of information impossible. The erasure shall consist of a full overwrite of the drive to ensure that the erased drive is released to inventory for reuse and deployment, or securely stored until it can be destroyed.","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S3.4","(S3.4) Procedures exist to protect against unauthorized access to system resources.","CC5.6","D.1","D.1.1, D.2.1. D.2.2,","Schedule 1 (Section 5), 4.7 Safeguards, Subsec. 4.7.5","FS-07","","APO09.03
APO10.04
APO10.05
APO13.01
DSS01.02","312.8 and 312.10","BOSS > Data Governance > Secure Disposal of Data","provider","x","Domain 8","6.05. (a)
6.05. (b)
6.05. (c)","Article 17","NIST SP 800-53 R3 CM-8","NIST SP 800-53 R3 CM-8
NIST SP 800-53 R3 CM-8 (1)
NIST SP 800-53 R3 CM-8 (3)
NIST SP 800-53 R3 CM-8 (5)
NIST SP 800-53 R3 SC-30","","45 CFR 164.310 (d)(2)(iii)","A.7.1.1
A.7.1.2","A.8.1.1
A.8.1.2","Commandment #6
Commandment #7
Commandment #8","","CM-8","","12.6","PA4","BSGP","9.9.1
12.3.3
12.3.4","9.8, 9.8.1, 9.8.2
12.3","X","","","",""
"DCS-06","Datacenter Security
Policy","Policies and procedures shall be established, and supporting business processes implemented, for maintaining a safe and secure working environment in offices, rooms, facilities, and secure areas storing sensitive information.","Y","N","N","N","N","N","N","N","N","N","Y","Y","A3.6.0","(A3.6.0) Procedures exist to restrict physical access to the defined system including, but not limited to, facilities, backup media, and other system components such as firewalls, routers, and servers.","CC5.5","H.6","F.1.2.3, F.1.2.4, F.1.2.5, F.1.2.6, F.1.2.8, F.1.2. 9, F.1.2.10, F.1.2.11, F.1.2.12, F.1.2.13, F.1.2.14, F.1.2.15, F.1.2.24, F.1.4.2, F1.4.6, F.1.4.7, F.1.7, F.1.8, F.2.13, F.2.14, F.2.15, F.2.16, F.2.17, F.2.18","Schedule 1 (Section 5), 4.7 Safeguards, Subsec. 4.7.3","FS-01","","APO13.01
DSS01.04
DSS01.05
DSS04.01
DSS04.03","","SRM > Policies and Standards > Information Security Policies (Facility Security Policy)","provider","x","Domain 8","6.08. (a)
6.09. (i)","Article 17","NIST SP 800-53 R3 PE-2
NIST SP 800-53 R3 PE-3
NIST SP 800-53 R3 PE-6","NIST SP 800-53 R3 PE-2
NIST SP 800-53 R3 PE-3
NIST SP 800-53 R3 PE-4
NIST SP 800-53 R3 PE-5
NIST SP 800-53 R3 PE-6
NIST SP 800-53 R3 PE-6 (1)","8.2.1
8.2.2
8.2.3","45 CFR 164.310(a)(1)
45 CFR 164.310(a)(2)(ii)
45 CFR 164.310(b)
45 CFR 164.310 ( c) (New)","A.9.1.1
A.9.1.2","A.11.1.1
A.11.1.2","Commandment #1
Commandment #2
Commandment #3
Commandment #5","CIP-006-3c R1.2 - R1.3 - R1.4 -R2 - R2.2","PE-2
PE-3
PE-4
PE-5
PE-6","","4.2
8.1","PA4","BSGP","9.1","9.1
9.1.1
9.1.2
9.2
9.3
9.4
9.4.1
9.4.2
9.4.3
9.4.4","X","7 (B)","","","99.31.a.1.ii"
"DCS-07","Datacenter Security - Secure Area Authorization","Ingress and egress to secure areas shall be constrained and monitored by physical access control mechanisms to ensure that only authorized personnel are allowed access.","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","A3.6.0","(A3.6.0) Procedures exist to restrict physical access to the defined system including, but not limited to, facilities, backup media, and other system components such as firewalls, routers, and servers.","CC5.5","F.2","F.1.2.3, F.1.2.4, F.1.2.5, F.1.2.6, F.1.2.8, F.1.2. 9, F.1.2.10, F.1.2.11, F.1.2.12, F.1.2.13, F.1.2.14, F.1.2.15, F.1.2.24, F.1.3, F.1.4.2, F1.4.6, F.1.4.7, F.1.6, F.1.7,F.1.8, F.2.13, F.2.14, F.2.15, F.2.16, F.2.17, F.2.18","Schedule 1 (Section 5), 4.7 Safeguards, Subsec. 4.7.3","FS-04","DS 12.3","APO13.01
APO13.02
DSS05.05","312.8 and 312.10","SRM > Policies and Standards > Information Security Policy (Facility Security Policy)","provider","x","Domain 8","6.08. (a)
6.09. (i)","Article 17","NIST SP 800-53 R3 PE-7
NIST SP 800-53 R3 PE-16","NIST SP 800-53 R3 PE-7
NIST SP 800-53 R3 PE-7 (1)
NIST SP 800-53 R3 PE-16
NIST SP 800-53 R3 PE-18","8.2.3","","A.9.1.6","A.11.1.6","Commandment #1
Commandment #2
Commandment #3
Commandment #5","CIP-006-3c R1.2 - R1.3 - R1.4","PE-7
PE-16
PE-18","","8.2
8.1","PA4","BSGP","","9.1
9.1.1
9.1.3","","7 (B)","","","99.31.a.1.ii"
"DCS-08","Datacenter Security
Unauthorized Persons Entry","Ingress and egress points such as service areas and other points where unauthorized personnel may enter the premises shall be monitored, controlled and, if possible, isolated from data storage and processing facilities to prevent unauthorized data corruption, compromise, and loss.","Y","Y","Y","Y","N","N","N","Y","Y","Y","Y","N","A3.6.0","(A3.6.0) Procedures exist to restrict physical access to the defined system including, but not limited to, facilities, backup media, and other system components such as firewalls, routers, and servers.","CC5.5","G.21","F.2.18","Schedule 1 (Section 5), 4.7 Safeguards, Subsec. 4.7.3","FS-05","","APO13.01
APO13.02
DSS05.05
DSS06.03","312.8 and 312.10","SRM > Policies and Standards > Information Security Policy (Facility Security Policy)","provider","x","Domain 8","6.08. (a)
6.09. (j)","Article 17","NIST SP 800-53 R3 MA-1
NIST SP 800-53 R3 MA-2
NIST SP 800-53 R3 PE-16","NIST SP 800-53 R3 MA-1
NIST SP 800-53 R3 MA-2
NIST SP 800-53 R3 MA-2 (1)
NIST SP 800-53 R3 PE-16","8.2.5
8.2.6","45 CFR 164.310 (d)(1)","A.9.2.7
A.10.1.2","A.11.2.5
8.1* (partial) A.12.1.2","Commandment #6
Commandment #7","","MA-1
MA-2
PE-16","","8.1
8.2
8.3
8.4","PA4","BSGP","9.8
9.9","9.1
9.1.1
9.1.2
9.2
9.3
9.4
9.4.1
9.4.2
9.4.3
9.4.4
9.5
9.5.1","","","","","99.31.a.1.ii"
"DCS-09","Datacenter Security
User Access","Physical access to information assets and functions by users and support personnel shall be restricted.","Y","N","N","N","N","N","N","Y","Y","Y","Y","N","A3.6.0","(A3.6.0) Procedures exist to restrict physical access to the defined system including, but not limited to, facilities, backup media, and other system components such as firewalls, routers, and servers.","CC5.5","F.2","F.1.2.3, F.1.2.4, F.1.2.5, F.1.2.6, F.1.2.8, F.1.2. 9, F.1.2.10, F.1.2.11, F.1.2.12, F.1.2.13, F.1.2.14, F.1.2.15, F.1.2.24, F.1.3, F.1.4.2, F1.4.6, F.1.4.7, F.1.6, F.1.7,F.1.8, F.2.13, F.2.14, F.2.15, F.2.16, F.2.17, F.2.18","Schedule 1 (Section 5), 4.7 Safeguards, Subsec. 4.7.3","FS-02","DS 12.3","APO13.01
APO13.02
DSS05.04
DSS05.05
DSS06.03","312.8 and 312.10","Infra Services > Facility Security >","","","Domain 8","6.08. (a)
6.09. (i)","Article 17","NIST SP 800-53 R3 PE-2
NIST SP 800-53 R3 PE-3
NIST SP 800-53 R3 PE-6","NIST SP 800-53 R3 PE-2
NIST SP 800-53 R3 PE-3
NIST SP 800-53 R3 PE-6
NIST SP 800-53 R3 PE-6 (1)
NIST SP 800-53 R3 PE-18","8.2.3","","A.9.1.1","A.11.1.1","Commandment #1
Commandment #2
Commandment #3
Commandment #5","CIP-006-3c R1.2 - R1.3 - R1.4 - R1.6 - R1.6.1 - R2 - R2.2","PE-2
PE-3
PE-6
PE-18","","8.1
8.2","PA4
PA13
PA24","BSGP
SGP
P","9.1","9.1
9.1.1
9.1.2
9.2
9.3
9.4
9.4.1
9.4.2
9.4.3
9.4.4
9.5
9.5.1","","7 (B)
10 (B)","Chapter II,
Article 19","ITAR 22 CFR § 120.17
EAR 15 CFR §736.2 (b)","99.31.a.1.ii"
"DSI-01","Data Security & Information Lifecycle Management 
Classification","Data and objects containing data shall be assigned a classification by the data owner based on data type, value, sensitivity, and criticality to the organization.","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S3.8.0



C3.14.0","(S3.8.0) Procedures exist to classify data in accordance with classification policies and periodically monitor and update such classifications as necessary.

(C3.14.0) Procedures exist to provide that system data are classified in accordance with the defined confidentiality and related security policies.","CC3.1

CC3.1","","D.1.3, D.2.2","","DG-02","PO 2.3
DS 11.6","APO01.06
APO03.02
APO08.01
APO09.03
APO13.01
BAI09.01
BAI09.02
BAI09.03
DSS04.07
DSS05.04
DSS05.05
DSS06.06","312.3","BOSS > Data Governance > Data Classification","shared","x","Domain 5","6.04.03. (a)","Article 4 (1),
Article 12, Article 17","NIST SP 800-53 R3 RA-2","NIST SP 800-53 R3 RA-2
NIST SP 800-53 R3 AC-4","1.2.3
1.2.6
4.1.2
8.2.1
8.2.5
8.2.6","","A.7.2.1","A.8.2.1","Commandment #9","CIP-003-3 - R4 - R5","RA-2
AC-4","DM-1 Minimization of Personsally Identifidable Information.  DM-2 Data Retention & Disposal.  DM-3 Minimization of PII used in Testing, Training, and Research.","","PA10","SGP","9.7.1
9.10
12.3","3.1
9.6.1, 9.7.1
9.10
12.3","X","","General Provisions, Article 3, V. and VI.","",""
"DSI-02","Data Security & Information Lifecycle Management
Data Inventory / Flows","Policies and procedures shall be established to inventory, document, and maintain data flows for data that is resident (permanently or temporarily) within the service's applications and infrastructure network and systems. In particular, providers shall ensure that data that is subject to geographic residency requirements not be migrated beyond its defined bounds.","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","--","","APO01.06
APO03.01
APO03.02
APO09.01
APO09.01
BAI06.03
BAI09.01
BAI10.01
BAI10.02
BAI10.03
BAI10.04
BAI10.05","","BOSS > Data Governance > Handling / Labeling / Security Policy","","","Domain 5","6.10. (a)
6.10. (b)
6.10. (c)
6.10. (d)
6.10. (e)","","","NIST SP 800-53 R3 SC-30","","","","Clause
4.2
5.2,
7.5,
8.1","","","","TR-2 SYSTEM OF RECORDS NOTICES AND PRIVACY ACT STATEMENTS","","","","","1.1.3
12.3.3","","","","",""
"DSI-03","Data Security & Information Lifecycle Management
eCommerce Transactions","Data related to electronic commerce (e-commerce) that traverses public networks shall be appropriately classified and protected from fraudulent activity, unauthorized disclosure, or modification in such a manner to prevent contract dispute and compromise of data.","N","Y","N","N","N","Y","N","Y","Y","Y","Y","Y","S3.6




I13.3.a-e





I3.4.0","(S3.6) Encryption or other equivalent security techniques are used to protect transmissions of user authentication and other confidential information passed over the Internet or other public networks.

(I13.3.a-e) The procedues related to completeness, accuracy, timeliness, and authorization of system processing, including error correction and database management, are consistent with documented system processing integrity policies.

(I3.4.0) The procedures related to completeness, accuracy, timeliness, and authorization of outputs are consistent with the documented system processing integrity policiies.","CC5.7



PI1.5","G.4
G.11
G.16
G.18
I.3
I.4","G.19.1.1, G.19.1.2, G.19.1.3, G.10.8, G.9.11, G.14, G.15.1","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","IS-28","DS 5.10 5.11","APO01.06
APO03.02
APO08.01
APO13.01
APO13.02
DSS05
DSS06","312.8 and 312.10","SRM > Cryptographic Services > Data in Transit Encryption","shared","x","Domain 2","","Article 17","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AC-2
NIST SP 800-53 R3 AC-22
NIST SP 800-53 R3 AU-1","NIST SP 800-53 R3 AC-22
NIST SP 800-53 R3 AU-10
NIST SP 800-53 R3 AU-10 (5)
NIST SP 800-53 R3 SC-8
NIST SP 800-53 R3 SC-8 (1)
NIST SP 800-53 R3 SC-9
NIST SP 800-53 R3 SC-9 (1)","3.2.4
4.2.3
7.1.2
7.2.1
7.2.2
8.2.1
8.2.5","45 CFR 164.312(e)(1)
45 CFR 164.312(e)(2)(i)","A.7.2.1
A.10.6.1
A.10.6.2
A.10.9.1
A.10.9.2
A.15.1.4","A.8.2.1
A.13.1.1
A.13.1.2
A.14.1.2
A.14.1.3
A.18.1.4","Commandment #4
Commandment #5
Commandment #9
Commandment #10
Commandment #11","","AC-14
AC-21
AC-22
IA-8
AU-10
SC-4
SC-8
SC-9","TR-2 SYSTEM OF RECORDS NOTICES AND PRIVACY ACT STATEMENTS","","PA25
PA21
PA5","GP
GP
BSGP","2.1.1
4.1
4.1.1
4.2","2.1.1
3.1
4.1
4.1.1
4.2","X","","","",""
"DSI-04","Data Security & Information Lifecycle Management
Handling / Labeling / Security Policy","Policies and procedures shall be established for the labeling, handling, and security of data and objects which contain data. Mechanisms for label inheritance shall be implemented for objects that act as aggregate containers for data.","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","S3.2.a","(S3.2.a) a. Logical access security measures to restrict access to information resources not deemed to be public.","CC5.1","G.13","D.2.2","","DG-03","PO 2.3
DS 11.6","APO01.06
APO03.02
APO08.01
APO09.03
APO13.01
BAI09.01
BAI09.02
BAI09.03
DSS04.07
DSS05.04
DSS05.05
DSS06.06","312.2","BOSS > Data Governance > Handling / Labeling / Security Policy","shared","x","Domain 5","6.03.05. (b)","Article 22 
Article 23","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 MP-1
NIST SP 800-53 R3 PE-1
NIST SP 800-53 R3 PE-16
NIST SP 800-53 R3 SI-1
NIST SP 800-53 R3 SI-12","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AC-16
NIST SP 800-53 R3 MP-1
NIST SP 800-53 R3 MP-3
NIST SP 800-53 R3 PE-16
NIST SP 800-53 R3 SC-9
NIST SP 800-53 R3 SC-9 (1)
NIST SP 800-53 R3 SI-1
NIST SP 800-53 R3 SI-12","1.1.2
5.1.0
7.1.2
8.1.0
8.2.5
8.2.6","","A.7.2.2
A.10.7.1
A.10.7.3
A.10.8.1","A.8.2.2
A.8.3.1
A.8.2.3
A.13.2.1","Commandment #8
Commandment #9
Commandment #10","CIP-003-3 - R4 - R4.1","AC-16
MP-1
MP-3
PE-16
SI-12
SC-9","DM-1 Minimization of Personsally Identifidable Information.  DM-2 Data Retention & Disposal.  DM-3 Minimization of PII used in Testing, Training, and Research.  SE-1 INVENTORY OF PERSONALLY IDENTIFIABLE INFORMATION","13.1","","","9.5
9.6
9.7.1
9.7.2
9.10","9.5, 9.5.1
9.6
9.7
9.8
9.9","X","","Chapter II
Article 8, 9, 11, 12, 14, 18, 19, 20, 21","","99.31.(a)(1)(ii)"
"DSI-05","Data Security & Information Lifecycle Management
Non-Production Data","Production data shall not be replicated or used in non-production environments.","N","N","N","Y","Y","Y","N","Y","Y","Y","Y","N","C3.5.0 



S3.4.0


C3.21.0","(C3.5.0) The system procedures provide that confidential information is disclosed to parties only in accordance with the entity’s defined confidentiality and related security policies.

(S3.4.0) Procedures exist to protect against unauthorized access to system resources.

(C3.21.0) Procedures exist to provide that confidential information is protected during the system development, testing, and change processes in accordance with defined system confidentiality and related security policies.","C1.3

CC5.6

C1.1","","I.2.18","","DG-06","","APO01.06
BAI01.01
BAI03.07
BAI07.04","","SRM > Policies and Standards > Technical Standard (Data Management  Security Standard)","shared","x","Domain 5","6.03. (d)","","","NIST SP 800-53 R3 SA-11
NIST SP 800-53 R3 SA-11 (1)","1.2.6","45 CFR 164.308(a)(4)(ii)(B)","A.7.1.3
A.10.1.4
A.12.4.2
A.12.5.1","A.8.1.3
A.12.1.4
A.14.3.1
8.1* (partial) A.14.2.2.","Commandment #9
Commandment #10
Commandment #11","CIP-003-3 - R6","SA-11
CM-04","DM-1 Minimization of Personsally Identifidable Information.  DM-2 Data Retention & Disposal.  DM-3 Minimization of PII used in Testing, Training, and Research.","17.8","","","6.4.3","6.4.3","","","","",""
"DSI-06","Data Security & Information Lifecycle Management
Ownership / Stewardship","All data shall be designated with stewardship, with assigned responsibilities defined, documented, and communicated.","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","S2.2.0



S2.3.0




S3.8.0","(S2.2.0) The security obligations of users and the entity’s security commitments to users are communicated to authorized users.

(S2.3.0) Responsibility and accountability for the entity’s system security policies and changes and updates to those policies are communicated to entity personnel responsible for implementing them.

(S3.8.0) Procedures exist to classify data in accordance with classification policies and periodically monitor and update such classifications as necessary","CC2.3

CC3.1","","C.2.5.1, C.2.5.2, D.1.3, L.7","Schedule 1 (Section 5) 4.5 - Limiting Use, Disclosure and Retention, Subsec. 4.1.3","DG-01","DS5.1
PO 2.3","APO01.06
APO03.02
APO13.01
APO13.03","312.4","BOSS > Data Governance > Data Ownership / Stewadship","shared","x","Domain 5","","Article 4","NIST SP 800-53 R3 CA-2
NIST SP 800-53 R3 CA-2 (1)
NIST SP 800-53 R3 PS-2
NIST SP 800-53 R3 RA-2
NIST SP 800-53 R3 SA-2","NIST SP 800-53 R3 CA-2
NIST SP 800-53 R3 CA-2 (1)
NIST SP 800-53 R3 PS-2
NIST SP 800-53 R3 RA-2
NIST SP 800-53 R3 SA-2","6.2.1","45 CFR 164.308 (a)(2)","A.6.1.3
A.7.1.2
A.15.1.4","A.6.1.1
A.8.1.2
A.18.1.4","Commandment #6
Commandment #10","CIP-007-3 - R1.1 - R1.2","CA-2
PM-5
PS-2
RA-2
SA-2","AP-1 AUTHORITY TO COLLECT.  AP-2 PURPOSE SPECIFICATION.","3.4","","","","3.7
12.5.5
12.10.4","","","Chapter IV
Article 30","",""
"DSI-07","Data Security & Information Lifecycle Management
Secure Disposal","Any use of customer data in non-production environments requires explicit, documented approval from all customers whose data is affected, and must comply with all legal and regulatory requirements for scrubbing of sensitive data elements.","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","C3.5.0 



S3.4.0","(C3.5.0) The system procedures provide that confidential information is disclosed to parties only in accordance with the entity’s defined confidentiality and related security policies.

(S3.4.0) Procedures exist to protect against unauthorized access to system resources.","C1.3

CC5.6","","D.2.2.10, D.2.2.11, D.2.2.14,","Schedule 1 (Section 5) 4.5 - Limiting Use, Disclosure and Retention, Subsec. 4.7.5 and 4.5.3","DG-05","DS 11.4","APO01.06
APO13.01
BAI09.03
DSS01.01","312.3","BOSS > Data Governance > Secure Disposal of Data","shared","x","Domain 5","6.03. (h)","Article 16
Article 17","NIST SP 800-53 R3 MP-6
NIST SP 800-53 R3 PE-1","NIST SP 800-53 R3 MP-6
NIST SP 800-53 R3 MP-6 (4)
NIST SP 800-53 R3 PE-1","5.1.0
5.2.3","45 CFR 164.310 (d)(2)(i)
45 CFR 164.310 (d)(2)(ii)","A.9.2.6
A.10.7.2","A.11.2.7
A.8.3.2","Commandment #11","CIP-007-3 - R7 - R7.1 - R7.2 R7.3","MP-6
PE-1","DM-2 DATA RETENTION AND DISPOSAL","13.4
13.5","PA10
PA39
PA34
PA40","BSGP
SGP
SGP
SGP","3.1.1
9.10
9.10.1
9.10.2
3.1","3.1.1
9.8, 9.8.1, 9.8.2, 3.1","","37 (B)","","",""
"EKM-01","Encryption & Key Management
Entitlement","Keys must have identifiable owners (binding keys to identities) and there shall be key management policies.","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","APO01.06
APO13.01
DSS05.04
DSS05.06
DSS06.03
DSS06.06","","SRM > Cryptographic Services > Key Management","","","","","","","","","","","Annex
A.10.1
A.10.1.1
A.10.1.2","","","","","","PA36","","","3.5, 7.1.3
8.1
8.1.1
8.2.2
8.5
8.5.1","","","","",""
"EKM-02","Encryption & Key Management
Key Generation","Policies and procedures shall be established for the management of cryptographic keys in the service's cryptosystem (e.g., lifecycle management from key generation to revocation and replacement, public key infrastructure, cryptographic protocol design and algorithms used, access controls in place for secure key generation, and exchange and storage including segregation of keys used for encrypted data or sessions). Upon request, provider shall inform the customer (tenant) of changes within the cryptosystem, especially if the customer (tenant) data is used as part of the service, and/or the customer (tenant) has some shared responsibility over implementation of the control.","N","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","S3.6.0




S3.4","(S3.6.0) Encryption or other equivalent security techniques are used to protect transmissions of user authentication and other confidential information passed over the Internet or other public networks.

(S3.4) Procedures exist to protect against unauthorized access to system resources.","CC5.7

CC5.6","","L.6","Schedule 1 (Section 5), 4.7 - Safeguards, Subsec. 4.7.3","IS-19","DS5.8","APO13.01
APO13.02
APO09.03
BAI06.01
BAI09.01
BAI09.02
BAI09.03","312.8 and 312.10","SRM > Cryptographic Services > Key Management","shared","x","Domain 2","6.04.04. (a)
6.04.04. (b)
6.04.04. (c)
6.04.04. (d)
6.04.04. (e)
6.04.05. (d)
6.04.05. (e)
6.04.08.02. (b)","Article 17","NIST SP 800-53 R3 SC-12
NIST SP 800-53 R3 SC-13","NIST SP 800-53 R3 SC-12
NIST SP 800-53 R3 SC-12 (2)
NIST SP 800-53 R3 SC-12 (5)
NIST SP 800-53 R3 SC-13
NIST SP 800-53 R3 SC-13 (1)
NIST SP 800-53 R3 SC-17","8.1.1
8.2.1
8.2.5","45 CFR 164.312 (a)(2)(iv)
45 CFR 164.312(e)(1)","Clause 4.3.3
A.10.7.3
A.12.3.2
A.15.1.6","Clauses
5.2(c)
5.3(a)
5.3(b)
7.5.3(b)
7.5.3(d)
8.1
8.3
9.2(g)
A.8.2.3
A.10.1.2
A.18.1.5","Commandment #9
Commandment #10
Commandment #11","","SC-12
SC-13
SC-17
SC-28","","16.2","PA36","","3.4.1
3.5
3.5.1
3.5.2
3.6
3.6.1
3.6.2
3.6.3
3.6.4
3.6.5
3.6.6
3.6.7
3.6.8","3.4.1
3.5
3.5.1
3.5.2
3.6
3.6.1
3.6.2
3.6.3
3.6.4
3.6.5
3.6.6
3.6.7
3.6.8, 
4.1
6.5.3
8.2.1
8.2.2","","38 (B)
39 (C+)","","",""
"EKM-03","Encryption & Key Management
Sensitive Data Protection","Policies and procedures shall be established, and supporting business processes and technical measures implemented, for the use of encryption protocols for protection of sensitive data in storage (e.g., file servers, databases, and end-user workstations), data in use (memory), and data in transmission (e.g., system interfaces, over public networks, and electronic messaging) as per applicable legal, statutory, and regulatory compliance obligations.","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","C3.12.0
S3.6.0



S3.4","(C3.12.0, S3.6.0) Encryption or other equivalent security techniques are used to protect transmissions of user authentication and other confidential information passed over the Internet or other public networks.

(S3.4) Procedures exist to protect against unauthorized access to system resources.","CC5.7

CC5.6","G.4
G.15
I.3","G.10.4, G.11.1, G.11.2, G.12.1, G.12.2, G.12.4, G.12.10, G.14.18, G.14.19, G.16.2, G.16.18, G.16.19, G.17.16, G.17.17, G.18.13, G.18.14, G.19.1.1, G.20.14","Schedule 1 (Section 5) 4.7 Safeguards, Subs. 4.7.3","IS-18","DS5.8
DS5.10
DS5.11","APO13.01
DSS05.02
DSS05.03
DSS06.06","312.8 and 312.10","SRM > Data Protection > Cryptographic Services - Data-At-Rest Encryption,
Cryptographic Services - Data-in-Transit Encryption","shared","x","Domain 2","6.04.05. (a)
6.04.05. (c)","Article 17","NIST SP 800-53 R3 AC-1
NIST SP 800-53 R3 AC-18
NIST SP 800-53 R3 IA-7
NIST SP 800-53 R3 SC-1
NIST SP 800-53 R3 SC-7
NIST SP 800-53 R3 SC-13","NIST SP 800-53 R3 AC-18
NIST SP 800-53 R3 AC-18 (1)
NIST SP 800-53 R3 AC-18 (2)
NIST SP 800-53 R3 IA-7
NIST SP 800-53 R3 SC-7
NIST SP 800-53 R3 SC-7 (4)
NIST SP 800-53 R3 SC-8
NIST SP 800-53 R3 SC-8 (1)
NIST SP 800-53 R3 SC-9
NIST SP 800-53 R3 SC-9 (1)
NIST SP 800-53 R3 SC-13
NIST SP 800-53 R3 SC-13 (1)
NIST SP 800-53 R3 SC-23
NIST SP 800-53 R3 SC-28
NIST SP 800-53 R3 SI-8","8.1.1
8.2.1
8.2.5","45 CFR 164.312 (a)(2)(iv)
45 CFR 164.312 (e)(1)
45 CFR 164.312 (e)(2)(ii)","A.10.6.1
A.10.8.3
A.10.8.4
A.10.9.2
A.10.9.3
A.12.3.1
A.15.1.3
A.15.1.4","A.13.1.1
A.8.3.3
A.13.2.3
A.14.1.3
A.14.1.2
A.10.1.1
A.18.1.3
A.18.1.4","Commandment #4
Commandment #5
Commandment #9
Commandment #10
Commandment #11","CIP-003-3 - R4.2","AC-18
IA-3
IA-7
SC-7
SC-8
SC-9
SC-13
SC-16
SC-23
SI-8","","16.1","PA25","GP","2.1.1
3.4
3.4.1
4.1
4.1.1
4.2","2.1.1
2.3
3.3
3.4
3.4.1
4.1
4.1.1
4.2
4.3
6.5.3
6.5.4
8.2.1","","23 (B)
24 (B)
25 (B)","","",""
"EKM-04","Encryption & Key Management
Storage and Access","Platform and data-appropriate encryption (e.g., AES-256) in open/validated formats and standard algorithms shall be required. Keys shall not be stored in the cloud (i.e. at the cloud provider in question), but maintained by the cloud consumer or trusted key management provider. Key management and key usage shall be separated duties.","N","N","N","Y","N","Y","N","Y","Y","Y","Y","Y","","","","","","","--","","APO01.06
BAI09.02
BAI09.03","","SRM > Cryptographic Services > Key Management","shared","x","Domain 11","","","","","","","","Annex
A.10.1
A.10.1.1
A.10.1.2","","","","","","","","","3.5.2, 3.5.3
3.6.1, 3.6.3","X","","","",""
