"task_id","phase_id","phase_name","task_statement","content"
"P-15","P","Prepare","Define the security and privacy requirements for the system and the environment of operation.","**Potential Inputs:** System design documentation; organization- and system-level risk assessment results; known set of stakeholder assets to be protected; missions, business functions, and mission/business processes the system will support; business impact analyses or criticality analyses; system stakeholder information; data map of the information life cycle for PII; Cybersecurity Framework Profiles; information about other systems that interact with the system; supply chain information; threat information; laws, executive orders, directives, regulations, or policies that apply to the system; risk management strategy. **Expected Outputs:** Documented security and privacy requirements. **Primary Responsibility:** Mission or Business Owner; System Owner; Information Owner or Steward; System Privacy Officer. 69 <sup>69</sup> The system privacy officer is a primary role only when the information system processes PII. **Supporting Roles:** Authorizing Official or Authorizing Official Designated Representative; System Security Officer; Senior Agency Information Security Officer; Senior Agency Official for Privacy; Chief Acquisition Officer; Security Architect; Privacy Architect; Enterprise Architect. ________________________________________________________________________________________________ **System Development Life Cycle Phase:** New – Initiation (concept/requirements definition). Existing – Operations/Maintenance. **Discussion:** Protection needs are an expression of the protection capability required for the system in order to reduce security and privacy risk to an acceptable level while supporting mission or business needs. Protection needs include the security characteristics70 of the system and the security behavior of the system in its intended operational environment and across all system life cycle phases. The protection needs reflect the priorities of stakeholders, results of negotiations among stakeholders in response to conflicts, opposing priorities, contradictions, and stated objectives, and thus, are inherently subjective. The protection needs are documented to help ensure that the reasoning, assumptions, and constraints associated with those needs are available for future reference and to provide traceability to the security and privacy requirements. Security and privacy requirements71 constitute a formal, more granular expression of protection needs across all SDLC phases, the associated life cycle processes, and protections for the assets associated with the system. Security and privacy requirements are obtained from many sources (e.g., laws, executive orders, directives, regulations, policies, standards, mission and business needs, or risk assessments). Security and privacy requirements are an important part of the formal expression of the required characteristics of the system. 72 The security and privacy requirements guide and inform the selection of controls for a system and the tailoring activities associated with those controls. Organizations can use the Cybersecurity Framework to manage security and privacy requirements and express those requirements in Cybersecurity Framework *Profile*s defined for the organization. For instance, multiple requirements can be aligned and even deconflicted using the *Function-Category-Subcategory* structure of the Framework Core. The Profiles can then be used to inform the development of organizationally-tailored control baselines described in the RMF *Prepare-Organization Level* step, Task P-4. **References:** [SP 800-39] (Organization Level); [SP 800-64]; [SP 800-160 v1] (Stakeholder Needs and Requirements Definition Process); [SP 800-161] (Multi-Tiered Risk Management); [IR 8179]; [NIST CSF] (Core [Protect, Detect, Respond, Recover Functions]; Profiles). #### **ENTERPRISE ARCHITECTURE**"
"P-16","P","Prepare","Determine the placement of the system within the enterprise architecture.","**Potential Inputs:** Security and privacy requirements; organization- and system-level risk assessment results; enterprise architecture information; security architecture information; privacy architecture information; asset information. **Expected Outputs:** Updated enterprise architecture; updated security architecture; updated privacy architecture; plans to use cloud-based systems and shared systems, services, or applications. <sup>70</sup> For example, a fundamental security characteristic is that the system exhibits only specified behaviors, interactions, and outcomes. <sup>71</sup> The term *requirements* can have discrete meanings. For example, legal and policy requirements impose obligations to which organizations must adhere. Security and privacy requirements, however, are derived from the protection needs for the system and those protection needs can derive from legal or policy requirements, mission or business needs, risk assessments, or other sources. <sup>72</sup> Security and privacy requirements can also include *assurance* requirements. Assurance is having confidence about the ability of the system to remain trustworthy with respect to security and privacy across all forms of adversity resulting from malicious or non-malicious intent. **Primary Responsibility:** Mission or Business Owner; Enterprise Architect; Security Architect; Privacy Architect. ________________________________________________________________________________________________ **Supporting Roles:** Chief Information Officer; Authorizing Official or Authorizing Official Designated Representative; Senior Agency Information Security Officer; Senior Agency Official for Privacy; System Owner; Information Owner or Steward. **System Development Life Cycle Phase:** New – Initiation (concept/requirements definition). Existing – Operations/Maintenance. **Discussion:** Enterprise architecture is a management practice used to maximize the effectiveness of mission/business processes and information resources and to achieve mission and business success. An enterprise architecture can provide greater understanding of information and operational technologies included in the initial design and development of information systems and is a prerequisite for achieving resilience and survivability of those systems in an environment of increasingly sophisticated threats. Enterprise architecture also provides an opportunity for organizations to consolidate, standardize, and optimize information and technology assets. An effectively implemented architecture produces systems that are more transparent and therefore, easier to understand and protect. Enterprise architecture also establishes an unambiguous connection from investments to measurable performance improvements. The placement of a system within the enterprise architecture is important as it provides greater visibility and understanding about the other systems (internal and external) that are connected to the system and can also be used to establish security domains for increased levels of protection for the system. The security architecture and the privacy architecture are integral parts of the enterprise architecture. These architectures represent the parts of the enterprise architecture related to the implementation of security and privacy requirements. The primary purpose of the security and privacy architectures is to ensure that security and privacy requirements are consistently and cost-effectively met in organizational systems and are aligned with the risk management strategy. The security and privacy architectures provide a roadmap that facilitates traceability from the strategic goals and objectives of organizations, through protection needs and security and privacy requirements, to specific security and privacy solutions provided by people, processes, and technologies. **References:** [SP 800-39] (Mission/Business Process Level); [SP 800-64]; [SP 800-160 v1] (System Requirements Definition Process); [NIST CSF] (Core [Identify Function]; Profiles); [OMB FEA]. #### **REQUIREMENTS ALLOCATION**"
"P-17","P","Prepare","Allocate security and privacy requirements to the system and to the environment of operation.","**Potential Inputs:** Organization- and system-level risk assessment results; documented security and privacy requirements; organization- and system-level risk assessment results; list of common control providers and common controls available for inheritance; system description; system element information; system component inventory; relevant laws, executive orders, directives, regulations, and policies. **Expected Outputs:** List of security and privacy requirements allocated to the system, system elements, and the environment of operation. **Primary Responsibility:** Security Architect; Privacy Architect; System Security Officer; System Privacy Officer. **Supporting Roles:** Chief Information Officer; Authorizing Official or Authorizing Official Designated Representative; Mission or Business Owner; Senior Agency Information Security Officer; Senior Agency Official for Privacy; System Owner. **System Development Life Cycle Phase:** New – Initiation (concept/requirements definition). Existing – Operations/Maintenance. **Discussion:** Security and privacy requirements are allocated to guide and inform control selection and implementation for the organization, system, system elements, and/or environment of operation. 73 Requirements allocation identifies where controls will be implemented. The allocation of requirements conserves resources and helps to streamline the risk management process by ensuring that requirements are not implemented on multiple systems or system elements when implementation of a common control or a system-level control on a specific system element provides the needed protection capability. ________________________________________________________________________________________________ **References:** [SP 800-39] (Organization, Mission/Business Process, and System Levels); [SP 800-64]; [SP 800-160 v1] (System Requirements Definition Process); [NIST CSF] (Core [Identify Function]; Profiles); [OMB FEA]. #### **SYSTEM REGISTRATION**"
"P-18","P","Prepare","Register the system with organizational program or management offices.","**Potential Inputs:** Organizational policy on system registration; system information. **Expected Outputs:** Registered system in accordance with organizational policy. **Primary Responsibility:** System Owner. **Supporting Role:** Mission or Business Owner; Chief Information Officer; System Security Officer; System Privacy Officer. **System Development Life Cycle Phase:** New – Initiation (concept/requirements definition). Existing – Operations/Maintenance. **Discussion:** System registration, in accordance with organizational policy, serves to inform the governing organization of plans to develop the system or the existence of the system; the key characteristics of the system; and the expected security and privacy implications for the organization due to the operation and use of the system. System registration provides organizations with a management and tracking tool to facilitate bringing the system into the enterprise architecture, implementation of protections that are commensurate with risk, and security and privacy posture reporting in accordance with applicable laws, executive orders, directives, regulations, policies, or standards. As part of the system registration process, organizations add the system to the organization-wide system inventory. System registration information is updated with security categorization and system characterization information upon completion of the *Categorize* step. **References:** None. <sup>73</sup> The environment of operation for an information system refers to the physical surroundings in which the system processes, stores, and transmits information. For example, *security requirements* are allocated to the facilities where the system is located and operates. Those security requirements can be satisfied by the physical security controls in [SP 800-53] ### **3.2 CATEGORIZE**74 #### **Purpose** ________________________________________________________________________________________________ The purpose of the *Categorize* step is to inform organizational risk management processes and tasks by determining the adverse impact to organizational operations and assets, individuals, other organizations, and the Nation with respect to the loss of confidentiality, integrity, and availability of organizational systems and the information processed, stored, and transmitted by those systems. #### **CATEGORIZE TASKS** Table 3 provides a summary of tasks and expected outcomes for the RMF *Categorize* step. Applicable Cybersecurity Framework constructs are also provided. | Tasks | Outcomes | | --- | --- | | TASK C-1 • | The characteristics of the system are described and documented. | | SYSTEM DESCRIPTION | [Cybersecurity Framework: Profile] | | • TASK C-2 | A security categorization of the system, including the information | | SECURITY CATEGORIZATION | processed by the system represented by the organization | | | identified information types, is completed. | | | [Cybersecurity Framework: ID.AM-1; ID.AM-2; ID.AM-3; ID.AM-4; | | | ID.AM-5] | | • | Security categorization results are documented in the security, | | | privacy, and SCRM plans. | | | [Cybersecurity Framework: Profile] | | • | Security categorization results are consistent with the enterprise | | | architecture and commitment to protecting organizational | | | missions, business functions, and mission/business processes. | | | [Cybersecurity Framework: Profile] | | • | Security categorization results reflect the organization's risk | | | management strategy. | | TASK C-3 • | The security categorization results are reviewed and the | | SECURITY CATEGORIZATION REVIEW AND | categorization decision is approved by senior leaders in the | | APPROVAL | organization. | #### **TABLE 3: CATEGORIZE TASKS AND OUTCOMES** **Quick link to summary table for RMF tasks, responsibilities, and supporting roles.** #### **SYSTEM DESCRIPTION**"
"C-1","C","Categorize","Document the characteristics of the system.","**Potential Inputs:** System design and requirements documentation; authorization boundary information; list of security and privacy requirements allocated to the system, system elements, and the environment <sup>74</sup> The RMF *Categorize* step is a precondition for the selection of security controls. However, for privacy, there are other factors considered by organizations that guide and inform the selection of privacy controls. These factors are described in the RMF *Prepare-System Level* step, Task P-15. of operation; physical or other processes controlled by system elements; system element information; system component inventory; system element supply chain information, including inventory and supplier information; security categorization; data map of the information life cycle for information types processed, stored, and transmitted by the system; information on system use, users, and roles. ________________________________________________________________________________________________ **Expected Outputs:** Documented system description. **Primary Responsibility:** System Owner. **Supporting Roles:** Authorizing Official or Authorizing Official Designated Representative; Information Owner or Steward; System Security Officer; System Privacy Officer. **System Development Life Cycle Phase:** New – Initiation (concept/requirements definition). Existing – Operations/Maintenance. **Discussion:** A description of the system characteristics is documented in the security and privacy plans, included in attachments to the plans, or referenced in other standard sources for the information generated as part of the SDLC. Duplication of information is avoided, whenever possible. The level of detail in the security and privacy plans is determined by the organization and is commensurate with the security categorization and the security and privacy risk assessments of the system. Information may be added to or updated in the system description as it becomes available during the system life cycle, during the execution of the RMF steps, and as any system characteristics change. Examples of different types of descriptive information that organizations can include in security and privacy plans include: descriptive name of the system and system identifier; system version or release number; manufacturer and supplier information; individual responsible for the system; system contact information; organization that manages, owns, or controls the system; system location; purpose of the system and missions/business processes supported; how the system is integrated into the enterprise architecture; SDLC phase; results of the categorization process and privacy risk assessment; authorization boundary; laws, directives, policies, regulations, or standards affecting individuals' privacy and the security of the system; architectural description of the system including network topology; information types; hardware, firmware, and software components that are part of the system; hardware, software, and system interfaces (internal and external); information flows within the system; network connection rules for communicating with external systems; interconnected systems and identifiers for those systems; physical or other processes, components and equipment controlled by system elements; system users (including affiliations, access rights, privileges, citizenship); system provenance in the supply chain; maintenance or other relevant agreements; potential suppliers for replacement components for the system; alternative compatible system components; number and location in inventory of replacement system components; ownership or operation of the system (government-owned, government-operated; government-owned, contractor-operated; contractor-owned, contractor-operated; nonfederal [state and local governments, grantees]); incident response points of contact; authorization date and authorization termination date; and ongoing authorization status. System registration information is updated with the system characterization information (see Task P-18). **References:** [SP 800-18]; [NIST CSF] (Core [Identify Function]). #### **SECURITY CATEGORIZATION**"
"C-2","C","Categorize","Categorize the system and document the security categorization results.","**Potential Inputs:** Risk management strategy; organizational risk tolerance; authorization boundary (i.e., system) information; organization- and system-level risk assessment results; information types processed, stored, or transmitted by the system; list of security and privacy requirements allocated to the system, system elements, and environment of operation; organizational authority or purpose for operating the system; business impact analyses or criticality analyses; information about missions, business functions, and mission/business processes supported by the system. **Expected Outputs:** Impact levels determined for each information type and for each security objective (confidentiality, integrity, availability); security categorization based on high-water mark of information type impact levels. ________________________________________________________________________________________________ **Primary Responsibility:** System Owner; Information Owner or Steward. **Supporting Roles:** Senior Accountable Official for Risk Management or Risk Executive (Function); Chief Information Officer; Senior Agency Information Security Officer; Senior Agency Official for Privacy; Authorizing Official or Authorizing Official Designated Representative; System Security Officer; System Privacy Officer. **System Development Life Cycle Phase:** New – Initiation (concept/requirements definition). Existing – Operations/Maintenance. **Discussion:** Security categorization determinations consider potential adverse impacts to organizational operations, organizational assets, individuals, other organizations, and the Nation resulting from the loss of confidentiality, integrity, or availability of information. Organizations have flexibility in conducting a security categorization using either [FIPS 200] to establish a single impact level for a system based on the high-water mark concept (for other than national security systems), or [CNSSI 1253] to establish three impact values that may vary for each of the security objectives of confidentiality, integrity, and availability (for national security systems). The security categorization process is carried out by the system owner and the information owner or steward in cooperation and collaboration with senior leaders and executives with mission, business function, or risk management responsibilities. Cooperation and collaboration helps to ensure that individual systems are categorized based on the mission and business objectives of the organization. The system owner and information owner or steward consider the results from the security risk assessment (and the privacy risk assessment when the system processes PII) as a part of the security categorization decision. The decision is consistent with the risk management strategy. The results of the categorization process influence the selection of security controls for the system. Security categorization information is documented in the system security plan or included as an attachment to the plan and can be cross-referenced in a privacy plan when the system processes PII. The security categorization results for the system can be further refined by the organization to facilitate an impact-level prioritization of systems with the same impact level (see Task P-6). Results from the impact-level prioritization conducted by the organization can be used to help system owners in control selection and tailoring decisions. **References:** [FIPS 199]; [FIPS 200]; [SP 800-30]; [SP 800-39] (System Level); [SP 800-59]; [SP 800-60 v1]; [SP 800-60 v2]; [SP 800-160 v1] (Stakeholder Needs and Requirements Definition and System Requirements Definition Processes); [IR 8179]; [CNSSI 1253]; [NIST CSF] (Core [Identify Function]). #### **SECURITY CATEGORIZATION REVIEW AND APPROVAL**"
"C-3","C","Categorize","Review and approve the security categorization results and decision.","**Potential Inputs:** Impact levels determined for each information type and for each security objective (confidentiality, integrity, availability); security categorization based on high-water mark of information type impact levels; list of high value assets for the organization. **Expected Outputs:** Approval of security categorization for the system. **Primary Responsibility:** Authorizing Official or Authorizing Official Designated Representative; Senior Agency Official for Privacy. 75 <sup>75</sup> The senior agency official for privacy participates in determining whether the information processed by the information system is considered PII, and is involved in reviewing and approving the categorization for such systems. **Supporting Roles:** Senior Accountable Official for Risk Management or Risk Executive (Function); Chief Information Officer; Senior Agency Information Security Officer. ________________________________________________________________________________________________ **System Development Life Cycle Phase:** New – Initiation (concept/requirements definition). Existing – Operations/Maintenance. **Discussion:** For information systems that process PII, the senior agency official for privacy reviews and approves the security categorization results and decision prior to the authorizing official's review.76 Security categorization results and decisions are reviewed by the authorizing official or a designated representative to ensure that the security category selected for the information system is consistent with the mission and business functions of the organization and the need to adequately protect those missions and functions. The authorizing official or designated representative reviews the categorization results and decision from an organization-wide perspective, including how the decision aligns with the categorization decisions for all other organizational systems. The authorizing official collaborates with the senior accountable official for risk management or the risk executive (function) to ensure that the categorization decision for the system is consistent with the organizational risk management strategy and satisfies requirements for high value assets. As part of the approval process, the authorizing official can provide specific guidance to the system owner with respect to any limitations on baseline tailoring activities for the system that occur at the RMF *Select* step (see Task S-2). If the security categorization decision is not approved, the system owner initiates steps to repeat the categorization process and resubmits the adjusted results to the authorizing official or designated representative. System registration information is subsequently updated with the approved security categorization information (see Task P-18). **References:** [FIPS 199]; [SP 800-30]; [SP 800-39] (Organization Level); [SP 800-160 v1] (Stakeholder Needs and Requirements Definition Process); [CNSSI 1253]; [NIST CSF] (Core [Identify Function]). <sup>76</sup> The responsibilities of the senior agency official for privacy are detailed in [OMB A-130]. ### **3.3 SELECT** #### **Purpose** ________________________________________________________________________________________________ The purpose of the *Select*step is to select, tailor, and document the controls necessary to protect the information system and organization commensurate with risk to organizational operations and assets, individuals, other organizations, and the Nation. ### **SELECT TASKS** Table 4 provides a summary of tasks and expected outcomes for the RMF *Select* step. Applicable Cybersecurity Framework constructs are also provided. | TABLE 4: SELECT TASKS AND OUTCOMES | | --- | | Tasks | Outcomes | | --- | --- | | TASK S-1 • | Control baselines necessary to protect the system commensurate | | CONTROL SELECTION | with risk are selected. | | | [Cybersecurity Framework: Profile] | | • TASK S-2 | Controls are tailored producing tailored control baselines. | | CONTROL TAILORING | [Cybersecurity Framework: Profile] | | TASK S-3 • | Controls are designated as system-specific, hybrid, or common | | CONTROL ALLOCATION | controls. | | • | Controls are allocated to the specific system elements (i.e., | | | machine, physical, or human elements). | | | [Cybersecurity Framework: Profile; PR.IP] | | TASK S-4 • | Controls and associated tailoring actions are documented in | | DOCUMENTATION OF PLANNED CONTROL | security and privacy plans or equivalent documents. | | IMPLEMENTATIONS | [Cybersecurity Framework: Profile] | | TASK S-5 • | A continuous monitoring strategy for the system that reflects the | | CONTINUOUS MONITORING STRATEGY— | organizational risk management strategy is developed. | | SYSTEM | [Cybersecurity Framework: ID.GV; DE.CM] | | TASK S-6 • | Security and privacy plans reflecting the selection of controls | | PLAN REVIEW AND APPROVAL | necessary to protect the system and the environment of | | | operation commens"
"S-1","S","Select","Select the controls for the system and the environment of operation.","**Potential Inputs:** Security categorization; organization- and system-level risk assessment results; system element information; system component inventory; list of security and privacy requirements allocated to the system, system elements, and environment of operation; list of contractual requirements allocated to external providers of the system or system element; business impact analysis or criticality analysis; risk management strategy; organizational security and privacy policy; federal or organization-approved or mandated baselines or overlays; Cybersecurity Framework Profiles. **Expected Outputs:** Controls selected for the system and the environment of operation. **Primary Responsibility:** System Owner; Common Control Provider. **Supporting Roles:** Authorizing Official or Authorizing Official Designated Representative; Information Owner or Steward; Systems Security Engineer; Privacy Engineer; System Security Officer; System Privacy Officer. ________________________________________________________________________________________________ **System Development Life Cycle Phase:** New – Development/Acquisition. Existing – Operations/Maintenance. **Discussion:** There are two approaches that can be used for the initial selection of controls: a *baseline* control selection approach, or an *organization-generated* control selection approach. The baseline control selection approach uses control baselines, which are pre-defined sets of controls specifically assembled to address the protection needs of a group, organization, or community of interest. Control baselines serve as a starting point for the protection of individuals' privacy, information, and information systems. Federal control baselines are provided in [SP 800-53B]. The system security categorization (see Task C-2) and the security requirements derived from stakeholder protection needs, laws, executive orders, regulations, policies, directives, instructions, and standards (see Task P-15) can help inform the selection of security control baselines. A privacy risk assessment (see Task P-14) and privacy requirements derived from stakeholder protection needs, laws, executive orders, regulations, policies, directives, instructions, and standards (see Task P-15) can help inform the selection of privacy control baselines. Privacy programs use security and privacy control baselines to manage the privacy risks arising from both unauthorized system activity or behavior, as well as from authorized activities. After the pre-defined control baseline is selected, organizations tailor the baseline in accordance with the guidance provided (see Task S-2). The baseline control selection approach can provide consistency across a broad community of interest. The organization-generated control selection approach differs from the baseline selection approach because the organization does not start with a pre-defined set of controls. Rather, the organization uses its own selection process to select controls. This may be necessary when the system is highly specialized (e.g., a weapons system or a medical device) or has limited purpose or scope (e.g., a smart meter). In these situations, it may be more efficient and cost-effective for an organization to select a specific set of controls for the system (i.e., a bottom-up approach) instead of starting with a pre-defined set of controls from a broad-based control baseline and subsequently eliminating controls through the tailoring process (i.e., top-down approach). In both the baseline control selection approach and organization-generated control selection approach, organizations develop a well-defined set of security and privacy requirements using a life cycle-based systems engineering process (e.g., [ISO 15288] and [SP 800-160 v1] as described in the RMF *Prepare-System Level* step, Task P-15. This process generates a set of requirements that can be used to guide and inform the selection of a set of controls to satisfy the requirements (whether the organization starts with a control baseline or generates the set of controls from its own selection process). Similarly, organizations can use the [NIST CSF] to develop Cybersecurity Framework *Profiles* representing a set of organizationspecific security and privacy requirements—and thus, guiding and informing control selection from [SP 800-53]. Tailoring may also be required in the organization-generated control selection approach (see Task S-2). Organizations do not need to choose one approach for the selection of controls for each of their systems, but instead, may use different approaches as circumstances dictate. **References:** [FIPS 199]; [FIPS 200]; [SP 800-30]; [SP 800-53]; [SP 800-53B]; [SP 800-160 v1] (System Requirements Definition, Architecture Definition, and Design Definition Processes); [SP 800-161] (Respond and Chapter 3); [IR 8062]; [IR 8179]; [CNSSI 1253]; [NIST CSF] (Core [Identify, Protect, Detect, Respond, Recover Functions]; Profiles). ####"
"S-2","S","Select","Tailor the controls selected for the system and the environment of operation.","**Potential Inputs:** Initial control baselines; organization- and system-level risk assessment results; system element information; system component inventory; list of security and privacy requirements allocated to the system, system elements, and environment of operation; business impact analysis or criticality analysis; risk management strategy; organizational security and privacy policies; federal or organizationapproved or mandated overlays. ________________________________________________________________________________________________ **Expected Outputs:** List of tailored controls for the system and environment of operation (i.e., tailored control baselines). **Primary Responsibility:** System Owner; Common Control Provider. **Supporting Roles:** Authorizing Official or Authorizing Official Designated Representative; Information Owner or Steward; Systems Security Engineer; Privacy Engineer; System Security Officer; System Privacy Officer. **System Development Life Cycle Phase:** New – Development/Acquisition. Existing – Operations/Maintenance. **Discussion:** After selecting the applicable control baselines, organizations tailor the controls based on various factors (e.g., missions or business functions, threats, security and privacy risks (including supply chain risks), type of system, or risk tolerance). The tailoring process includes identifying and designating common controls in the control baselines (see Task P-5); applying scoping considerations to the remaining baseline controls; selecting compensating controls, if needed; assigning values to organization-defined control parameters using either assignment or selection statements; supplementing baselines with additional controls; and providing specification information for control implementation.77 Organizations determine the amount of detail to include in justifications or supporting rationale required for tailoring decisions. For example, the justification or supporting rationale for scoping decisions related to a highimpact system or high value asset78 may necessitate greater specificity than similar decisions for a lowimpact system. Such determinations are consistent with the organization's missions and business functions; stakeholder needs; and any relevant laws, executive orders, regulations, directives, or policies. Controls related to the SDLC and SCRM provide the basis for determining whether an information system is fit-for-purpose79 and need to be tailored accordingly. Organizations use risk assessments to inform and guide the tailoring process. Threat information from security risk assessments provides information on adversary capabilities, intent, and targeting that may affect organizational decisions regarding the selection of security controls, including the associated costs and benefits. Privacy risk assessments, including the contextual factors therein, will also influence tailoring when an information system processes PII. 80 Risk assessment results are also leveraged when identifying common controls to determine if the controls available for inheritance meet the security and privacy requirements for the system and its environment of operation. When common controls provided by the organization do not provide adequate protection for the systems inheriting the controls, system owners can either supplement the common controls with system-specific or hybrid controls to achieve the required level of protection or recommend a greater acceptance of risk to the authorizing official. Organizations may also consider federally or organizationally directed or approved overlays, tailored baselines, or Cybersecurity Framework Profiles when tailoring controls (see Task P-4). **References:** [FIPS 199]; [FIPS 200]; [SP 800-30]; [SP 800-53]; [SP 800-53B]; [SP 800-160 v1] (System Requirements Definition, Architecture Definition, and Design Definition Processes); [SP 800-161] (Respond <sup>77</sup> The tailoring process is fully described in [SP 800-53B]. <sup>78</sup> For more information on high value assets, see [OMB M-19-03] and [OCIO HVA]. <sup>79 [</sup>ISO 15288] describes *fit-for-purpose* as an outcome from the validation process in the SDLC that demonstrates, through assessment of the services presented to the stakeholders, that the ""right"" system has been created and satisfies the customer need. <sup>80 [</sup>IR 8062] provides a discussion of context and its function in a privacy risk model. and Chapter 3); [IR 8179]; [CNSSI 1253]; [NIST CSF] (Core [Identify, Protect, Detect, Respond, Recover Functions]; Profiles). ________________________________________________________________________________________________ #### **CONTROL ALLOCATION**"
"S-3","S","Select","Allocate security and privacy controls to the system and to the environment of operation.","**Potential Inputs:** Security categorization; organization- and system-level risk assessment results; organizational policy on system registration; enterprise architecture; security and privacy architectures; security and privacy requirements; list of security and privacy requirements allocated to the system, system elements, and the environment of operation; list of common control providers and common controls available for inheritance; system description; system element information; system component inventory; relevant laws, executive orders, directives, regulations, and policies. **Expected Outputs:** List of security and privacy controls allocated to the system, system elements, and the environment of operation. **Primary Responsibility:** Security Architect; Privacy Architect; System Security Officer; System Privacy Officer. **Supporting Roles:** Chief Information Officer; Authorizing Official or Authorizing Official Designated Representative; Mission or Business Owner; Senior Agency Information Security Officer; Senior Agency Official for Privacy; System Owner. **System Development Life Cycle Phase:** New – Initiation (concept/requirements definition). Existing – Operations/Maintenance. **Discussion:** The organization designates controls as system-specific, hybrid, or common, and allocates the controls to the system elements (i.e, machine, physical, or human elements) responsible for providing a security or privacy capability. Controls are allocated to a system or an organization consistent with the organization's enterprise architecture and security or privacy architecture and the allocated security and privacy requirements. Not all controls need to be allocated to every system element. Controls providing a specific security or privacy capability are only allocated to system elements that require that capability. The security categorization, privacy risk assessment, security and privacy architectures, and the allocation of controls work together to help achieve a suitable balance between security and privacy protections and the mission-based function of the system. Security and privacy requirements allocated to the system, system elements, and the environment of operation (see Task P-17) guide and inform control allocation to system elements. Common controls that are made available by the organization during the RMF *Prepare-Organization Level* step (see Task P-5), are selected for inheritance; hybrid controls are also selected. Common controls satisfy security and privacy requirements allocated to the organization and provide a protection capability that is inherited by one or more systems. Hybrid controls satisfy security and privacy requirements allocated to the system and to the organization and provide a protection capability that is partially inherited by one or more systems. And finally, system-specific controls satisfy security and privacy requirements allocated to the system and provide a protection capability for that system. Controls can be allocated to specific system elements rather than to every element within a system. For example, system-specific controls associated with management of audit logs may be allocated to a log management server and need not be implemented on every system element. **References:** [SP 800-39] (Organization, Mission/Business Process, and System Levels); [SP 800-64]; [SP 800-160 v1] (System Requirements Definition, Architecture Definition, and Design Definition Processes); [NIST CSF] (Core [Identify Function]; Profiles); [OMB FEA]. #### **DOCUMENTATION OF PLANNED CONTROL IMPLEMENTATIONS**"
"S-4","S","Select","Document the controls for the system and environment of operation in security and privacy plans.","________________________________________________________________________________________________ **Potential Inputs:** Security categorization; organization- and system-level risk assessment results (security, privacy, and/or supply chain); system element information; system component inventory; business impact or criticality analysis; list of security and privacy requirements allocated to the system, system elements, and environment of operation; risk management strategy; list of selected controls for the system and environment of operation; organizational security, privacy, and SCRM policies. **Expected Outputs:** Security and privacy plans for the system. **Primary Responsibility:** System Owner; Common Control Provider. **Supporting Roles:** Authorizing Official or Authorizing Official Designated Representative; Information Owner or Steward; Systems Security Engineer; Privacy Engineer; System Security Officer; System Privacy Officer. **System Development Life Cycle Phase:** New – Development/Acquisition. Existing – Operations/Maintenance. **Discussion:** Security and privacy plans contain an overview of the security and privacy requirements for the system and the controls selected to satisfy the requirements. The plans describe the intended application of each selected control in the context of the system with a sufficient level of detail to correctly implement the control and to subsequently assess the effectiveness of the control. The control documentation describes how system-specific and hybrid controls are implemented and the plans and expectations regarding the functionality of the system. The description includes planned inputs, expected behavior, and expected outputs where appropriate, typically for those controls implemented in the hardware, software, or firmware components of the system. Common controls are also identified in the plans. There is no requirement to provide implementation details for inherited common controls. Rather, those details are provided in the plans for common control providers and are made available to system owners. For hybrid controls, the organization specifies in the system-level plans the parts of the control that are provided by the common control provider and the parts of the control that are implemented at the system level. Organizations may develop a consolidated plan that incorporates security and privacy plans or maintain separate plans. If developing a consolidated plan, privacy programs collaborate with security programs to ensure that the plan reflects the selection of controls that provide protections with respect to managing the confidentiality, integrity, and availability of PII; and delineates roles and responsibilities for control implementation, assessment, and monitoring. For separate system security plans and privacy plans, organizations cross-reference the controls in all plans to help maintain accountability and awareness. The senior agency official for privacy reviews and approves the privacy plan (or integrated plan) before the plan is provided to the authorizing official or designated representative for review (see Task S-6). Organizations may document the control selection and tailoring information in documents equivalent to security and privacy plans, for example, in systems engineering or system life cycle artifacts or documents. Documentation of planned control implementations allows for traceability of decisions prior to and after the deployment of the system. To the extent possible, organizations reference existing documentation (either by vendors or other organizations that have employed the same or similar systems or system elements), use automated support tools, and coordinate across the organization to reduce redundancy and increase the efficiency and cost-effectiveness of control documentation. The documentation also addresses platform dependencies and includes any additional information necessary to describe how the capability required is to be achieved at the level of detail sufficient to support control implementation and assessment. Documentation for control implementations follows best practices for hardware and software development and for systems security and privacy engineering disciplines and is also consistent with established policies and procedures for documenting activities in the SDLC. In certain situations, security controls can be implemented in ways that create privacy risks. The privacy program supports documentation of privacy risk considerations and the implementations intended to mitigate them. ________________________________________________________________________________________________ For controls that are mechanism-based, organizations take advantage of the functional specifications provided by or obtainable from manufacturers, vendors, and systems integrators. This includes any documentation that may assist the organization during the development, implementation, assessment, and monitoring of"
