title,section,heading,description,keywords,application,frequency,type,crosswalks,control_activities,url_path
A004. Protect IP & trade secrets | AIUC-1,Data & Privacy,Protect IP & trade secrets,Implement safeguards or technical controls to prevent AI systems from leaking company intellectual property or confidential information,Intellectual Property; Confidential Information; Data Protections,Mandatory,Every 12 months,Preventative,MITRE ATLAS; OWASP Top 10,"Should include
Documenting foundation model provider safeguards which may serve as primary IP protection.
For example, reviewing contractual data handling terms, assessing model retention and fine-tuning behaviors, verifying confidentiality commitments, and identifying any limitations or gaps against organizational IP protection criteria.
Establishing supplementary data access controls where provider protections are insufficient.
For example, limiting AI exposure to proprietary information, implementing role-based access for confidential data, restricting training on internal documents, and applying differentiated controls for open-source versus proprietary assets.
May include
Implementing output monitoring procedures with automated review processes for high-risk scenarios.
For example, scanning responses for proprietary code or business information, flagging internal data disclosures.
Maintaining internal IP incident response and escalation procedures as part of AI failure plan on data breaches.
For example, documenting incidents and containment actions, specifying clear escalation timelines and responsible parties based on severity.",https://aiuc-1.com/data-and-privacy/protect-ip-trade-secrets
A003. Implement contextual data safeguards | AIUC-1,Data & Privacy,Implement contextual data safeguards,Implement safeguards to limit AI agent data access to task-relevant information based on user roles and context,Data Collection; Data Access,Mandatory,Every 12 months,Preventative,NIST AI RMF; OWASP Top 10,"Should include
Configuring role-based access controls to limit data access based on user permissions.
Configuring data collection limits to reduce privacy exposure.
For example, limiting to time-bounded, task-specific, and purpose-limited contextual data, and avoiding persistent or out-of-scope information.
May include
Integrating with existing identity and access management (IAM) systems to align agent access permissions with organizational policies.
For example, SSO, OAuth, OpenID.
Establishing dynamic context-based restrictions to adjust access decisions if user role or environment changes during agent session.
For example, task-based access controls, contextual capability restrictions, automatic privilege limiting.
Implementing logging, monitoring and enforcement mechanisms to ensure systems perform only necessary inference functions.
For example, logging user identity, data scope, decision rationale, and context to support traceability, audits, and incident response.",https://aiuc-1.com/data-and-privacy/implement-contextual-data-safeguards
A007. Prevent IP violations | AIUC-1,Data & Privacy,Prevent IP violations,"Implement safeguards and technical controls to prevent AI outputs from violating copyrights, trademarks, or other third-party intellectual property rights",Intellectual Property; Copyright Protection,Mandatory,Every 12 months,Preventative,MITRE ATLAS; NIST AI RMF; OWASP Top 10,"Should include
Documenting and evaluating foundation model provider IP protections which may serve as primary infringement safeguards.
For example, reviewing copyright and trademark handling, assessing indemnification coverage, and identifying known limitations, exclusions, or risk thresholds relevant to organizational context.
Establishing supplementary content filtering mechanisms where provider protections have gaps or limitations.
For example, detecting copyrighted material in outputs, implementing trademark screening.
May include
Implementing user guidance and guardrails to reduce IP risk.
For example, providing usage policies that explain prohibited content types, embedding warnings or UI notices for high-risk prompts, restricting output generation in known infringement domains.
Maintaining third-party IP incident response procedures.
For example, identifying potential infringement, documenting incidents and remediation actions, coordinating with provider protections.
Implementing restrictions in AI acceptable use policy.",https://aiuc-1.com/data-and-privacy/prevent-ip-violations
A002. Define output rights | AIUC-1,Data & Privacy,Define output rights,"Establish AI output ownership, usage, opt-out and deletion policies to customers and communicate these policies",Data Ownership; Usage; Deletion; Consent; Opt-Out,Mandatory,Every 12 months,Preventative,ISO 42001,"Should include
Defining output ownership rights with clear distinctions between customer inputs and AI outputs.
For example, specifying customer versus organization ownership of AI-generated content, usage permissions for different output types.
Disclosing consent and opt-out procedures.
For example, documenting consent collection, user-accessible opt-out controls, opt-out limitations, and preference workflows.
Establishing output usage policies communicated through accessible terms of service.
For example, permitted uses of AI-generated content, restrictions on redistribution or commercial use, intellectual property considerations, policies on derivative and transformative use.",https://aiuc-1.com/data-and-privacy/define-output-rights
A006. Prevent PII leakage | AIUC-1,Data & Privacy,Prevent PII leakage,Establish safeguards to prevent personal data leakage through AI outputs,Personal Data Leakage,Mandatory,Every 12 months,Preventative,MITRE ATLAS; NIST AI RMF; OWASP Top 10,"Should include
Establishing data segregation controls.
For example, isolating user sessions, implementing user-specific boundaries, preventing reuse of prompts or outputs containing personal identifiers, maintaining dataset isolation.
Establishing safeguards to prevent personal data leakage between users.
For example, isolating user sessions, applying user-specific output boundaries, and preventing reuse of prompts or outputs containing personal identifiers.
Documenting protection procedures and incident management.
For example, identifying PII, defining output handling policies, maintaining leakage incident records and remediation actions.
May include
Implementing output monitoring.
For example, scanning outputs for cross-customer data leakage, validating data source attribution.
Implementing automated detection and redaction of personal data in AI outputs.
For example, using named entity recognition (NER) or data classification tools to scan and remove PII before output is delivered to end users.
Integrating with existing data loss prevention (DLP) systems to monitor and block outputs containing personal data in violation of policy.",https://aiuc-1.com/data-and-privacy/prevent-pii-leakage
A001. Establish data use policy | AIUC-1,Data & Privacy,Establish data use policy,"Establish and communicate AI input data policies covering how customer data is used for model training, inference processing, data retention periods, and customer data rights",Data Retention; Model Training Data; Opt-Out,Mandatory,Every 12 months,Preventative,ISO 42001; NIST AI RMF,"Should include
Defining data usage policies.
For example, opt-in mechanisms, disclosure requirements, boundaries between training and post-deployment data usage.
Implementing data retention and deletion procedures.
For example, retention periods for training data, inference logs, and customer inputs, plus technical approaches for data removal such as selective unlearning or system retirement when data cannot be effectively separated from models.
Documenting how data retention periods are calculated and justified.
May include
Documenting data subject rights processes.
For example, handling customer requests for data access, portability, and deletion in AI contexts, plus maintaining records of which datasets were used to train specific models.",https://aiuc-1.com/data-and-privacy/establish-data-use-policy
E006. Conduct vendor due diligence | AIUC-1,Accountability,Conduct vendor due diligence,"Establish AI vendor due diligence processes for foundation and upstream model providers covering data handling, PII controls, security and compliance",Vendor Due Diligence; Open-Source; Foundation Models; Upstream Models,Mandatory,Every 12 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF; OWASP Top 10,"Should include
Defining assessment criteria for foundational or upstream AI models.
For example, data handling practices, PII controls, security measures, compliance status, open-source.
Conducting documented assessments.
For example, scoring results, verification activities such as certifications reviewed and references contacted, and approval decisions. Can follow a RACI structure.
Maintaining assessment records with sufficient detail for audit purposes and retaining due diligence evidence before vendor approval.",https://aiuc-1.com/accountability/conduct-vendor-due-diligence
E010. Establish AI acceptable use policy | AIUC-1,Accountability,Establish AI acceptable use policy,Establish and implement an AI acceptable use policy,Acceptable Use; Breach,Mandatory,Every 12 months,Preventative,ISO 42001; NIST AI RMF; OWASP Top 10,"Should include
Defining prohibited AI usage.
For example, jailbreak attempts, malicious prompt injection, unauthorized data extraction, generation of harmful content, and misuse of customer data ideally with specific examples.
Implementing detection and monitoring tools.
For example, prompt analysis, output filtering, usage pattern anomalies, and suspicious access attempts.
May include
Real-time monitoring, blocking, or alerting capabilities.
Maintaining logging and tracking systems.
For example, incident creation, violation tracking with case assignment and resolution documentation.
Establishing incident response procedures.
For example,  defining violation severity levels with corresponding response priorities, implementing escalation procedures with defined timeframes for user account restrictions and security notifications, documenting containment actions including system access modifications.
Conducting regular effectiveness reviews.
For example, quarterly analysis of violation trends, tool performance assessment, policy updates based on emerging threats, and user training adjustments.",https://aiuc-1.com/accountability/establish-ai-acceptable-use-policy
E001. AI failure plan for security breaches | AIUC-1,Accountability,AI failure plan for security breaches,"Document AI failure plan for AI privacy and security breaches assigning accountable owners and establishing notification and remediation with third-party support as needed (e.g. legal, PR, insurers)",Incident Response; Security; Privacy; Regulatory Deadlines,Mandatory,Every 12 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Assigning a breach response lead from existing staff.
For example, IT manager, security officer, or designated executive with authority to engage external counsel and specialists as needed.
Defining breach notification procedures.
For example, customer communications, regulatory reporting requirements, and vendor notifications based on applicable privacy laws.
Implementing security remediation measures.
For example, system freeze capabilities, vulnerability fixes, access control updates, and coordination with external security consultants when internal expertise is insufficient.
Establishing evidence collection requirements with guidance on preserving evidence for potential legal review.
For example, system logs, user activity records, and basic documentation.",https://aiuc-1.com/accountability/ai-failure-plan-for-security-breaches
E014. Share transparency reports | AIUC-1,Accountability,Share transparency reports,Establish policies for sharing transparency reports with relevant stakeholders including regulators and customers,Transparency,Optional,Every 12 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Defining report scope and recipient categories with clear criteria for when reports must be shared.
For example, regulators, customers, and other stakeholders.
Excluding or sanitizing technical documentation and other sensitive information that could be used for adversarial attacks.
May include
Implementing secure delivery methods with appropriate authentication and access control.
For example,  dataroom access, encrypted transmission, controlled access portals.
Documenting sharing procedures including approval workflows, version control, and audit trails for transparency.",https://aiuc-1.com/accountability/share-transparency-reports
E017. Document system transparency policy | AIUC-1,Accountability,Document system transparency policy,"Establish a system transparency policy and maintain a repository of model cards, datasheets, and interpretability reports for major systems",Transparency; System Cards,Optional,Every 12 months,Preventative,MITRE ATLAS; EU AI Act; ISO 42001; NIST AI RMF,"Should include
Establishing a transparency policy defining requirements for documentation of major AI systems.
For example, model capabilities, limitations, and intended use cases.
Maintaining a centralized repository of system documentation with appropriate access controls for internal stakeholders.
For example, model cards, datasheets, and interpretability reports.
Implementing updates to documentation when systems are modified or new information becomes available about model performance or risks.",https://aiuc-1.com/accountability/document-system-transparency-policy
E008. Review internal processes | AIUC-1,Accountability,Review internal processes,Establish regular internal reviews of key processes and document review records and approvals,Internal Reviews; Documentation,Mandatory,Every 12 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Reviewing decision processes every quarter including AI system changes, foundational model selection, security assessment.
Maintaining a centralized repository of decision records and internal review of these record.
For example, supporting evidence reviewed, remediation plans.
Documenting and tracking remediation of any risks identified.
May include
Collecting and implementing external feedback on AI systems.
For example, system risks, new threat patterns, new mitigation strategies.",https://aiuc-1.com/accountability/review-internal-processes
E009. Monitor 3rd-party access | AIUC-1,Accountability,Monitor 3rd-party access,Implement systems to monitor third party access,Access; Logins,Optional,Every 12 months,Preventative,MITRE ATLAS; EU AI Act; NIST AI RMF; OWASP Top 10,"Should include
Defining third-party interaction scope with logging of access attempts and activities.
For example, API connections, user access sessions, data exchanges, and service integrations.
Capturing access metadata.
For example, user identification, authentication timestamps, accessed resources, session duration, origin IP addresses, and resource usage patterns.",https://aiuc-1.com/accountability/monitor-3rd-party-access
E004. Assign accountability | AIUC-1,Accountability,Assign accountability,"Document which AI system changes across the development & deployment lifecycle require formal review or approval, assign a lead accountable for each, and document their approval with supporting evidence",Decision Owners; Deployment,Mandatory,Every 12 months,Preventative,MITRE ATLAS; EU AI Act; ISO 42001; NIST AI RMF,"Should include
Defining AI system changes requiring approval including model selection, material changes to the meta prompt, adding / removing guardrails, changes to end-user workflow, other changes that drive material.
For example, +/-10% performance on evals.
Assigning an accountable lead as approver for each of these changes.
Can follow a RACI structure to formalize roles of those consulted and informed.
Documenting approval in a repository retained for 365+ days, including what data was reviewed as part of the decision.
For example, results of evaluations, internal or external red-teaming, customer feedback.
May include
Implementing code signing and verification processes for AI models, libraries, and deployment artifacts to ensure only digitally signed components are approved for production use.",https://aiuc-1.com/accountability/assign-accountability
E007. Document system change approvals | AIUC-1,Accountability,Document system change approvals,"Define approval processes for material changes to AI systems (e.g. model versions, access controls, data sources) requiring formal review and sign-off",Approvals; Workflows,Optional,Every 12 months,Detective,EU AI Act; NIST AI RMF,"Should include
Defining changes requiring formal review and approval with clear approval thresholds such as changes affecting system performance or security.
For example, model updates, prompt modifications, adding/removing guardrails, and changes to user-facing functionality.
Documenting the approval workflow with sufficient detail for review purposes.
For example, who approves what types of changes and maintaining records of approvals.",https://aiuc-1.com/accountability/document-system-change-approvals
E005. Assess cloud vs on-prem processing | AIUC-1,Accountability,Assess cloud vs on-prem processing,"Establish criteria for selecting cloud provider, and circumstances for on-premises processing considering data sensitivity, regulatory requirements, security controls, and operational needs",Deployment; Cloud Security; On-Premise Security; Data Residency,Mandatory,Every 12 months,Preventative,MITRE ATLAS; NIST AI RMF; OWASP Top 10,"Should include
Conducting deployment risk assessments.
For example, evaluating data sensitivity, regulatory compliance requirements, IP protection needs, and security controls for cloud vs. on-premises AI processing.
Documenting decision criteria and rationale.
For example, establishing clear selection factors, maintaining records of deployment choices with business justification.
Implementing deployment-appropriate security controls.
For example, configuring cloud-specific protections or on-premises security measures based on selected deployment model.
May include
Implementing hybrid deployment strategies.
For example, using on-premises for sensitive data, cloud for less sensitive workloads, with secure data flow controls.
Establishing cloud vendor management procedures.
For example, conducting provider due diligence, implementing contractual protections for data sovereignty and IP.
Reviewing deployment decisions when requirements change.
For example, reassessing choices when data sensitivity, regulations, or threat landscape evolves.",https://aiuc-1.com/accountability/assess-cloud-vs-on-prem-processing
E002. AI failure plan for harmful outputs | AIUC-1,Accountability,AI failure plan for harmful outputs,"Document AI failure plan for harmful AI outputs that cause significant customer harm assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",Incident Response; Emergency Response; Harmful Outputs; Hallucinations; Vendors,Mandatory,Every 12 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Implementing customer communication protocols.
For example, disclosure procedures, explanation of corrective actions, and follow-up commitments with executive approval for significant incidents.
Establishing immediate mitigation steps with designated staff responsibilities.
For example, system freeze capabilities, output suppression, customer notification, and system adjustments.
May include
Defining harmful output categories with reference to risk taxonomy.
For example, discriminatory content, offensive material, inappropriate recommendations, ideally with concrete examples.
Coordinating external support engagement.
For example,  legal counsel consultation, PR support, and insurance claim procedures.",https://aiuc-1.com/accountability/ai-failure-plan-for-harmful-outputs
E012. Document regulatory compliance | AIUC-1,Accountability,Document regulatory compliance,"Document applicable AI laws and standards, required data protections, and strategies for compliance",Regulatory; EU; NY; NIST; ISO; GDPR,Mandatory,Every 6 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Identifying relevant regulations.
For example, data protection laws. For example, GDPR, CCPA, sector-specific requirements, emerging AI standards. For example, EU AI Act.
Documenting compliance procedures and strategies appropriate for company size and operations.
Reviewing the repository every 6 months and when additional requirements may be triggered.
For example, regulations change or business operations expand into new jurisdictions.",https://aiuc-1.com/accountability/document-regulatory-compliance
E003. AI failure plan for hallucinations | AIUC-1,Accountability,AI failure plan for hallucinations,"Document AI failure plan for hallucinated AI outputs that cause substantial customer financial loss assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",Hallucinations; Incident Response; Customer Loss,Mandatory,Every 12 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Establishing compensation assessment procedures.
For example, loss evaluation methods, settlement approaches, and payment authorization levels with appropriate approval requirements.
Implementing remediation measures.
For example, system freeze capabilities, model adjustments, output validation improvements, customer notification, and enhanced monitoring.
May include
Defining hallucination incident types.
For example,  factual errors or incorrect recommendations relevant to company context and customer base.
Coordinating potential external support.
For example, legal consultation for significant claims, financial review when needed, and insurance coverage activation.",https://aiuc-1.com/accountability/ai-failure-plan-for-hallucinations
E013. Implement quality management system | AIUC-1,Accountability,Implement quality management system,Establish a quality management system for high-risk AI systems proportionate to the size of the organization,EU; Quality management; Regulatory,Optional,Every 12 months,Preventative,EU AI Act; NIST AI RMF; ISO 42001,"Should include
Documenting strategy for compliance with conformity assessment procedures.
Documenting techniques, procedures and systematic actions to be used for the design, design control and design verification of the AI system.
Documenting techniques, procedures and systematic actions to be used for the development, quality control and quality assurance of the AI system.
Documenting the handling of communication with national competent authorities, other relevant authorities, including those providing or supporting the access to data, notified bodies, other operators, customers or other interested parties.
Documenting resource management, including security-of-supply related measures.
Assigning and documenting accountability in the organisation for each of the aspects in the quality management system.
May include
Collecting comprehensive documentation for EU AI Act Article 17 requirements for quality management systems.
For example, strategy for regulatory compliance, examination, test and validation procedures, technical specifications and fulfillment, data management procedures, risk management, post-market monitoring, incident reporting, and record-keeping.",https://aiuc-1.com/accountability/implement-quality-management-system
E016. Implement AI disclosure mechanisms | AIUC-1,Accountability,Implement AI disclosure mechanisms,Implement clear disclosure mechanisms to inform users when they are interacting with AI systems rather than human operators,Labelling; Transparency,Mandatory,Every 12 months,Preventative,EU AI Act; ISO 42001; NIST AI RMF,"Should include
Implementing clear AI interaction disclosure at the beginning of communications, notifying users they are interacting with artificial intelligence, not humans.
Ensuring disclosures are conspicuous and easily understood.
For example, using prominent placement and plain language appropriate for the communication medium.
Maintaining disclosure visibility throughout extended interactions.
For example, providing ongoing indication of AI involvement in conversations or sessions.
Labelling AI generated audio, image and video in a machine-readable format and detectable as artificially generated or manipulated.
Technical solutions must be effective, interoperable, robust and reliable as far as this is technically feasible.
Informing users if they are exposed to emotion recognition or biometric categorisation systems.
May include
Implementing adaptive disclosure methods for different interaction types.
For example, visual indicators for text, audio notifications for voice communications.
Establishing reactive disclosure capabilities when users ask if they are interacting with AI.",https://aiuc-1.com/accountability/implement-ai-disclosure-mechanisms
E015. Log model activity | AIUC-1,Accountability,Log model activity,"Maintain logs of AI system processes, actions, and model outputs where permitted to support incident investigation, auditing, and explanation of AI system behavior",Explainability; Logs,Mandatory,Every 12 months,Detective,MITRE ATLAS; EU AI Act; ISO 42001; NIST AI RMF; OWASP Top 10,"Should include
Capturing system activity details.
For example, input parameters, processing steps, model outputs, and user interactions.
Implementing log storage with appropriate retention periods and access controls to support auditing and incident response.",https://aiuc-1.com/accountability/log-model-activity
