"requirement_id","module","name","cia","applicable_threats"
"APP.2.2.A1","APP.2.2","Planning Active Directory","","G 0.11|G 0.14|G 0.15|G 0.18|G 0.19|G 0.21|G 0.23|G 0.26|G 0.27|G 0.32|G 0.36|G 0.40|G 0.45|G 0.46"
"APP.2.2.A2","APP.2.2","Planning of Active Directory Administration","","G 0.11|G 0.14|G 0.15|G 0.18|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.31|G 0.32|G 0.36|G 0.38|G 0.43|G 0.46"
"APP.2.2.A3","APP.2.2","Planning of Group Policy in Windows","","G 0.14|G 0.15|G 0.18|G 0.19|G 0.21|G 0.23|G 0.32|G 0.36|G 0.43|G 0.46"
"APP.2.2.A5","APP.2.2","Hardening Active Directory","","G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.28|G 0.29|G 0.30|G 0.32|G 0.36|G 0.37|G 0.38|G 0.39|G 0.40|G 0.43|G 0.45|G 0.46"
"APP.2.2.A6","APP.2.2","Maintaining the Operational Continuity of Active Directory","","G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.28|G 0.29|G 0.30|G 0.32|G 0.36|G 0.37|G 0.38|G 0.39|G 0.40|G 0.43|G 0.45|G 0.46"
"APP.2.2.A7","APP.2.2","Implementation of Secure Administration Methods for Active Directory","","G 0.11|G 0.14|G 0.15|G 0.18|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.31|G 0.32|G 0.36|G 0.38|G 0.43|G 0.46"
"APP.2.2.A8","APP.2.2","Configuration of Secure Channel in Windows","","G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.36|G 0.43|G 0.46"
"APP.2.2.A9","APP.2.2","Authentication Protection When Using Active Directory","","G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.36|G 0.43|G 0.46"
"APP.2.2.A10","APP.2.2","Secure Use of DNS for Active Directory","","G 0.23|G 0.30|G 0.40|G 0.42|G 0.43|G 0.45|G 0.46"
"APP.2.2.A11","APP.2.2","Monitoring Active Directory Infrastructure","","G 0.18|G 0.23|G 0.25|G 0.26|G 0.27|G 0.30|G 0.31|G 0.32|G 0.37|G 0.39|G 0.40|G 0.42"
"APP.2.2.A12","APP.2.2","Backups for Domain Controllers","","G 0.25|G 0.37|G 0.39|G 0.40|G 0.45"
"APP.2.2.A14","APP.2.2","Use of Dedicated Privileged Administration Systems","CIA","G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.31|G 0.32|G 0.37"
"APP.2.2.A15","APP.2.2","Separation of Administration and Production Environments","CIA","G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.31|G 0.32|G 0.37"
"APP.2.3.A1","APP.2.3","Planning and Selecting Back Ends and Overlays for OpenLDAP","","G 0.15|G 0.23|G 0.25|G 0.27|G 0.43"
"APP.2.3.A3","APP.2.3","Secure Configuration of OpenLDAP","","G 0.15|G 0.29|G 0.30"
"APP.2.3.A4","APP.2.3","Configuration of the Database Used by OpenLDAP","","G 0.11|G 0.22|G 0.29|G 0.43|G 0.45"
"APP.2.3.A5","APP.2.3","Secure Assignment of Access Rights to OpenLDAP","","G 0.15|G 0.22|G 0.29"
"APP.2.3.A6","APP.2.3","Secure Authentication for OpenLDAP","","G 0.15|G 0.29"
"APP.2.3.A8","APP.2.3","Restrictions on Attributes in OpenLDAP","","G 0.45"
"APP.2.3.A9","APP.2.3","Partitioning and Replication in OpenLDAP","","G 0.15|G 0.26|G 0.43"
"APP.2.3.A10","APP.2.3","Secure Updating of OpenLDAP","","G 0.15|G 0.30"
"APP.2.3.A11","APP.2.3","Restriction of the OpenLDAP Runtime Environment","","G 0.15|G 0.27|G 0.38"
"APP.3.1.A1","APP.3.1","Authentication","","G 0.18|G 0.30|G 0.31|G 0.36"
"APP.3.1.A4","APP.3.1","Controlled Integration of Files and Content","","G 0.19|G 0.23|G 0.30|G 0.43"
"APP.3.1.A7","APP.3.1","Protection Against Unauthorised Automated Use","","G 0.23|G 0.30|G 0.31"
"APP.3.1.A8","APP.3.1","System Architecture","","G 0.18"
"APP.3.1.A9","APP.3.1","Web Application and Web Service Procurement","","G 0.18|G 0.28"
"APP.3.1.A11","APP.3.1","Secure Integration of Background Systems","","G 0.15|G 0.19|G 0.23|G 0.43|G 0.46"
"APP.3.1.A12","APP.3.1","Secure Configuration","","G 0.23|G 0.30|G 0.31"
"APP.3.1.A14","APP.3.1","Protection of Confidential Data","","G 0.19"
"APP.3.1.A20","APP.3.1","Use of Web Application Firewalls","CIA","G 0.23"
"APP.3.1.A21","APP.3.1","Secure HTTP Configuration of Web Applications","","G 0.14|G 0.23"
"APP.3.1.A22","APP.3.1","Penetration Testing and Auditing","","G 0.18|G 0.28"
"APP.3.2.A1","APP.3.2","Secure Web Server Configuration","","G 0.19|G 0.21|G 0.22|G 0.23|G 0.46"
"APP.3.2.A2","APP.3.2","Protection of Web Server Files","","G 0.19|G 0.21|G 0.22|G 0.23|G 0.46"
"APP.3.2.A3","APP.3.2","Protecting File Uploads and Downloads","","G 0.19|G 0.39|G 0.40"
"APP.3.2.A4","APP.3.2","Logging of Events","","G 0.26|G 0.30"
"APP.3.2.A5","APP.3.2","Authentication","","G 0.15|G 0.22|G 0.23|G 0.30"
"APP.3.2.A7","APP.3.2","Legal Framework Conditions for Websites","","G 0.29"
"APP.3.2.A8","APP.3.2","Planning the Use of a Web Server","","G 0.18|G 0.27|G 0.31"
"APP.3.2.A9","APP.3.2","Defining a Web Server Security Policy","","G 0.18|G 0.27|G 0.31"
"APP.3.2.A10","APP.3.2","Selecting an Appropriate Web Host","","G 0.11|G 0.18|G 0.29"
"APP.3.2.A11","APP.3.2","Encryption via TLS","","G 0.15"
"APP.3.2.A12","APP.3.2","Suitable Handling of Errors and Error Messages","","G 0.19|G 0.25|G 0.26"
"APP.3.2.A13","APP.3.2","Access Control for Web Crawlers","","G 0.30"
"APP.3.2.A14","APP.3.2","Integrity Checks and Protection Against Malware","","G 0.39|G 0.46"
"APP.3.2.A15","APP.3.2","Redundancy","A","G 0.25|G 0.39"
"APP.3.2.A16","APP.3.2","Penetration Testing and Auditing","","G 0.22|G 0.23"
"APP.3.2.A18","APP.3.2","Protection Against Denial-of-Service Attacks","A","G 0.25|G 0.26|G 0.40"
"APP.3.2.A20","APP.3.2","Appointing Contact Persons","","G 0.23|G 0.27"
"APP.3.3.A2","APP.3.3","Use of RAID Systems","","G 0.25|G 0.46"
"APP.3.3.A3","APP.3.3","Use of Anti-Virus Programs","","G 0.14|G 0.39"
"APP.3.3.A6","APP.3.3","Acquiring a File Server and Selecting a Service","","G 0.18|G 0.25|G 0.27"
"APP.3.3.A7","APP.3.3","Selecting a File System","","G 0.25|G 0.27|G 0.45|G 0.46"
"APP.3.3.A8","APP.3.3","Structured Data Storage","","G 0.45"
"APP.3.3.A9","APP.3.3","Secure Storage Management","","G 0.25|G 0.26|G 0.27|G 0.45"
"APP.3.3.A11","APP.3.3","Using Storage Restrictions","","G 0.27"
"APP.3.3.A12","APP.3.3","Data Encryption","CIA","G 0.14|G 0.19|G 0.39"
"APP.3.3.A13","APP.3.3","Replicating Between Locations","A","G 0.25|G 0.45"
"APP.3.3.A14","APP.3.3","Using Error Correction Codes","","G 0.26|G 0.46"
"APP.3.3.A15","APP.3.3","Planning File Servers","","G 0.18|G 0.19|G 0.27"
"APP.3.4.A1","APP.3.4","Planning the Use of a Samba Server","","G 0.18"
"APP.3.4.A2","APP.3.4","Secure Basic Configuration of a Samba Server","","G 0.15|G 0.23|G 0.27|G 0.28|G 0.32"
"APP.3.4.A3","APP.3.4","Secure Configuration of a Samba Server","","G 0.23|G 0.27|G 0.30"
"APP.3.4.A4","APP.3.4","Avoiding NTFS File Properties on a Samba Server","","G 0.45|G 0.46"
"APP.3.4.A5","APP.3.4","Secure Configuration of a Samba Server's Access Controls","","G 0.32|G 0.46"
"APP.3.4.A6","APP.3.4","Secure Configuration of Winbind in Samba","","G 0.32"
"APP.3.4.A7","APP.3.4","Secure DNS Configuration in Samba","","G 0.18"
"APP.3.4.A8","APP.3.4","Secure LDAP Configuration in Samba","","G 0.18|G 0.32"
"APP.3.4.A9","APP.3.4","Secure Configuration of Kerberos in Samba","","G 0.19"
"APP.3.4.A10","APP.3.4","Secure Use of External Programs on a Samba Server","","G 0.19|G 0.20|G 0.28"
"APP.3.4.A12","APP.3.4","Training Samba Server Administrators","","G 0.31"
"APP.3.4.A13","APP.3.4","Regular Backups of Important Samba Server Components","","G 0.45"
"APP.3.4.A15","APP.3.4","Encryption of Data Packets in Samba","CI","G 0.15|G 0.19|G 0.46"
"APP.3.6.A1","APP.3.6","Planning the Use of DNS","","G 0.18"
"APP.3.6.A2","APP.3.6","Deployment of Redundant DNS Servers","","G 0.25|G 0.40"
"APP.3.6.A3","APP.3.6","Use of Separate DNS Servers for Internal and External Requests","","G 0.22"
"APP.3.6.A4","APP.3.6","Secure Basic Configuration of a DNS Server","","G 0.19|G 0.22|G 0.30|G 0.31|G 0.43|G 0.46"
"APP.3.6.A6","APP.3.6","Securing Dynamic DNS Updates","","G 0.22|G 0.30"
"APP.3.6.A7","APP.3.6","Monitoring of DNS Servers","","G 0.25|G 0.26|G 0.27"
"APP.3.6.A8","APP.3.6","Administration of Domain Names","","G 0.29"
"APP.3.6.A9","APP.3.6","Creation of a Business Continuity Plan for DNS Servers","","G 0.25|G 0.40|G 0.45"
"APP.3.6.A10","APP.3.6","Selection of a Suitable DNS Server Product","","G 0.20|G 0.29"
"APP.3.6.A11","APP.3.6","Sufficient Capacity of DNS Servers","","G 0.25|G 0.27|G 0.40"
"APP.3.6.A13","APP.3.6","Limited Visibility of Domain Information","","G 0.19"
"APP.3.6.A14","APP.3.6","Location of Name Servers","","G 0.19|G 0.22|G 0.30"
"APP.3.6.A15","APP.3.6","Analysis of Log Data","","G 0.22|G 0.25|G 0.27|G 0.30"
"APP.3.6.A16","APP.3.6","Integrating a DNS Server into a “P-A-P” Structure","","G 0.19|G 0.22|G 0.30|G 0.43"
"APP.3.6.A17","APP.3.6","Use of DNSSEC","","G 0.22|G 0.30|G 0.43|G 0.46"
"APP.3.6.A18","APP.3.6","Advanced Securing of Zone Transfers","","G 0.22|G 0.30|G 0.46"
"APP.3.6.A19","APP.3.6","Disposal of DNS Servers","","G 0.19"
"APP.3.6.A20","APP.3.6","Feasibility Reviews of Business Continuity Plans","A","G 0.25|G 0.26|G 0.27|G 0.40|G 0.45"
"APP.3.6.A21","APP.3.6","Hidden Master","CIA","G 0.19|G 0.22|G 0.30"
"APP.3.6.A22","APP.3.6","Connecting DNS Servers via Different Providers","IA","G 0.9"
"APP.4.2.A1","APP.4.2","Secure Configuration of the SAP ABAP Stack","","G 0.14|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.32|G 0.39|G 0.43|G 0.45|G 0.46"
"APP.4.2.A2","APP.4.2","Secure Configuration of the SAP Java Stack","","G 0.14|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.32|G 0.39|G 0.43|G 0.45|G 0.46"
"APP.4.2.A3","APP.4.2","Network Security","","G 0.14|G 0.43"
"APP.4.2.A4","APP.4.2","Protection of Standard SAP User IDs","","G 0.14|G 0.22|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.32|G 0.39|G 0.43|G 0.45|G 0.46"
"APP.4.2.A5","APP.4.2","Configuration and Protection of SAP User Administration","","G 0.14|G 0.22|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.32|G 0.39|G 0.43|G 0.45|G 0.46"
"APP.4.2.A6","APP.4.2","Creation and Implementation of a User and Access Control Policy","","G 0.14|G 0.22|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.32|G 0.39|G 0.43|G 0.45|G 0.46"
"APP.4.2.A7","APP.4.2","Protection of SAP Databases","","G 0.14|G 0.22|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.32|G 0.39|G 0.43|G 0.45|G 0.46"
"APP.4.2.A8","APP.4.2","Protection of the SAP RFC Interface","","G 0.14|G 0.22|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.32|G 0.39|G 0.43|G 0.45|G 0.46"
"APP.4.2.A9","APP.4.2","Protecting and Monitoring the Message Server","","G 0.25"
"APP.4.2.A11","APP.4.2","Secure Installation of an SAP ERP System","","G 0.14|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.45|G 0.46"
"APP.4.2.A12","APP.4.2","SAP Authorisation Development","","G 0.14|G 0.22|G 0.32|G 0.46"
"APP.4.2.A13","APP.4.2","SAP Password Security","","G 0.23"
"APP.4.2.A14","APP.4.2","Identification of Critical SAP Authorisations","","G 0.22|G 0.30|G 0.32"
"APP.4.2.A15","APP.4.2","Secure Configuration of the SAP Router","","G 0.14|G 0.23|G 0.30"
"APP.4.2.A16","APP.4.2","Implementation of Security Requirements for the Windows Operating System","","G 0.14|G 0.23|G 0.30"
"APP.4.2.A17","APP.4.2","Implementation of Security Requirements for the Unix Operating System","","G 0.14|G 0.23|G 0.30"
"APP.4.2.A18","APP.4.2","Disabling Insecure Communications","","G 0.14|G 0.23"
"APP.4.2.A19","APP.4.2","Definition of Security Policies for Users","","G 0.23"
"APP.4.2.A20","APP.4.2","Secure SAP GUI Settings","","G 0.23"
"APP.4.2.A22","APP.4.2","Protection of the Spool in the SAP ERP System","","G 0.14|G 0.22|G 0.46"
"APP.4.2.A23","APP.4.2","Protection of SAP Background Processing","","G 0.14|G 0.22|G 0.46"
"APP.4.2.A24","APP.4.2","Activation and Protection of the Internet Communication Framework","","G 0.23"
"APP.4.2.A25","APP.4.2","Secure Configuration of the SAP Web Dispatcher","","G 0.23"
"APP.4.2.A26","APP.4.2","Protection of Customers' Own Code in the SAP ERP System","","G 0.14|G 0.21|G 0.22|G 0.23|G 0.25|G 0.28|G 0.30|G 0.39|G 0.43|G 0.45|G 0.46"
"APP.4.2.A27","APP.4.2","Auditing the SAP ERP System","","G 0.14|G 0.22|G 0.23|G 0.30|G 0.31"
"APP.4.2.A28","APP.4.2","Creation of a Contingency Concept","","G 0.25"
"APP.4.2.A29","APP.4.2","Setting Up Emergency Users","","G 0.25|G 0.45|G 0.46"
"APP.4.2.A30","APP.4.2","Implementation of Continuous Monitoring of Security Settings","","G 0.14|G 0.21|G 0.22|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.32|G 0.43|G 0.45|G 0.46"
"APP.4.2.A31","APP.4.2","Configuration of SAP Single Sign-On","","G 0.23"
"APP.4.2.A32","APP.4.2","Real-Time Detection and Alerts for Irregular Processes","CIA","G 0.14|G 0.21|G 0.22|G 0.23|G 0.25|G 0.28|G 0.30|G 0.31|G 0.32|G 0.39|G 0.43|G 0.45|G 0.46"
"APP.4.3.A1","APP.4.3","Creation of a Security Policy for Database Systems","","G 0.18|G 0.27|G 0.30"
"APP.4.3.A3","APP.4.3","Basic Hardening of Database Management Systems","","G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.39|G 0.46"
"APP.4.3.A4","APP.4.3","Controlled Creation of New Databases","","G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.46"
"APP.4.3.A9","APP.4.3","Backing Up a Database System","","G 0.21|G 0.22|G 0.45|G 0.46"
"APP.4.3.A11","APP.4.3","Sufficient Hardware Capacity","","G 0.25|G 0.26|G 0.27|G 0.40"
"APP.4.3.A12","APP.4.3","Uniform Configuration Standard for Database Management Systems","","G 0.14|G 0.15|G 0.19|G 0.21|G 0.22|G 0.23|G 0.30|G 0.39|G 0.46"
"APP.4.3.A13","APP.4.3","Restrictive Utilisation of Database Links","","G 0.14|G 0.22|G 0.23|G 0.30"
"APP.4.3.A16","APP.4.3","Encryption of Database Connections","","G 0.15|G 0.43"
"APP.4.3.A17","APP.4.3","Data Transfer or Migration","","G 0.21|G 0.22|G 0.26"
"APP.4.3.A18","APP.4.3","Database Management System Monitoring","","G 0.25|G 0.26|G 0.27|G 0.40"
"APP.4.3.A19","APP.4.3","Protection Against Malicious Database Scripts","","G 0.19|G 0.21|G 0.22|G 0.23|G 0.31|G 0.39|G 0.46"
"APP.4.3.A20","APP.4.3","Regular Audits","","G 0.19|G 0.22|G 0.23|G 0.26|G 0.30|G 0.46"
"APP.4.3.A21","APP.4.3","Use of Database Security Tools","CI","G 0.19|G 0.21|G 0.23|G 0.30|G 0.46"
"APP.4.3.A22","APP.4.3","Contingency Planning","CIA","G 0.25|G 0.40|G 0.45"
"APP.4.3.A23","APP.4.3","Archiving","IA","G 0.21|G 0.22|G 0.45|G 0.46"
"APP.4.3.A24","APP.4.3","Data Encryption in Databases","C","G 0.14|G 0.15|G 0.19|G 0.22|G 0.23|G 0.39|G 0.46"
"APP.4.3.A25","APP.4.3","Security Vetting of Database Systems","CIA","G 0.15|G 0.18|G 0.19|G 0.21|G 0.22|G 0.23|G 0.26|G 0.30|G 0.39|G 0.46"
"APP.4.4.A1","APP.4.4","Planning the Separation of the Applications","","G 0.14|G 0.19|G 0.23|G 0.28|G 0.46"
"APP.4.4.A2","APP.4.4","Planning Automation with CI/CD","","G 0.14|G 0.19|G 0.20|G 0.21|G 0.23|G 0.25|G 0.27|G 0.28|G 0.30|G 0.37|G 0.39|G 0.45|G 0.46"
"APP.4.4.A3","APP.4.4","Identity and Access Management for Kubernetes","","G 0.14|G 0.19|G 0.23|G 0.30|G 0.37|G 0.46"
"APP.4.4.A4","APP.4.4","Separation of Pods","","G 0.14|G 0.19|G 0.21|G 0.23|G 0.28|G 0.39|G 0.45|G 0.46"
"APP.4.4.A5","APP.4.4","Backup in the Cluster","","G 0.45"
"APP.4.4.A6","APP.4.4","Initialisation of Pods","","G 0.25"
"APP.4.4.A7","APP.4.4","Separation of Networks for Kubernetes","","G 0.14|G 0.19|G 0.21|G 0.23|G 0.28|G 0.39|G 0.45|G 0.46"
"APP.4.4.A8","APP.4.4","Securing Configuration Files on Kubernetes","","G 0.14|G 0.19|G 0.21|G 0.23|G 0.28|G 0.39|G 0.45|G 0.46"
"APP.4.4.A9","APP.4.4","Use of Kubernetes Service Accounts","","G 0.14|G 0.21|G 0.30"
"APP.4.4.A10","APP.4.4","Securing Automation Processes","","G 0.14|G 0.19|G 0.21|G 0.23|G 0.25|G 0.30"
"APP.4.4.A11","APP.4.4","Container Monitoring","","G 0.25|G 0.27"
"APP.4.4.A12","APP.4.4","Securing Infrastructure Applications","","G 0.14|G 0.19|G 0.21|G 0.23|G 0.28|G 0.39|G 0.45|G 0.46"
"APP.4.4.A13","APP.4.4","Automated Configuration Auditing","CIA","G 0.14|G 0.19|G 0.21|G 0.23|G 0.30|G 0.39|G 0.45|G 0.46"
"APP.4.4.A14","APP.4.4","Use of Dedicated Nodes","CIA","G 0.14|G 0.19|G 0.23|G 0.28|G 0.45|G 0.46"
"APP.4.4.A15","APP.4.4","Separation of Applications at Node and Cluster Level","CIA","G 0.14|G 0.19|G 0.23|G 0.28|G 0.45|G 0.46"
"APP.4.4.A16","APP.4.4","Use of Operators","CIA","G 0.25"
"APP.4.4.A17","APP.4.4","Attestation of Nodes","CIA","G 0.14|G 0.19|G 0.23|G 0.28|G 0.45|G 0.46"
"APP.4.4.A18","APP.4.4","Use of Micro-Segmentation","CI","G 0.14|G 0.19|G 0.23|G 0.28|G 0.45|G 0.46"
"APP.4.4.A19","APP.4.4","High Availability of Kubernetes","A","G 0.25"
"APP.4.4.A20","APP.4.4","Encrypted Data Storage for Pods","C","G 0.14|G 0.19|G 0.23|G 0.28|G 0.45|G 0.46"
"APP.4.4.A21","APP.4.4","Regular Restart of Pods","CIA","G 0.14|G 0.19|G 0.23|G 0.28|G 0.45|G 0.46"
"APP.4.6.A1","APP.4.6","Protecting Reports with Authorisation Checks","","G 0.14|G 0.19|G 0.22|G 0.28|G 0.45|G 0.46"
"APP.4.6.A2","APP.4.6","Formally Correct Evaluation of Authorisation Checks","","G 0.14|G 0.19|G 0.22|G 0.28|G 0.45|G 0.46"
"APP.4.6.A3","APP.4.6","Authorisation Check Before Starting a Transaction","","G 0.14|G 0.19|G 0.28"
"APP.4.6.A4","APP.4.6","No Proprietary Authorisation Checks","","G 0.14|G 0.19|G 0.22|G 0.28|G 0.45|G 0.46"
"APP.4.6.A5","APP.4.6","Drawing Up a Policy for ABAP Development","","G 0.28"
"APP.4.6.A6","APP.4.6","Complete Execution of Authorisation Checks","","G 0.28|G 0.46"
"APP.4.6.A7","APP.4.6","Authorisation Check During Input Processing","","G 0.28|G 0.46"
"APP.4.6.A8","APP.4.6","Protection Against Unauthorised or Manipulative Access to the File System","","G 0.14|G 0.16|G 0.19|G 0.22|G 0.28|G 0.45|G 0.46"
"APP.4.6.A9","APP.4.6","Authorisation Check in Remote-Enabled Function Modules","","G 0.14|G 0.19|G 0.28"
"APP.4.6.A10","APP.4.6","Execution of Operating System Commands","","G 0.14|G 0.16|G 0.19|G 0.22|G 0.28|G 0.39|G 0.45|G 0.46"
"APP.4.6.A11","APP.4.6","Avoiding Planted Malicious Code","","G 0.14|G 0.19|G 0.22|G 0.28|G 0.39|G 0.45|G 0.46"
"APP.4.6.A12","APP.4.6","Avoiding Generic Module Execution","","G 0.14|G 0.19|G 0.22|G 0.28|G 0.45|G 0.46"
"APP.4.6.A13","APP.4.6","Avoiding Generic Access to Table Contents","","G 0.14|G 0.19|G 0.22|G 0.28|G 0.45|G 0.46"
"APP.4.6.A14","APP.4.6","Avoiding Native SQL Statements","","G 0.14|G 0.16|G 0.19|G 0.22|G 0.28|G 0.45|G 0.46"
"APP.4.6.A15","APP.4.6","Avoiding Data Leaks","","G 0.14|G 0.16|G 0.19|G 0.28|G 0.45"
