Control Domain,Control Title,Control ID,CCM_Control Specification,Implementation Guidelines_CCM Implementation Guidelines v2.0 CSP,Implementation Guidelines_CSC,Auditing Guidelines_Auditing Guidelines
"Cryptography, Encryption & Key Management",Key Purpose,CEK-11,"Manage cryptographic secret and private keys that are provisioned
for a unique purpose.
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility  for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSP owns this control for Platform Managed Keys.

Implementation Guidelines.
Applicable to all service models:
Key distribution is the process of logically or physically transferring keys.
a. asymmetric key pairs should be generated using a secure key generation process, ideally in a secure environment, such as an HSM
b. the private key should be protected using strong encryption and access controls to ensure that only authorized users can access it
c. the public key should be protected against tampering or substitution
d. symmetric keys should also be generated using a secure key generation process and protected with strong encryption
e. symmetric keys should be distributed using a secure channel, and access controls should be in place to restrict usage to authorized users
f. symmetric keys should be changed regularly to minimize the risk of compromise
g. keys should be protected at all stages of their lifecycle, including during storage, transit, and usage
h. key distribution controls should ensure that keys are only distributed to authorized parties with a legitimate need to access the key
i. key distribution controls should also protect against tampering, substitution, or interception during transit
j. key distribution should also ensure that keys are available to authorized users whenever they are needed
k. all key distribution activities should be logged and recorded in a CKMS or inventory management system
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility  for this control, depending on the scope of the resource and key ownership model available or selected by the client.

The CSC owns this control for Client Managed Keys (CMKs).
• IaaS Customer: CMK model 
• PaaS Customer: CMK where applicable
• SaaS Customer: CMK model if available

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Obtain copies of the policy and procedures detailing the management of secret and private cryptographic keys.
2. Identify cryptographic secret and private keys that have been provisioned for a unique purpose.
3. Ascertain that these keys are being managed in accordance with policy and procedures.
"
"Cryptography, Encryption & Key Management",Key Rotation,CEK-12,"Rotate cryptographic keys in accordance with the calculated cryptoperiod,
which includes provisions for considering the risk of information disclosure
and legal and regulatory requirements.
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSP owns this control for Platform Managed Keys.

Implementation Guidelines.
Applicable to all service models:
Before rotating a key, ensure that all data previously encrypted with the old key version can be decrypted. Depending on organizational policies and the technology capacity of the system, old data may be automatically or manually re-encrypted with the new key version after key rotation.

When rotating keys, consider the following principles:
a. Data Decryption: Non-primary (old) keys should be used to decrypt data previously encrypted before re-encrypting the data with new keys
b. Data Re-encryption: Old data may be re-encrypted using new keys based on organizational policy and technology capacity
c. Algorithm Strength: This includes the strength of the encryption algorithm, the length of the key, and the mode of operation used
d. Transactions Volume: the volume of information flow or the number of transactions that may impact the processing time required for key rotation and how frequently key rotation is necessary
e. Data Sensitivity and Lifetime Protection: This includes how long the data needs to be protected, the sensitivity of the data, and the potential risks associated with data compromise
f. Crypto-Security Functions: Functions such as data encryption, digital signature, and key protection may be impacted by key rotation and should be considered
g. Key Copies Number: the number of key copies and the distribution of those copies and ensuring that all relevant key copies are updated during the rotation process
h. Keys Rotation Logging: All key rotation activities should be logged and recorded in the CKMS or inventory management system
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. 

The CSC owns this control for Client Managed Keys (CMKs).
• IaaS Customer: CMK model
• PaaS Customer: CMK model where applicable

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","Consider the symmetric vs. asymmetric key rotation capabilities of CSPs and an appropriate rotation process adopted.
1. Confirm that policy and procedures include a requirement for regular key rotation.
2. Identify keys used within the organization. Confirm that these keys are part of the rotation process.
3. Review the key rotation process to confirm logging and monitoring of key rotation, tracking of date, time, encryption algorithm used, and authorization process used.
"
"Cryptography, Encryption & Key Management",Key Revocation,CEK-13,"Define, implement and evaluate processes, procedures and technical
measures to revoke and remove cryptographic keys prior to the end of its established
cryptoperiod, when a key is compromised, or an entity is no longer part of the
organization, which include provisions for legal and regulatory requirements.
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client.  The CSP owns this control for Platform Managed Keys.

Implementation Guidelines.
Applicable to all service models:
Key revocation removes keys from operational use before their expiration dates.
a. key revocation of a symmetric key restricts the use of the key material
b. key revocation of an asymmetric key specifically refers to the private key
c. emergency revocation refers to when keys are lost or compromised
d. revocation statuses should be available to all who have relied on the key
e. Digital certificate revocation lists (CRLs) or other relevant mechanisms should be used to inform stakeholders
f. ROI: The cost to decrypt then re-encrypt large distributed databases with a significant number of key holders. Where applicable, a two-key system should be used, one to encrypt data and another to encrypt the key that encrypts the data, in order to significantly minimize the impact of revoking keys
g. ROI: Risk of long-term cryptoperiods versus short, and the amount of data encrypted with one key
h. all relevant transitions/activity should be recorded (logged) in the CMKS or inventory management system
","Control Ownership Rationale.
Both CSP and CSC have an independent  shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSC owns this control for Client Managed Keys (CMKs).

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Examine the organization procedures and confirm the existence of a key revocation process.
2. Identify a population of keys and confirm that they are captured within the key revocation process.
3. Confirm that a list of entities no longer part of the organization is maintained.
"
"Cryptography, Encryption & Key Management",Key Destruction,CEK-14,"Define, implement and evaluate processes, procedures and technical
measures to destroy keys stored outside a secure environment and revoke keys
stored in Hardware Security Modules (HSMs) when they are no longer needed, which
include provisions for legal and regulatory requirements.
","Control Ownership Rationale.
Both the CSP and CSC have an independent shared responsibility  for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSP owns this control for Platform Managed Keys.

Implementation Guidelines.
Applicable to all service models:
Key destruction removes all traces to prevent recovery by physical or electronic means.
a. when a key is to be destroyed, all key copies should be destroyed
b. keys should be destroyed when they are not needed to minimize risk of compromise
c. secret and private keys should be destroyed so they cannot be recovered by any means
d. public keys may be kept or destroyed
e. notify stakeholders in advance of key destruction
f. consider laws, regulations, and their retention requirements for keys and/or metadata
g. key recovery information (KRI) should be protected against unauthorized disclosure or destruction
h. all relevant transitions/activity should be recorded (logged) in the CMKS or inventory management system
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility  for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSC owns this control for Client Managed Keys (CMKs).

Implementation Guidelines.
Applicable to all service models:
Key destruction removes all traces to prevent recovery by physical or electronic means.
a. when a key is to be destroyed, all key copies should be destroyed
b. keys should be destroyed when they are not needed, to minimize risk of compromise
c. secrets and private keys should be destroyed so they cannot be recovered by any means
d. private keys should always be destroyed, public keys may be kept or destroyed
e.notify stakeholders in advance of key destruction
f. consider laws, regulations, and their retention requirements for keys and/or metadata
g. KRI should be protected against unauthorized disclosure or destruction
h. all relevant transitions/activity should be recorded (logged) in the CMKS or inventory management system
","1. Confirm the existence of key destruction processes and procedures.
2. Review the access permissions for the destruction and restoration of keys and confirm that only appropriate individuals have access to these capabilities.
3. Review keys that have been destroyed and ascertain the appropriate process and procedure have been followed.
4. Establish documented criteria that determine when it is appropriate for a cryptographic key to be stored outside a secure environment.
"
"Cryptography, Encryption & Key Management",Key Activation,CEK-15,"Define, implement and evaluate processes, procedures and technical
measures to create keys in a pre-activated state when they have been generated
but not authorized for use, which include provisions for legal and regulatory
requirements.
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSP owns this control for Platform Managed Keys.

Implementation Guidelines.
Applicable to all service models:
Activated keys are used to protect information cryptographically.
a. pre-activated keys are activated by entering the start date of the validity/cryptoperiod
b. keys which are not activated for use are not ready to encrypt data
c. non-activated keys should only be used to perform proof-of-possession or key confirmation
d. if pre-activated keys are no longer needed, they should be destroyed
e. if there are suspicions about the integrity of a given key, it should be moved to the compromised state
f. all relevant transitions/activity should be recorded (logged) in the CKMS or inventory management system
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSC owns this control for Customer Managed Keys (CMKs).

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Confirm the existence of processes and procedures to generate keys.
2. Confirm that the access and permissions around the key creation process is restricted to appropriate individuals.
3. Identify the key management server and the key storage database.
4. Review the key attributes and confirm that these are appropriate for the key, e.g., activation data, instance, deletion ability, rollover, etc.
5. Confirm the key activation process, e.g., manual, on creation, at a future time.
6. Review the pre-activated keys.
"
"Cryptography, Encryption & Key Management",Key Suspension,CEK-16,"Define, implement and evaluate processes, procedures and technical
measures to monitor, review and approve key transitions from any state to/from
suspension, which include provisions for legal and regulatory requirements.
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSP owns this control for Platform Managed Keys.

Implementation Guidelines.
Applicable to all service models:
Suspended keys are not used for a period.
a. keys may be suspended for leaves of absence or suspicion of compromise
b. suspensions should be investigated before transitioning to activation, revocation, or replacement
c. suspended keys should not be used to encrypt data, but they can decrypt data
d. do not process encryption applied after the beginning of a suspension period
e. all relevant transitions/activity should be recorded (logged) in the inventory management system (CKMS).
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility  for this control, depending on the scope of the resource and key ownership model available or selected by the client.  The CSC owns this control for Client Managed Keys (CMKs).

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
","1. Confirm the existence of processes and procedures to manage the transition state of keys.
2. Review the access and permissions regarding the transition state of keys and confirm that these are restricted to appropriate individuals.
3. Verify that it is possible to modify a key state and suspend/disable keys when required.
"
"Cryptography, Encryption & Key Management",Key Deactivation,CEK-17,"Define, implement and evaluate processes, procedures and technical
measures to deactivate keys at the time of their expiration date, which include
provisions for legal and regulatory requirements.
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSP owns this control for Platform Managed Keys.

Implementation Guidelines.
Applicable to all service models:
Deactivated keys should not be used to encrypt but can be used to decrypt.
a. upon the expiration date, keys should not be able to encrypt data
b. the deactivated state should transition to the destroyed state when keys are no longer needed
c. metadata should be retained for audit purposes
d. all relevant transitions/activity should be recorded (logged) in the CKMS or inventory management system
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSC owns this control for Client Managed Keys (CMKs).

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
Applicable to all service models: For Client Managed Keys
","1. Confirm the existence of processes and procedures to deactivate keys.
2. Review the access and permissions around the key deactivation process and confirm this is restricted to appropriate individuals.
3. Review key deactivation process and configurations.  Confirm that they are in line with internal and external requirements. 
4. Confirm the key deactivation process e.g. manual, on expiration, at a defined future time.
"
"Cryptography, Encryption & Key Management",Key Archival,CEK-18,"Define, implement and evaluate processes, procedures and technical
measures to manage archived keys in a secure repository requiring least privilege
access, which include provisions for legal and regulatory requirements.
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSP owns this control for Platform Managed Keys.

Implementation Guidelines.
Applicable to all service models:
Key archiving places keys in long-term storage.
a. archived key material can support the later recovery of information
b. while archived key material may be needed in the future, the key material should be destroyed when no longer required
c. the key recovery process should include the generation, storage, and access of the long-term storage keys used to protect backed-up and archived key information
d. archives should be used for long-term key access
e. the inventory system should record the storage and recovery of archived key information
f. all relevant transitions/activity should be recorded (logged) in the CKMS or inventory management system
","Control Ownership Rationale.
Both CSP and CSC have an independent shared responsibility for this control, depending on the scope of the resource and key ownership model available or selected by the client. The CSC owns this control for Client Managed Keys (CMKs).

Implementation Guidelines.
The implementation guidelines provided for the CSP apply.
Applicable to all service models: For Client Managed Keys
","1. Confirm the existence of a documented and valid process for key archival.
2. Verify that the key archival process implements least privilege throughout the key archival cycle.
3. Establish whether the storage medium is secure, as per internal and external requirements.
"
"Cryptography, Encryption & Key Management",Key Compromise,CEK-19,"Define, implement and evaluate processes, procedures and technical
measures to use compromised keys to encrypt information only in controlled circumstance,
and thereafter exclusively for decrypting data and never for encrypting data,
which include provisions for legal and regulatory requirements.
","Control Ownership Rationale.
This is a shared responsibility between the CSP and the CSC. This control falls under the ""Dependent"" category as the execution by both parties is essential for effective security. The CSP offers encryption and key management services, and is responsible for the infrastructure that supports these services. The CSC, on the other hand, is responsible for correctly using these services to secure their data, for instance, choosing when and what data to encrypt, and managing access to encryption keys.

Implementation Guidelines.
When appropriate, the CSP should notify the CSC that keys previously used to encrypt its data have been compromised and that those keys are no longer used for encryption. 

IaaS Provider: 
The IaaS provider should offer mechanisms for encryption both in transit and at rest for all data, along with a key management service. The CSP should ensure that these services comply with the latest security standards and best practices. The CSP should provide tools and resources for secure key management and encryption, following best practices.

PaaS Provider: 
The PaaS provider should offer platform-level encryption for data at rest and in transit, including a secure key management system. The PaaS provider should also provide the option for application-level encryption managed by the CSC. The CSP should adhere to security best practices and standards.  The CSP should offer the CSC the ability to manage its own keys where feasible 

SaaS Provider:
The SaaS provider should handle encryption at the application level, including key management. The provider should ensure all data at rest and in transit is encrypted. The CSP should offer CSCs the ability to manage their own keys where feasible.

Applicable to all service models:
The CSP's policies, procedures, and processes should ensure that compromised keys await an investigation to determine disposition.
a. perform emergency revocation when keys are lost or compromised
b. a compromised status should be available to all who have relied on the key
c. use Compromised Key Lists (CKL) to inform stakeholders
d. also reflect compromised status is in the inventory management system
e. use audits to uncover undetected compromised keys
f. analyze events to support recovery from compromises
g. detail the method for revoking and re-keying compromised keys
h. use cryptoperiods to limit compromised key damage
i. a compromised key should only be used to process data it has protected for the sole purpose of decrypting the data
j. all transitions/activity should be recorded (logged) and the key state updated in the CKMS or inventory management system
","Control Ownership Rationale.
This is a shared and dependent responsibility. This is because while the CSP has a responsibility to offer secure encryption and key management services, the CSC has a role in configuring and managing these services according to their specific needs and in accordance with their own policies and procedures.

Implementation Guidelines.
When appropriate, the CSP should notify the CSC that keys previously used to encrypt its data have been compromised and that those keys are no longer used for encryption. 

IaaS Customer:
The CSC is responsible for implementing and managing the encryption of its data within the infrastructure provided by the CSP. The CSC should use the tools and resources provided by the CSP for key management, following best practices.

PaaS Customer:
The CSC should ensure they use the secure platform provided by the CSP effectively, including using the encryption provided at the platform level.
The CSC may also need to implement additional encryption within the platform, depending on their needs and the services provided by the CSP.

SaaS Customer:
The CSC should ensure they use the secure software service provided by the CSP effectively, including using the encryption provided at the software level.The CSC should work with the CSP to understand how keys are managed within the software service and ensure it meets their needs and compliance requirements.

Applicable to all service models:
The CSP's policies, procedures, and processes should ensure that compromised keys await an investigation to determine disposition.
a. perform emergency revocation when keys are lost or compromised
b. a compromised status should be available to all who have relied on the key
c. use Compromised Key Lists (CKL) to inform stakeholders
d. also reflect compromised status is in the inventory management system
e. use audits to uncover undetected compromised keys
f. analyze events to support recovery from compromises
g. detail the method for revoking and re-keying compromised keys
h. use cryptoperiods to limit compromised key damage
i. a compromised key should only be used to process data it has protected for the sole purpose of decrypting the data
j. all transitions/activity should be recorded (logged) and the key state updated in the CKMS or inventory management system
","1. Examine if the organization has defined processes, procedures and technical measures for secure handling of compromised keys.
2. Review if the process for secure usage of compromised keys fulfills the organization and external business / operational continuity requirements.
3. Evaluate the significance of technical and organizational measures defined and implemented for usage of compromised keys in a secure environment.
"
"Cryptography, Encryption & Key Management",Key Recovery,CEK-20,"Define, implement and evaluate processes, procedures and technical
measures to assess the risk to operational continuity versus the risk of the
keying material and the information it protects being exposed if control of
the keying material is lost, which include provisions for legal and regulatory
requirements.
","Control Ownership Rationale.
This is a shared responsibility between the CSP and the CSC. This control falls under the ""Dependent"" category as the execution by both parties is essential for effective security. The CSP offers encryption and key management services, and is responsible for the infrastructure that supports these services. The CSC, on the other hand, is responsible for correctly using these services to secure their data, for instance, choosing when and what data to encrypt, and for managing access to encryption keys.

Implementation Guidelines.
IaaS Provider: 
The IaaS Provider should offer mechanisms for encryption both in transit and at rest for all data, along with a key management service. The CSP should ensure that these services comply with the latest security standards and best practices. The CSP should provide tools and resources for secure key management and encryption, following best practices.

PaaS Provider: 
The PaaS provider should offer platform-level encryption for data at rest and in transit, including a secure key management system. The PaaS provider should also provide the option for application-level encryption managed by the CSC. The CSP should adhere to security best practices and standards. 

SaaS Provider: 
The SaaS provider should handle encryption at the application level, including key management. The provider should ensure all data at rest and in transit is encrypted. The CSP should offer the CSC the ability to manage its own keys where feasible.

Applicable to all service models:
Key recovery retrieves or reconstructs keys from backups or archives. The CSP's policies, procedures, and processes should ensure:
a. the type of key (e.g., private signature keys or symmetric data encryption keys)
b. the application in which the key will be used (e.g., interactive communication or file storage)
c. whether the key is owned by the local entity, another entity, or is shared
d. the role of the entity in communication (i.e., sender or receiver)
e. the algorithm or computation in which the key will be used
f. all relevant transitions/activity should be recorded (logged) in the CKMS or inventory management system
","Control Ownership Rationale.
This is a shared and dependent responsibility. This is because while the CSP has a responsibility to offer secure encryption and key management services, the CSC has a role in configuring and managing these services according to their specific needs and in accordance with their own policies and procedures.

Implementation Guidelines.
IaaS Customer:
The CSC is responsible for implementing and managing the encryption of its data within the infrastructure provided by the CSP. The CSC should use the tools and resources provided by the CSP for key management, following best practices.

PaaS Customer: 
The CSC should ensure it uses the secure platform provided by the CSP effectively, including using the encryption provided at the platform level.
The CSC may also need to implement additional encryption within the platform, depending on their needs and the services provided by the CSP.

SaaS Customer: 
The CSC should ensure it uses the secure software service provided by the CSP effectively, including using the encryption provided at the software level.
The CSC should work with the CSP to understand how keys are managed within the software service and ensure it meets their needs and compliance requirements.

Applicable to all service models:
The implementation guidelines provided for the CSP apply.
","1. Examine if the organization has defined processes and procedures for handling the operational risk of compromised keys.
2. Determine if the key recovery process fulfills the organization and external business / operational continuity requirements.
3. Evaluate the significance of technical and organizational measures as per the key management lifecycle.
"
"Cryptography, Encryption & Key Management",Key Inventory Management,CEK-21,"Define, implement and evaluate processes, procedures and technical
measures in order for the key management system to track and report all cryptographic
materials and changes in status, which include provisions for legal and regulatory
requirements.
","Control Ownership Rationale.
This is a shared responsibility between the CSP and the CSC. This control falls under the ""Dependent"" category as the execution by both parties is essential for effective security. The CSP offers encryption and key management services, and is responsible for the infrastructure that supports these services. The CSC, on the other hand, is responsible for correctly using these services to secure their data, for instance, choosing when and what data to encrypt, and managing access to encryption keys.

Implementation Guidelines.
IaaS Provider: 
The IaaS Provider should offer mechanisms for encryption both in transit and at rest for all data, along with a key management service. The CSP should ensure that these services comply with the latest security standards and best practices. The CSP should provide tools and resources for secure key management and encryption that follow best practices.

PaaS Provider: 
The PaaS provider should offer platform-level encryption for data at rest and in transit, including a secure key management system. The PaaS provider should also provide the option for application-level encryption managed by the CSC. The CSP should adhere to security best practices and standards. 

SaaS Provider: 
The SaaS provider should handle encryption at the application level, including key management. It should ensure all data at rest and in transit is encrypted. The CSP should offer the CSC the ability to manage its own keys where feasible.

Applicable to all service models:
The CKMS, whether manual or automated, exists to process, control, store and report key management activity. The CSP's policies, procedures, and processes should ensure that the CKMS:
a. captures, tracks and labels all changes in status
b. continuously monitors for unknown cryptographic assets.
c. generates and distributes key information
d. acquires or generates public-key certificates
e. backups archives and inventory key information
f. maintains a database that maps entities to the CSP's digital certificate or key structure
g. provides maintenance and distribution of revoked key or digital certificate reports
h. generates audit requests and processes audit responses
i. crypto materials include keys, digital certificates, and HSMs
j. verifies that key management technology and processes are FIPS validated
k. protects the confidentiality, integrity, availability, and source authentication of all keys, digital certificates, algorithms, and metadata
l. records (logs) all relevant transitions/activity in the inventory CKMS
","Control Ownership Rationale.
This is a shared and dependent responsibility, because while the CSP has a responsibility to offer secure encryption and key management services, the CSC has a role in configuring and managing these services according to their specific needs and in accordance with their own policies and procedures.

Implementation Guidelines.
IaaS Customer: 
The CSC is responsible for implementing and managing the encryption of their data within the infrastructure provided by the CSP. The CSC should use the tools and resources provided by the CSP for key management, following best practices.

PaaS Customer: 
The CSC should ensure they use the secure platform provided by the CSP effectively, including using the encryption provided at the platform level.
The CSC may also need to implement additional encryption within the platform, depending on their needs and the services provided by the CSP.

SaaS Customer: 
The CSC should ensure they use the secure software service provided by the CSP effectively, including using the encryption provided at the software level.
The CSC should work with the CSP to understand how keys are managed within the software service and ensure it meets their needs and compliance requirements.

Applicable to all service models:
The implementation guidelines provided for the CSP apply.
","1. Examine if the organization has defined the key management processes.
2. Review the processes for key lifecycle management (creation, rotation, storage, disposal) with respect to organization and external (regulatory) requirements.
3. Evaluate if the processes and procedures for change management of key management systems provide an overall traceability of lifecycle steps.
"
