Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Yes,18,Weidinger2023,Sociotechnical Safety Evaluation of Generative AI Systems,"Weidinger L, Rauh M, Marchal N, Manzini A, Hendricks LA, Mateos-Garcia J, Bergman S, Kay J, Griffin C, Bariach B, Gabriel I, Rieser V, Isaac W",Weidinger et al.,2023,10.48550/arXiv.2310.11986,https://arxiv.org/abs/2310.11986,40,20,Preprint
,Yes,19,Wirtz2022,Governance of artificial intelligence: A risk and guideline-based integrative framework,"Wirtz BW, Weyerer JC, Kehl I","Wirtz, Weyerer & Kehl",2022,10.1016/j.giq.2022.101685,https://doi.org/10.1016/j.giq.2022.101685,53,17.66666667,Journal Article
,Yes,20,Wirtz2020,The Dark Sides of Artificial Intelligence: An Integrated AI Governance Framework for Public Administration,"Wirtz BW, Weyerer JC, Sturm BJ","Wirtz, Weyerer & Sturm",2020,10.1080/01900692.2020.1749851,https://doi.org/10.1080/01900692.2020.1749851,209,41.8,Journal Article
,Yes,21,Zhang2022,Towards risk-aware artificial intelligence and machine learning systems: An overview,"Zhang X, Chan FT, Yan C, Bose I",Zhang et al.,2022,10.1016/j.dss.2022.113800,https://doi.org/10.1016/j.dss.2022.113800,43,14.33333333,Journal Article
,Yes,22,Hendrycks2023,An Overview of Catastrophic AI Risks,"Hendrycks D, Mazeika M, Woodside T","Hendrycks, Mazzeika & Woodside",2023,10.48550/arXiv.2306.12001,https://arxiv.org/abs/2306.12001,71,35.5,Preprint
,Yes,23,Vidgen2024,Introducing v0.5 of the AI Safety Benchmark from MLCommons,"Vidgen B, Agrawal A, Ahmed AM, Akinwande V, Al-Nuaimi N, Alfaraj N, Alhajjar E, Aroyo L, Bavalatti T, Blili-Hamelin B, Bollacker K, Bomassani R, Boston MF, Campos S, Chakra K, Chen C, Coleman C, Coudert ZD, Derczynski L, Dutta D, Eisenberg I, Ezick J, Frase H, Fuller B, Gandikota R, Gangavarapu A, Gangavarapu A, Gealy J, Ghosh R, Goel J, Gohar U, Goswami S, Hale SA, Hutiri W, Imperial JM, Jandial S, Judd N, Juefei-Xu F, Khomh F, Kailkhura B, Kirk HR, Klyman K, Knotz C, Kuchnik M, Kumar SH, Lengerich C, Li B, Liao Z, Long EP, Lu V, Mai Y, Mammen PM, Manyeki K, McGregor S, Mehta V, Mohammed S, Moss E, Nachman L, Naganna DJ, Nikanjam A, Nushi B, Oala L, Orr I, Parrish A, Patlak C, Pietri W, Poursabzi-Sangdeh F, Presani E, Puletti F, Röttger P, Sahay S, Santos T, Scherrer N, Sebag AS, Schramowski P, Shahbazi A, Sharma V, Shen X, Sistla V, Tang L, Testuggine D, Thangarasa V, Watkins EA, Weiss R, Welty C, Wilbers T, Williams A, Wu CJ, Yadav P, Yang X, Zeng Y, Zhang W, Zhdanov F, Zhu J, Liang P, Mattson P, Vanschoren J",Vidgen et al.,2024,10.48550/arXiv.2404.12241,https://arxiv.org/abs/2404.12241,0,0,Preprint
,Yes,24,Gabriel2024,The Ethics of Advanced AI Assistants,"Gabriel I, Manzini A, Keeling G, Hendricks LA, Rieser V, Iqbal H, Tomašev N, Ktena I, Kenton Z, Rodriguez M, El-Sayed S, Brown S, Akbulut C, Trask A, Hughes E, Stevie Bergman A, Shelby R, Marchal N, Griffin C, Mateos-Garcia J, Weidinger L, Street W, Lange B, Ingerman A, Lentz A, Enger R, Barakat A, Krakovna V, Siy JO, Kurth-Nelson Z, Mc Croskery A, Bolina V, Law H, Shanahan M, Alberts L, Balle B, de Haas S, Ibitoye Y, Dafoe A, Goldberg B, Krier S, Reese A, Witherspoon S, Hawkins W, Rauh M, Wallace D, Franklin M, Goldstein JA, Lehman J, Klenk M, Vallor S, Biles C, Morris MR, King H, Agüera y Arcas B, Isaac W, Manyika J",Gabriel et al.,2024,10.48550/arXiv.2404.16244,https://doi.org/10.48550/arXiv.2404.16244,2,2,Preprint
,Yes,25,Shevlane2023,Model Evaluation for Extreme Risks,"Shevlane T, Farquhar S, Garfinkel B, Phuong M, Whittlestone J, Leung J, Kokotajlo D, Marchal N, Anderljung M, Kolt N, Ho L, Siddarth D, Avin S, Hawkins W, Kim B, Gabriel I, Bolina V, Clark J, Bengio Y, Christiano P, Dafoe A",Shevlane et al.,2023,10.48550/arXiv.2305.15324,https://arxiv.org/abs/2305.15324,75,37.5,Preprint
,Yes,26,AIVerify2023,Summary Report: Binary Classification Model for Credit Risk ,AI Verify Foundation,AI Verify Foundation,2023,,https://aiverifyfoundation.sg/downloads/AI_Verify_Sample_Report.pdf,0,0,Report
,Yes,27,Sun2023,Safety Assessment of Chinese Large Language Models,"Sun H, Zhang Z, Deng J, Cheng J, Huang M",Sun et al.,2023,10.48550/arXiv.2304.10436,https://arxiv.org/abs/2304.10436,55,27.5,Preprint
,Yes,28,Zhang2023,SafetyBench: Evaluating the Safety of Large Language Models with Multiple Choice Questions,"Zhang Z, Lei L, Wu L, Sun R, Huang Y, Long C, Liu X, Lei X, Tang J, Huang M",Zhang et al.,2023,10.48550/arXiv.2309.07045,https://arxiv.org/abs/2309.07045,37,18.5,Preprint
,Yes,29,Habbal2024,"Artificial Intelligence Trust, Risk and Security Management (AI TRiSM): Frameworks, Applications, Challenges and Future Research Directions","Habbal A, Ali MK, Abuzaraida MA",Habbal et al.,2024,10.1016/j.eswa.2023.122442,https://doi.org/10.1016/j.eswa.2023.122442,55,55,Journal Article
,Yes,30,Liu2024,Trustworthy LLMs: a Survey and Guideline for Evaluating Large Language Models' Alignment,"Liu Y, Yao Y, Ton JF, Zhang X, Guo R, Cheng H, Klochkov Y, Taufiq MF, Li H",Liu et al.,2024,10.48550/arXiv.2308.05374,https://arxiv.org/abs/2308.05374,102,102,Preprint
,Yes,31,EPIC2023,Generating Harms: Generative AI's Impact & Paths Forward,Electronic Privacy Information Centre,Electronic Privacy Information Centre,2023,,https://epic.org/documents/generating-harms-generative-ais-impact-paths-forward/,Not indexed,Not indexed,Report
,Yes,32,Stahl2024,The ethics of ChatGPT -- Exploring the ethical issues of an emerging technology,"Stahl BC, Eke D",Stahl & Eke,2024,10.1016/j.ijinfomgt.2023.102700,https://doi.org/10.1016/j.ijinfomgt.2023.102700,94,94,Journal Article
,Yes,33,Nah2023,"Generative AI and ChatGPT: Applications, Challenges, and AI-Human Collaboration","Fui-Hoon Nah F, Zheng R, Cai J, Siau K, Chen L",Nah et al.,2023,10.1108/IJOES-05-2023-0107,https://doi.org/10.1108/IJOES-05-2023-0107,217,108.5,Journal Article
,Yes,34,Ji2023,AI Alignment: A Comprehensive Survey,"Ji J, Qiu T, Chen B, Zhang B, Lou H, Wang K, Duan Y, He Z, Zhou J, Zhang Z, Zeng F, Ng KY, Dai J, Pan X, O'Gara A, Lei Y, Xu H, Tse B, Fu J, McAleer S, Yang Y, Wang Y, Zhu SC, Guo Y, Gao W",Ji et al.,2023,10.48550/arXiv.2310.19852,https://arxiv.org/abs/2310.19852,66,33,Preprint
,Yes,35,Hendrycks2022,X-Risk Analysis for AI Research,"Hendrycks D, Mazeika M",Hendrycks & Mazeika,2022,10.48550/arXiv.2206.05862,https://arxiv.org/abs/2206.05862,57,19,Preprint
,Yes,36,Sharma2024,Benefits or Concerns of AI: A Multistakeholder Responsibility,Sharma S,Sharma,2024,10.1016/j.futures.2024.103328,https://doi.org/10.1016/j.futures.2024.103328,1,1,Journal Article
,Yes,37,Giarmoleo2024,What Ethics Can Say on Artificial Intelligence: Insights from a Systematic Literature Review,"Giarmoleo FV, Ferrero I, Rocchi M, Pellegrini MM",Giarmoleo et al.,2024,10.1111/basr.12336,https://doi.org/10.1111/basr.12336,0,0,Journal Article
,Yes,38,Kumar2023,Ethical Issues in the Development of Artificial Intelligence: Recognizing the Risks,"Kumar KM, Singh JS",Kumar & Singh,2023,10.1108/IJOES-05-2023-0107,https://doi.org/10.1108/IJOES-05-2023-0107,29,14.5,Journal Article
,Yes,39,Saghiri2022,"A Survey of Artificial Intelligence Challenges: Analyzing the Definitions, Relationships, and Evolutions","Saghiri AM, Vahidipour SM, Jabbarpour MR, Sookhak M, Forestiero A",Saghiri et al.,2022,10.3390/app12084054,https://doi.org/10.3390/app12084054,56,18.66666667,Journal Article
,Yes,40,Yampolskiy2016,Taxonomy of Pathways to Dangerous Artificial Intelligence,Yampolskiy RV,Yampolskiy,2016,10.48550/arXiv.1511.03246,https://doi.org/10.48550/arXiv.1511.03246,122,13.55555556,Journal Article
,Yes,41,Allianz2018,The Rise of Artificial Intelligence - Future Outlooks and Emerging Risks,Allianz Global Corporate and Specialty ,Allianz Global Corporate and Specialty ,2018,,https://commercial.allianz.com/news-and-insights/reports/the-rise-of-artificial-intelligence.html,Not indexed,Not indexed,Report
,Yes,42,Teixeira2022,An Exploratory Diagnosis of Artificial Intelligence Risks for a Responsible Governance,"Teixeira S, Rodrigues J, Veloso B, Gama J",Teixeira et al.,2022,10.1145/3560107.3560298,https://doi.org/10.1145/3560107.3560298,3,1,Conference Paper
,Yes,43,InfoComm2023,Cataloguing LLM Evaluations,"InfoComm Media Development Authority, AI Verify Foundation ",InfoComm Media Development Authority & AI Verify Foundation ,2023,,https://aiverifyfoundation.sg/downloads/Cataloguing_LLM_Evaluations.pdf,Not indexed,Not indexed,Report
,Yes,44,Coghlan2023,Harm to Nonhuman Animals from AI: a Systematic Account  and Framework,"Coghlan, S, Parker, C",Coghlan & Parker,2023,10.1007/s13347-023-00627-6,https://link.springer.com/article/10.1007/s13347-023-00627-6,23,11,Journal Article
,Yes,45,TC2602024,AI Safety Governance Framework,National Technical Committee 260 on Cybersecurity (TC260),National Technical Committee 260 on Cybersecurity (TC260),2024,,https://www.tc260.org.cn/upload/2024-09-09/1725849192841090989.pdf,Not indexed,Not indexed,Report
,Yes,46,Ferrara2023,"GenAI against humanity: nefarious applications 
of generative artificial intelligence and large language  models","Ferrara, E",Ferrara,2023,10.1007/s42001-024-00250-1,https://link.springer.com/article/10.1007/s42001-024-00250-1,126,50,Journal Article
,Yes,47,G'sell2024,Regulating under Uncertainty: Governance Options for Generative AI,"G'sell, F",G'sell,2024,10.2139/ssrn.4918704,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4918704,2,1,Report
,Yes,48,NIST2024,Artificial Intelligence Risk Management Framework: Generative Artificial  Intelligence Profile,National Institute of Standards and Technology,National Institute of Standards and Technology,2024,10.6028/NIST.AI.600-1,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,6,5,Report
,Yes,49,Bengio2024,International Scientific  Report on the Safety of  Advanced AI,"Bengio, Y, Mindermann, S, Privitera, D, Besiroglu, T, Bommasani, R, Casper, S, Choi, Y, Goldfarb, D, Heidari, H, Khalatbari, L, Longpre, S, Mavroudis, V, Mantas, M, Ng, K Y, Okolo, C T, Raji, D, Skeadas, T, Tramèr, F, Fox, B, Ponce de Leon Ferreira de Carvalho, A C, Nemer, M, Pezoa Rivera, R, Zeng, Y, Heikkilä, J, Avrin, G, Krüger, A, Ravindran, B, Riza, H, Seoighe, C, Katvir, Z, Monti, A, Kitano, H, Kerema, M, Ramón, J, Sheikh, H, Jolly, G, Ajala, O, Ligot, D, Lee, K M, Halit, A, Rugege, C, Albalawi, F, Wong, D, Oliver, N, Busch, C, Molchanovskyi, O, Alserkal, M, Khan, S, Mclean, A, Gill, A, Adekanmbi, B, Christiano, P, Dalrymple, D, Dietterich, T G, Felten, E, Fung, P, Gourinchas, P O, Jennings, N, Krause, A, Liang, P, Ludermir, T, Marda, V, Margetts, H, Mcdermid, J A, Narayanan, A, Nelson, A, Oh, A, Ramchurn, G, Russell, S, Schaake, M, Song, D, Soto, A, Tiedrich, L, Varoquaux, G, Yao, A, Zhang, Y",Bengio et al.,2024,,https://assets.publishing.service.gov.uk/media/6716673b96def6d27a4c9b24/international_scientific_report_on_the_safety_of_advanced_ai_interim_report.pdf,19,12,Report
,Yes,50,Zeng2024,AI Risk Categorization Decoded (AIR 2024): From Government Regulations to Corporate Policies,"Zeng, Y, Klyman, K, Zhou, A, Yang, Y, Pan, M, Jia, R, Song, D, Liang, P, Li, B",Zeng et al.,2024,10.48550/arXiv.2406.17864,https://arxiv.org/pdf/2406.17864,9,9,Preprint
,Yes,51,Everitt2018,AGI Safety Literature Review,"Everitt, T, Lea, G, Hutter, M",Everitt. Lea & Hutter,2018,10.48550/arXiv.1805.01109,https://arxiv.org/pdf/1805.01109,158,23,Preprint
,Yes,52,Maham2023,"Governing General Purpose AI: A Comprehensive Map of Unreliability, Misuse and Systemic Risks","Maham, P, Küspert, S",Maham & Küspert,2023,,https://www.interface-eu.org/storage/archive/files/snv_governing_general_purpose_ai_pdf.pdf,1,1,Policy brief
,Yes,53,Maas2023,"Advancing AI Governance: A Literature Review of Problems, Options, and Proposals","Maas, M",Maas,2023,10.2139/ssrn.4629460,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4629460,3,2,Report
,Yes,54,Leech2024,Ten Hard Problems in Artificial Intelligence We Must Get Right,"Leech G, Garfinkel S, Yagudin M, Briand A, Zhuravlev A",Leech et al.,2024,"10.48550/arXiv.2402.04464
",https://arxiv.org/pdf/2402.04464,2,2,Preprint
,Yes,55,Clarke2022,"A Survey of the Potential Long-term Impacts of AI: How AI Could Lead to Long-term Changes in Science, Cooperation, Power, Epistemics and Values","Clarke, S, Whittlestone, J",Clarke & Whittlestone,2022,10.1145/3514094.3534131,https://dl.acm.org/doi/pdf/10.1145/3514094.3534131,25,7,Journal Article
,Yes,56,GOS2023,Future Risks of Frontier AI,Government Office for Science,Government Office for Science,2023,,https://assets.publishing.service.gov.uk/media/653bc393d10f3500139a6ac5/future-risks-of-frontier-ai-annex-a.pdf,Not indexed,Not indexed,Report
,Yes,57,Ghosh2024,AILUMINATE: Introducing v1.0 of the AI Risk and Reliability Benchmark from MLCommons,"Ghosh, S., Frase, H., Williams, A., Luger, S., Röttger, P., Barez, F., McGregor, S., Fricklas, K., Kumar, M., Feuillade–Montixi, Q., Bollacker, K., Friedrich, F., Tsang, R., Vidgen, B., Parrish, A., Knotz, C., Presani, E., Bennion, J., Ferrara Boston, M., Kuniavsky, M., Hutiri, W., Ezick, J., Ben Salem, M., Sahay, R., Goswami, S., Gohar, U., BenHuang, B., Sarin, S., Alhajjar, E., Chen, C., Eng, R., Manjusha, K., Mehta, V., Long, E., Emani, M., Vidra, N., Rukundo, B., Shahbazi, A., Chen, K., Ghosh, R., Thangarasa, V., Peigné, P., Singh, A., MaxBartolo, M., Krishna, S., Akhtar, M., Gold, R., Coleman, C., Oala, L., Tashev, V., Imperial, J., AmyRuss, A., Kunapuli, S., Miailhe, N., Delaunay, J., Radharapu, B., Shinde, R., Tuesday, T., Dutta, D., Grabb, D., Gangavarapu, A., Sahay, S., Gangavarapu, A., Schramowski, P., Singam, S., David, T., Han, X., Mammen, P., Prabhakar, T., Kovatchev, V., Ahmed, A., Manyeki, K., Madireddy, S., Khomh, F., Zhdanov, F., Baumann, J., Vasan, N., Yang, X., Mougn, C., Varghese, J., Chinoy, H., Jitendar, S., Maskey, M., Hardgrove, C., Li, T., Gupta, A., Joswin, E., Mai, Y., Kumar, S., CigdemPatlak, C., Lu, K., Alessi, V., Balija, S., Gu, C., Sullivan, R., Gealy, J., Lavrisa, M., Goel, J., Mattson, P., Liang, P., Vanschoren, J.",Ghosh et al.,2025,https://doi.org/10.48550/arXiv.2503.05731,https://arxiv.org/pdf/2503.05732,0,0,Journal Article
,Yes,58,Abercrombie2024,"A Collaborative, Human-Centred Taxonomy of AI, Algorithmic, and Automation Harms","Abercrombie, G., Benbouzid, D., Giudici, P., Golpayegani, D., Hernandez, J., Noro, P., Pandit, H., Paraschou, E., Pownall, C., Prajapati, J., Sayre, M., Sengupta, U., Suriyawongkul, A., Thelot, R., Vei, S., Waltersdorfer, L.",Abercrombie et al.,2024,"https://doi.org/10.48550/arXiv.2407.01294
",https://arxiv.org/pdf/2407.01294,7,7,Journal Article
,Yes,59,Schnitzer2024,AI Hazard Management: A Framework for the Systematic Management of Root Causes for AI Risks,"Schnitzer, R., Hapfelmeier, A., Gaube, S., & Zillner, S.",Schnitzer et al.,2024,https://doi.org/10.48550/arXiv.2310.16727,https://link.springer.com/chapter/10.1007/978-981-99-9836-4_27#Tab1,4,4,Journal Article
,Yes,60,Bengio2025,International AI Safety Report 2025,"Y. Bengio, S. Mindermann, D. Privitera, T. Besiroglu, R. Bommasani, S. Casper, Y. Choi, P. Fox, B. Garfinkel, D. Goldfarb, H. Heidari, A. Ho, S. Kapoor, L. Khalatbari, S. Longpre, S. Manning, V. Mavroudis, M. Mazeika, J. Michael, J. Newman, K. Y. Ng, C. T. Okolo, D. Raji, G. Sastry, E. Seger, T. Skeadas, T. South, E. Strubell, F. Tramèr, L. Velasco, N. Wheeler, D. Acemoglu, O. Adekanmbi, D. Dalrymple, T. G. Dietterich, P. Fung, P.-O. Gourinchas, F. Heintz, G. Hinton, N. Jennings, A. Krause, S. Leavy, P. Liang, T. Ludermir, V. Marda, H. Margetts, J. McDermid, J. Munga, A. Narayanan, A. Nelson, C. Neppel, A. Oh, G. Ramchurn, S. Russell, M. Schaake, B. Schölkopf, D. Song, A. Soto, L. Tiedrich, G. Varoquaux, E. W. Felten, A. Yao, Y.-Q. Zhang, O. Ajala, F. Albalawi, M. Alserkal, G. Avrin, C. Busch, A. C. P. de L. F. de Carvalho, B. Fox, A. S. Gill, A. H. Hatip, J. Heikkilä, C. Johnson, G. Jolly, Z. Katzir, S. M. Khan, H. Kitano, A. Krüger, K. M. Lee, D. V. Ligot, J. R. López Portillo, D., O. Molchanovskyi, A. Monti, N. Mwamanzi, M. Nemer, N. Oliver, R. Pezoa Rivera, B. Ravindran, H. Riza, C. Rugege, C. Seoighe, H. Sheikh, J. Sheehan, D. Wong, Y. Zeng",Bengio et al.,2025,-,https://assets.publishing.service.gov.uk/media/679a0c48a77d250007d313ee/International_AI_Safety_Report_2025_accessible_f.pdf,3,3,Report
,Yes,61,Uuk2025,A Taxonomy of Systemic Risks from General-Purpose AI,"Uuk, R., Gutierrez, C.I., Guppy, D., Lauwaert, L., Kasirzadeh, A., Velasco, L., Slattery, P., Prunkl, C.",Uuk et al.,2025,http://dx.doi.org/10.2139/ssrn.5030173,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5030173,1,1,Journal Article
,Yes,62,Gipiškis2024,Risk Sources and Risk Management Measures in Support of Standards for General-Purpose AI Systems,"Gipiškis, R., San Joaquin, A., Chin, Z.S., Regenfuß, A., Gil, A., Holtman, K.",Gipiškis et al.,2024,https://doi.org/10.48550/arXiv.2410.23472,https://arxiv.org/abs/2410.23472,0,0,Journal Article
,Yes,63,Hammond2025,Multi-Agent Risks from Advanced AI,"Hammond, L., Chan, A., Clifton, J., Hoelscher-Obermaier, J., Khan, A., McLean, E., Smith, C., Barfuss, W., Foerster, J., Gavenčiak, T., Han, T. A., Hughes, E., Kovařík, V., Kulveit, J., Leibo, J. Z., Oesterheld, C., Schroeder de Witt, C., Shah, N., Wellman, M., Bova, P., Cimpeanu, T., Ezell, C., Feuillade-Montixi, Q., Franklin, M., Kran, E., Krawczuk, I., Lamparth, M., Lauffer, N., Meinke, A., Motwani, S., Reuel, A., Conitzer, V., Dennis, M., Gabriel, I., Gleave, A., Hadfield, G., Haghtalab, N., Kasirzadeh, A., Krier, S., Larson, K., Lehman, J., Parkes, D. C., Piliouras, G., Rahwan, I.",Hammond et al.,2025,"https://doi.org/10.48550/arXiv.2502.14143

",https://arxiv.org/abs/2502.14143,3,3,Journal Article
,Yes,64,Marchal2024,Generative AI Misuse: A Taxonomy of Tactics and Insights from Real-World Data,"Marchal, N. and Xu, R.",Marchal & Xu,2024,https://doi.org/10.48550/arXiv.2406.13843,https://arxiv.org/abs/2406.13843,23,23,Journal Article
,Yes,65,IBM2025,AI Risk Atlas,IBM,IBM,2025,-,https://www.ibm.com/docs/en/watsonx/saas?topic=ai-risk-atlas,Not indexed,Not indexed,Website
,,,,,,,,,,,,
,,,,,,,,,,,,
,📧 Email: pslat[at]mit.edu,,,,,,,,,,,
