SORT-AS,Control Identifier,Control (or Control Enhancement) Name,Withdrawn,Privacy Baseline,Security Control Baseline - Low,Security Control Baseline - Moderate,Security Control Baseline - High
AC-04-21,AC-4(21),Information Flow Enforcement | Physical or Logical Separation of Information Flows,,,,,
AC-04-22,AC-4(22),Information Flow Enforcement | Access Only,,,,,
AC-04-23,AC-4(23),Information Flow Enforcement | Modify Non-releasable Information,,,,,
AC-04-24,AC-4(24),Information Flow Enforcement | Internal Normalized Format,,,,,
AC-04-25,AC-4(25),Information Flow Enforcement | Data Sanitization,,,,,
AC-04-26,AC-4(26),Information Flow Enforcement | Audit Filtering Actions,,,,,
AC-04-27,AC-4(27),Information Flow Enforcement | Redundant/independent Filtering Mechanisms,,,,,
AC-04-28,AC-4(28),Information Flow Enforcement | Linear Filter Pipelines,,,,,
AC-04-29,AC-4(29),Information Flow Enforcement | Filter Orchestration Engines,,,,,
AC-04-30,AC-4(30),Information Flow Enforcement | Filter Mechanisms Using Multiple Processes,,,,,
AC-04-31,AC-4(31),Information Flow Enforcement | Failed Content Transfer Prevention,,,,,
AC-04-32,AC-4(32),Information Flow Enforcement | Process Requirements for Information Transfer,,,,,
AC-05-00,AC-5,Separation of Duties,,,,x,x
AC-06-00,AC-6,Least Privilege,,,,x,x
AC-06-01,AC-6(1),Least Privilege | Authorize Access to Security Functions,,,,x,x
AC-06-02,AC-6(2),Least Privilege | Non-privileged Access for Nonsecurity Functions,,,,x,x
AC-06-03,AC-6(3),Least Privilege | Network Access to Privileged Commands,,,,,x
AC-06-04,AC-6(4),Least Privilege | Separate Processing Domains,,,,,
AC-06-05,AC-6(5),Least Privilege | Privileged Accounts,,,,x,x
AC-06-06,AC-6(6),Least Privilege | Privileged Access by Non-organizational Users,,,,,
AC-06-07,AC-6(7),Least Privilege | Review of User Privileges,,,,x,x
AC-06-08,AC-6(8),Least Privilege | Privilege Levels for Code Execution,,,,,
AC-06-09,AC-6(9),Least Privilege | Log Use of Privileged Functions,,,,x,x
AC-06-10,AC-6(10),Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,,,,x,x
AC-07-00,AC-7,Unsuccessful Logon Attempts,,,x,x,x
AC-07-01,AC-7(1),Unsuccessful Logon Attempts | Automatic Account Lock,W: Incorporated into AC-7.,,,,
AC-07-02,AC-7(2),Unsuccessful Logon Attempts | Purge or Wipe Mobile Device,,,,,
AC-07-03,AC-7(3),Unsuccessful Logon Attempts | Biometric Attempt Limiting,,,,,
AC-07-04,AC-7(4),Unsuccessful Logon Attempts | Use of Alternate Authentication Factor,,,,,
AC-08-00,AC-8,System Use Notification,,,x,x,x
AC-09-00,AC-9,Previous Logon Notification,,,,,
AC-09-01,AC-9(1),Previous Logon Notification | Unsuccessful Logons,,,,,
AC-09-02,AC-9(2),Previous Logon Notification | Successful and Unsuccessful Logons,,,,,
AC-09-03,AC-9(3),Previous Logon Notification | Notification of Account Changes,,,,,
AC-09-04,AC-9(4),Previous Logon Notification | Additional Logon Information,,,,,
AC-10-00,AC-10,Concurrent Session Control,,,,,x
AC-11-00,AC-11,Device Lock,,,,x,x
AC-11-01,AC-11(1),Device Lock | Pattern-hiding Displays,,,,x,x
AC-12-00,AC-12,Session Termination,,,,x,x
AC-12-01,AC-12(1),Session Termination | User-initiated Logouts,,,,,
AC-12-02,AC-12(2),Session Termination | Termination Message,,,,,
AC-12-03,AC-12(3),Session Termination | Timeout Warning Message,,,,,
AC-13-00,AC-13,Supervision and Review — Access Control,W: Incorporated into AC-2 and AU-6.,,,,
AC-14-00,AC-14,Permitted Actions Without Identification or Authentication,,,x,x,x
AC-14-01,AC-14(1),Permitted Actions Without Identification or Authentication | Necessary Uses,W: Incorporated into AC-14.,,,,
AC-15-00,AC-15,Automated Marking,W: Incorporated into MP-3.,,,,
AC-16-00,AC-16,Security and Privacy Attributes,,,,,
AC-16-01,AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,,,,,
AC-16-02,AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,,,,,
AC-16-03,AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,,,,,
AC-16-04,AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,,,,,
AC-16-05,AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,,,,,
AC-16-06,AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,,,,,
AC-16-07,AC-16(7),Security and Privacy Attributes | Consistent Attribute Interpretation,,,,,
AC-16-08,AC-16(8),Security and Privacy Attributes | Association Techniques and Technologies,,,,,
AC-16-09,AC-16(9),Security and Privacy Attributes | Attribute Reassignment — Regrading Mechanisms,,,,,
AC-16-10,AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,,,,,
AC-17-00,AC-17,Remote Access,,,x,x,x
AC-17-01,AC-17(1),Remote Access | Monitoring and Control,,,,x,x
AC-17-02,AC-17(2),Remote Access | Protection of Confidentiality and Integrity Using Encryption,,,,x,x
AC-17-03,AC-17(3),Remote Access | Managed Access Control Points,,,,x,x
AC-17-04,AC-17(4),Remote Access | Privileged Commands and Access,,,,x,x
AC-17-05,AC-17(5),Remote Access | Monitoring for Unauthorized Connections,W: Incorporated into SI-4.,,,,
AC-17-06,AC-17(6),Remote Access | Protection of Mechanism Information,,,,,
AC-17-07,AC-17(7),Remote Access | Additional Protection for Security Function Access,W: Incorporated into AC-3(10).,,,,
AC-17-08,AC-17(8),Remote Access | Disable Nonsecure Network Protocols,W: Incorporated into CM-7.,,,,
AC-17-09,AC-17(9),Remote Access | Disconnect or Disable Access,,,,,
AC-17-10,AC-17(10),Remote Access | Authenticate Remote Commands,,,,,
AC-18-00,AC-18,Wireless Access,,,x,x,x
AC-18-01,AC-18(1),Wireless Access | Authentication and Encryption,,,,x,x
AC-18-02,AC-18(2),Wireless Access | Monitoring Unauthorized Connections,W: Incorporated into SI-4.,,,,
AC-18-03,AC-18(3),Wireless Access | Disable Wireless Networking,,,,x,x
AC-18-04,AC-18(4),Wireless Access | Restrict Configurations by Users,,,,,x
AC-18-05,AC-18(5),Wireless Access | Antennas and Transmission Power Levels,,,,,x
AC-19-00,AC-19,Access Control for Mobile Devices,,,x,x,x
AC-19-01,AC-19(1),Access Control for Mobile Devices | Use of Writable and Portable Storage Devices,W: Incorporated into MP-7.,,,,
AC-19-02,AC-19(2),Access Control for Mobile Devices | Use of Personally Owned Portable Storage Devices,W: Incorporated into MP-7.,,,,
AC-19-03,AC-19(3),Access Control for Mobile Devices | Use of Portable Storage Devices with No Identifiable Owner,W: Incorporated into MP-7.,,,,
AC-19-04,AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,,,,,
AC-19-05,AC-19(5),Access Control for Mobile Devices | Full Device or Container-based Encryption,,,,x,x
AC-20-00,AC-20,Use of External Systems,,,x,x,x
AC-20-01,AC-20(1),Use of External Systems | Limits on Authorized Use,,,,x,x
AC-20-02,AC-20(2),Use of External Systems | Portable Storage Devices — Restricted Use,,,,x,x
AC-20-03,AC-20(3),Use of External Systems | Non-organizationally Owned Systems  — Restricted Use,,,,,
AC-20-04,AC-20(4),Use of External Systems | Network Accessible Storage Devices — Prohibited Use,,,,,
AC-20-05,AC-20(5),Use of External Systems | Portable Storage Devices — Prohibited Use,,,,,
AC-21-00,AC-21,Information Sharing,,,,x,x
AC-21-01,AC-21(1),Information Sharing | Automated Decision Support,,,,,
AC-21-02,AC-21(2),Information Sharing | Information Search and Retrieval,,,,,
AC-22-00,AC-22,Publicly Accessible Content,,,x,x,x
AC-23-00,AC-23,Data Mining Protection,,,,,
AC-24-00,AC-24,Access Control Decisions,,,,,
AC-24-01,AC-24(1),Access Control Decisions | Transmit Access Authorization Information,,,,,
AC-24-02,AC-24(2),Access Control Decisions | No User or Process Identity,,,,,
AC-25-00,AC-25,Reference Monitor,,,,,
AT-01-00,AT-1,Policy and Procedures,,x ,x,x,x
AT-02-00,AT-2,Literacy Training and Awareness,,x ,x,x,x
AT-02-01,AT-2(1),Literacy Training and Awareness | Practical Exercises,,,,,
AT-02-02,AT-2(2),Literacy Training and Awareness | Insider Threat,,,x,x,x
AT-02-03,AT-2(3),Literacy Training and Awareness | Social Engineering and Mining,,,,x,x
AT-02-04,AT-2(4),Literacy Training and Awareness | Suspicious Communications and Anomalous System Behavior,,,,,
AT-02-05,AT-2(5),Literacy Training and Awareness | Advanced Persistent Threat,,,,,
AT-02-06,AT-2(6),Literacy Training and Awareness | Cyber Threat Environment,,,,,
AT-03-00,AT-3,Role-based Training,,x ,x,x,x
AT-03-01,AT-3(1),Role-based Training | Environmental Controls,,,,,
AT-03-02,AT-3(2),Role-based Training | Physical Security Controls,,,,,
AT-03-03,AT-3(3),Role-based Training | Practical Exercises,,,,,
AT-03-04,AT-3(4),Role-based Training | Suspicious Communications and Anomalous System Behavior,W: Incorporated into AT-2(4).,,,,
AT-03-05,AT-3(5),Role-based Training | Processing Personally Identifiable Information,,x ,,,
AT-04-00,AT-4,Training Records,,x ,x,x,x
AT-05-00,AT-5,Contacts with Security Groups and Associations,W: Incorporated into PM-15.,,,,
AT-06-00,AT-6,Training Feedback,,,,,
AU-01-00,AU-1,Policy and Procedures,,x ,x,x,x
AU-02-00,AU-2,Event Logging,,x ,x,x,x
AU-02-01,AU-2(1),Event Logging | Compilation of Audit Records from Multiple Sources,W: Incorporated into AU-12.,,,,
AU-02-02,AU-2(2),Event Logging | Selection of Audit Events by Component,W: Incorporated into AU-12.,,,,
AU-02-03,AU-2(3),Event Logging | Reviews and Updates,W: Incorporated into AU-2.,,,,
AU-02-04,AU-2(4),Event Logging | Privileged Functions,W: Incorporated into AC-6(9).,,,,
AU-03-00,AU-3,Content of Audit Records,,,x,x,x
AU-03-01,AU-3(1),Content of Audit Records | Additional Audit Information,,,,x,x
AU-03-02,AU-3(2),Content of Audit Records | Centralized Management of Planned Audit Record Content,W: Incorporated into PL-9.,,,,
AU-03-03,AU-3(3),Content of Audit Records | Limit Personally Identifiable Information Elements,,x,,,
AU-04-00,AU-4,Audit Log Storage Capacity,,,x,x,x
AU-04-01,AU-4(1),Audit Log Storage Capacity | Transfer to Alternate Storage,,,,,
AU-05-00,AU-5,Response to Audit Logging Process Failures,,,x,x,x
AU-05-01,AU-5(1),Response to Audit Logging Process Failures | Storage Capacity Warning,,,,,x
AU-05-02,AU-5(2),Response to Audit Logging Process Failures | Real-time Alerts,,,,,x
AU-05-03,AU-5(3),Response to Audit Logging Process Failures | Configurable Traffic Volume Thresholds,,,,,
AU-05-04,AU-5(4),Response to Audit Logging Process Failures | Shutdown on Failure,,,,,
AU-05-05,AU-5(5),Response to Audit Logging Process Failures | Alternate Audit Logging Capability,,,,,
AU-06-00,AU-6,"Audit Record Review, Analysis, and Reporting",,,x,x,x
AU-06-01,AU-6(1),"Audit Record Review, Analysis, and Reporting | Automated Process Integration",,,,x,x
AU-06-02,AU-6(2),"Audit Record Review, Analysis, and Reporting | Automated Security Alerts",W: Incorporated into SI-4,,,,
AU-06-03,AU-6(3),"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",,,,x,x
AU-06-04,AU-6(4),"Audit Record Review, Analysis, and Reporting | Central Review and Analysis",,,,,
AU-06-05,AU-6(5),"Audit Record Review, Analysis, and Reporting | Integrated Analysis of Audit Records",,,,,x
AU-06-06,AU-6(6),"Audit Record Review, Analysis, and Reporting | Correlation with Physical Monitoring",,,,,x
AU-06-07,AU-6(7),"Audit Record Review, Analysis, and Reporting | Permitted Actions",,,,,
AU-06-08,AU-6(8),"Audit Record Review, Analysis, and Reporting | Full Text Analysis of Privileged Commands",,,,,
AU-06-09,AU-6(9),"Audit Record Review, Analysis, and Reporting | Correlation with Information from Nontechnical Sources",,,,,
AU-06-10,AU-6(10),"Audit Record Review, Analysis, and Reporting | Audit Level Adjustment",W: Incorporated into AU-6.,,,,
AU-07-00,AU-7,Audit Record Reduction and Report Generation,,,,x,x
AU-07-01,AU-7(1),Audit Record Reduction and Report Generation | Automatic Processing,,,,x,x
AU-07-02,AU-7(2),Audit Record Reduction and Report Generation | Automatic Sort and Search,W: Incorporated into AU-7(1).,,,,
AU-08-00,AU-8,Time Stamps,,,x,x,x
AU-08-01,AU-8(1),Time Stamps | Synchronization with Authoritative Time Source,W: Moved to SC-45(1).,,,,
AU-08-02,AU-8(2),Time Stamps | Secondary Authoritative Time Source,W: Moved to SC-45(2).,,,,
AU-09-00,AU-9,Protection of Audit Information,,,x,x,x
AU-09-01,AU-9(1),Protection of Audit Information | Hardware Write-once Media,,,,,
AU-09-02,AU-9(2),Protection of Audit Information | Store on Separate Physical Systems or Components,,,,,x
AU-09-03,AU-9(3),Protection of Audit Information | Cryptographic Protection,,,,,x
AU-09-04,AU-9(4),Protection of Audit Information | Access by Subset of Privileged Users,,,,x,x
AU-09-05,AU-9(5),Protection of Audit Information | Dual Authorization,,,,,
AU-09-06,AU-9(6),Protection of Audit Information | Read-only Access,,,,,
AU-09-07,AU-9(7),Protection of Audit Information | Store on Component with Different Operating System,,,,,
AU-10-00,AU-10,Non-repudiation,,,,,x
AU-10-01,AU-10(1),Non-repudiation | Association of Identities,,,,,
AU-10-02,AU-10(2),Non-repudiation | Validate Binding of Information Producer Identity,,,,,
AU-10-03,AU-10(3),Non-repudiation | Chain of Custody,,,,,
AU-10-04,AU-10(4),Non-repudiation | Validate Binding of Information Reviewer Identity,,,,,
AU-10-05,AU-10(5),Non-repudiation | Digital Signatures,W: Incorporated into SI-7,,,,
AU-11-00,AU-11,Audit Record Retention,,x ,x,x,x
AU-11-01,AU-11(1),Audit Record Retention | Long-term Retrieval Capability,,,,,
AU-12-00,AU-12,Audit Record Generation,,,x,x,x
AU-12-01,AU-12(1),Audit Record Generation | System-wide and Time-correlated Audit Trail,,,,,x
AU-12-02,AU-12(2),Audit Record Generation | Standardized Formats,,,,,
AU-12-03,AU-12(3),Audit Record Generation | Changes by Authorized Individuals,,,,,x
AU-12-04,AU-12(4),Audit Record Generation | Query Parameter Audits of Personally Identifiable Information,,,,,
AU-13-00,AU-13,Monitoring for Information Disclosure,,,,,
AU-13-01,AU-13(1),Monitoring for Information Disclosure | Use of Automated Tools,,,,,
AU-13-02,AU-13(2),Monitoring for Information Disclosure | Review of Monitored Sites,,,,,
AU-13-03,AU-13(3),Monitoring for Information Disclosure | Unauthorized Replication of Information,,,,,
AU-14-00,AU-14,Session Audit,,,,,
AU-14-01,AU-14(1),Session Audit | System Start-up,,,,,
AU-14-02,AU-14(2),Session Audit | Capture and Record Content,W: Incorporated into AU-14.,,,,
AU-14-03,AU-14(3),Session Audit | Remote Viewing and Listening,,,,,
AU-15-00,AU-15,Alternate Audit Logging Capability,W: Moved to AU-5(5).,,,,
AU-16-00,AU-16,Cross-organizational Audit Logging,,,,,
AU-16-01,AU-16(1),Cross-organizational Audit Logging | Identity Preservation,,,,,
AU-16-02,AU-16(2),Cross-organizational Audit Logging | Sharing of Audit Information,,,,,
AU-16-03,AU-16(3),Cross-organizational Audit Logging | Disassociability,,,,,
CA-01-00,CA-1,Policy and Procedures,,x ,x,x,x
CA-02-00,CA-2,Control Assessments,,x ,x,x,x
CA-02-01,CA-2(1),Control Assessments | Independent Assessors,,,,x,x
CA-02-02,CA-2(2),Control Assessments | Specialized Assessments,,,,,x
CA-02-03,CA-2(3),Control Assessments | Leveraging Results from External Organizations,,,,,
CA-03-00,CA-3,Information Exchange,,,x,x,x
CA-03-01,CA-3(1),Information Exchange | Unclassified National Security System Connections,W: Moved to SC-7(25).,,,,
CA-03-02,CA-3(2),Information Exchange | Classified National Security System Connections,W: Moved to SC-7(26).,,,,
CA-03-03,CA-3(3),Information Exchange | Unclassified Non-national Security System Connections,W: Moved to SC-7(27).,,,,
CA-03-04,CA-3(4),Information Exchange | Connections to Public Networks,W: Moved to SC-7(28).,,,,
CA-03-05,CA-3(5),Information Exchange | Restrictions on External System Connections,W: Incorporated into SC-7(5).,,,,
CA-03-06,CA-3(6),Information Exchange | Transfer Authorizations,,,,,x
CA-03-07,CA-3(7),Information Exchange | Transitive Information Exchanges,,,,,
CA-04-00,CA-4,Security Certification,W: Incorporated into CA-2.,,,,
CA-05-00,CA-5,Plan of Action and Milestones,,x ,x,x,x
CA-05-01,CA-5(1),Plan of Action and Milestones | Automation Support for Accuracy and Currency,,,,,
CA-06-00,CA-6,Authorization,,x ,x,x,x
CA-06-01,CA-6(1),Authorization | Joint Authorization — Intra-organization,,,,,
CA-06-02,CA-6(2),Authorization | Joint Authorization — Inter-organization,,,,,
CA-07-00,CA-7,Continuous Monitoring,,x ,x,x,x
CA-07-01,CA-7(1),Continuous Monitoring | Independent Assessment,,,,x,x
CA-07-02,CA-7(2),Continuous Monitoring | Types of Assessments,W: Incorporated into CA-2.,,,,
CA-07-03,CA-7(3),Continuous Monitoring | Trend Analyses,,,,,
CA-07-04,CA-7(4),Continuous Monitoring | Risk Monitoring,,x ,x,x,x
CA-07-05,CA-7(5),Continuous Monitoring | Consistency Analysis,,,,,
CA-07-06,CA-7(6),Continuous Monitoring | Automation Support for Monitoring,,,,,
CA-08-00,CA-8,Penetration Testing,,,,,x
CA-08-01,CA-8(1),Penetration Testing | Independent Penetration Testing Agent or Team,,,,,x
CA-08-02,CA-8(2),Penetration Testing | Red Team Exercises,,,,,
CA-08-03,CA-8(3),Penetration Testing | Facility Penetration Testing,,,,,
CA-09-00,CA-9,Internal System Connections,,,x,x,x
CA-09-01,CA-9(1),Internal System Connections | Compliance Checks,,,,,
CM-01-00,CM-1,Policy and Procedures,,x ,x,x,x
CM-02-00,CM-2,Baseline Configuration,,,x,x,x
CM-02-01,CM-2(1),Baseline Configuration | Reviews and Updates,W: Incorporated into CM-2.,,,,
CM-02-02,CM-2(2),Baseline Configuration | Automation Support for Accuracy and Currency,,,,x,x
CM-02-03,CM-2(3),Baseline Configuration | Retention of Previous Configurations,,,,x,x
CM-02-04,CM-2(4),Baseline Configuration | Unauthorized Software,W: Incorporated into CM-7.,,,,
CM-02-05,CM-2(5),Baseline Configuration | Authorized Software,W: Incorporated into CM-7.,,,,
CM-02-06,CM-2(6),Baseline Configuration | Development and Test Environments,,,,,
CM-02-07,CM-2(7),Baseline Configuration | Configure Systems and Components for High-risk Areas,,,,x,x
CM-03-00,CM-3,Configuration Change Control,,,,x,x
CM-03-01,CM-3(1),"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",,,,,x
CM-03-02,CM-3(2),"Configuration Change Control | Testing, Validation, and Documentation of Changes",,,,x,x
CM-03-03,CM-3(3),Configuration Change Control | Automated Change Implementation,,,,,
CM-03-04,CM-3(4),Configuration Change Control | Security and Privacy Representatives,,,,x,x
CM-03-05,CM-3(5),Configuration Change Control | Automated Security Response,,,,,
CM-03-06,CM-3(6),Configuration Change Control | Cryptography Management,,,,,x
CM-03-07,CM-3(7),Configuration Change Control | Review System Changes,,,,,
CM-03-08,CM-3(8),Configuration Change Control | Prevent or Restrict Configuration Changes,,,,,
CM-04-00,CM-4,Impact Analyses,,x ,x,x,x
CM-04-01,CM-4(1),Impact Analyses | Separate Test Environments,,,,,x
CM-04-02,CM-4(2),Impact Analyses | Verification of Controls,,,,x,x
CM-05-00,CM-5,Access Restrictions for Change,,,x,x,x
CM-05-01,CM-5(1),Access Restrictions for Change | Automated Access Enforcement and Audit Records,,,,,x
CM-05-02,CM-5(2),Access Restrictions for Change | Review System Changes,W: Incorporated into CM-3(7).,,,,
CM-05-03,CM-5(3),Access Restrictions for Change | Signed Components,W: Moved to CM-14.,,,,
CM-05-04,CM-5(4),Access Restrictions for Change | Dual Authorization,,,,,
CM-05-05,CM-5(5),Access Restrictions for Change | Privilege Limitation for Production and Operation,,,,,
CM-05-06,CM-5(6),Access Restrictions for Change | Limit Library Privileges,,,,,
CM-05-07,CM-5(7),Access Restrictions for Change | Automatic Implementation of Security Safeguards,W: Incorporated into SI-7.,,,,
CM-06-00,CM-6,Configuration Settings,,,x,x,x
CM-06-01,CM-6(1),"Configuration Settings | Automated Management, Application, and Verification",,,,,x
CM-06-02,CM-6(2),Configuration Settings | Respond to Unauthorized Changes,,,,,x
CM-06-03,CM-6(3),Configuration Settings | Unauthorized Change Detection,W: Incorporated into SI-7.,,,,
CM-06-04,CM-6(4),Configuration Settings | Conformance Demonstration,W: Incorporated into CM-4.,,,,
CM-07-00,CM-7,Least Functionality,,,x,x,x
CM-07-01,CM-7(1),Least Functionality | Periodic Review,,,,x,x
CM-07-02,CM-7(2),Least Functionality | Prevent Program Execution,,,,x,x
CM-07-03,CM-7(3),Least Functionality | Registration Compliance,,,,,
CM-07-04,CM-7(4),Least Functionality | Unauthorized Software,,,,,
CM-07-05,CM-7(5),Least Functionality | Authorized Software,,,,x,x
CM-07-06,CM-7(6),Least Functionality | Confined Environments with Limited Privileges,,,,,
CM-07-07,CM-7(7),Least Functionality | Code Execution in Protected Environments,,,,,
CM-07-08,CM-7(8),Least Functionality | Binary or Machine Executable Code,,,,,
CM-07-09,CM-7(9),Least Functionality | Prohibiting The Use of Unauthorized Hardware,,,,,
CM-08-00,CM-8,System Component Inventory,,,x,x,x
CM-08-01,CM-8(1),System Component Inventory | Updates During Installation and Removal,,,,x,x
CM-08-02,CM-8(2),System Component Inventory | Automated Maintenance,,,,,x
CM-08-03,CM-8(3),System Component Inventory | Automated Unauthorized Component Detection,,,,x,x
CM-08-04,CM-8(4),System Component Inventory | Accountability Information,,,,,x
CM-08-05,CM-8(5),System Component Inventory | No Duplicate Accounting of Components,W: Incorporated into CM-8.,,,,
CM-08-06,CM-8(6),System Component Inventory | Assessed Configurations and Approved Deviations,,,,,
CM-08-07,CM-8(7),System Component Inventory | Centralized Repository,,,,,
CM-08-08,CM-8(8),System Component Inventory | Automated Location Tracking,,,,,
CM-08-09,CM-8(9),System Component Inventory | Assignment of Components to Systems,,,,,
CM-09-00,CM-9,Configuration Management Plan,,,,x,x
CM-09-01,CM-9(1),Configuration Management Plan | Assignment of Responsibility,,,,,
CM-10-00,CM-10,Software Usage Restrictions,,,x,x,x
CM-10-01,CM-10(1),Software Usage Restrictions | Open-source Software,,,,,
CM-11-00,CM-11,User-installed Software,,,x,x,x
CM-11-01,CM-11(1),User-installed Software | Alerts for Unauthorized Installations,W: Incorporated into CM-8(3).,,,,
CM-11-02,CM-11(2),User-installed Software | Software Installation with Privileged Status,,,,,
CM-11-03,CM-11(3),User-installed Software | Automated Enforcement and Monitoring,,,,,
CM-12-00,CM-12,Information Location,,,,x,x
CM-12-01,CM-12(1),Information Location | Automated Tools to Support Information Location,,,,x,x
CM-13-00,CM-13,Data Action Mapping,,,,,
CM-14-00,CM-14,Signed Components,,,,,
CP-01-00,CP-1,Policy and Procedures,,,x,x,x
CP-02-00,CP-2,Contingency Plan,,,x,x,x
CP-02-01,CP-2(1),Contingency Plan | Coordinate with Related Plans,,,,x,x
CP-02-02,CP-2(2),Contingency Plan | Capacity Planning,,,,,x
CP-02-03,CP-2(3),Contingency Plan | Resume Mission and Business Functions,,,,x,x
CP-02-04,CP-2(4),Contingency Plan | Resume All Mission and Business Functions,W: Incorporated into CP-2(3).,,,,
CP-02-05,CP-2(5),Contingency Plan | Continue Mission and Business Functions,,,,,x
CP-02-06,CP-2(6),Contingency Plan | Alternate Processing and Storage Sites,,,,,
CP-02-07,CP-2(7),Contingency Plan | Coordinate with External Service Providers,,,,,
