Section,Action ID,Suggested Action,GAI Risks,AI Actor Tasks
GOVERN 3.2: Policies and procedures are in place to deﬁne and diﬀerentiate roles and responsibilities for human-AI conﬁgurations and oversight of AI systems.,GV-3.2-004,Establish policies for user feedback mechanisms for GAI systems which include thorough instructions and any mechanisms for recourse.,Human-AI Conﬁguration,AI Actors: AI Design
GOVERN 3.2: Policies and procedures are in place to deﬁne and diﬀerentiate roles and responsibilities for human-AI conﬁgurations and oversight of AI systems.,GV-3.2-005,Engage in threat modeling to anticipate potential risks from GAI systems.,CBRN Information or Capabilities; Information Security,AI Actors: AI Design
"GOVERN 4.1: Organizational policies and practices are in place to foster a critical thinking and safety-ﬁrst mindset in the design, development, deployment, and uses of AI systems to minimize potential negative impacts.",GV-4.1-001,"Establish policies and procedures that address continual improvement processes for GAI risk measurement. Address general risks associated with a lack of explainability and transparency in GAI systems by using ample documentation and techniques such as: application of gradient-based attributions, occlusion/term reduction, counterfactual prompts and prompt engineering, and analysis of embeddings; Assess and update risk measurement approaches at regular cadences.",Confabulation,"AI Actor Tasks: AI Deployment, AI Design, AI Development, Operation and Monitoring"
"GOVERN 4.1: Organizational policies and practices are in place to foster a critical thinking and safety-ﬁrst mindset in the design, development, deployment, and uses of AI systems to minimize potential negative impacts.",GV-4.1-002,"Establish policies, procedures, and processes detailing risk measurement in context of use with standardized measurement protocols and structured public feedback exercises such as AI red-teaming or independent external evaluations.",CBRN Information and Capability; Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, AI Design, AI Development, Operation and Monitoring"
"GOVERN 4.1: Organizational policies and practices are in place to foster a critical thinking and safety-ﬁrst mindset in the design, development, deployment, and uses of AI systems to minimize potential negative impacts.",GV-4.1-003,"Establish policies, procedures, and processes for oversight functions (e.g., senior leadership, legal, compliance, including internal evaluation) across the GAI lifecycle, from problem formulation and supply chains to system decommission.","Value Chain and Component
Integration","AI Actor Tasks: AI Deployment, AI Design, AI Development, Operation and Monitoring"
"GOVERN 4.2: Organizational teams document the risks and potential impacts of the AI technology they design, develop, deploy, evaluate, and use, and they communicate about the impacts more broadly.",GV-4.2-001,Establish terms of use and terms of service for GAI systems.,"Intellectual Property; Dangerous, Violent, or Hateful Content; Obscene, Degrading, and/or Abusive Content","AI Actor Tasks: AI Deployment, AI Design, AI Development, Operation and Monitoring"
"GOVERN 4.2: Organizational teams document the risks and potential impacts of the AI technology they design, develop, deploy, evaluate, and use, and they communicate about the impacts more broadly.",GV-4.2-002,Include relevant AI Actors in the GAI system risk identiﬁcation process.,Human-AI Conﬁguration,"AI Actor Tasks: AI Deployment, AI Design, AI Development, Operation and Monitoring"
"GOVERN 4.2: Organizational teams document the risks and potential impacts of the AI technology they design, develop, deploy, evaluate, and use, and they communicate about the impacts more broadly.",GV-4.2-003,Verify that downstream GAI system impacts (such as the use of third-party plugins) are included in the impact documentation process.,Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, AI Design, AI Development, Operation and Monitoring"
"GOVERN 4.3: Organizational practices are in place to enable AI testing, identiﬁcation of incidents, and information sharing.",GV4.3--001,"Establish policies for measuring the eﬀectiveness of employed content provenance methodologies (e.g., cryptography, watermarking, steganography, etc.)",Information Integrity,"AI Actor Tasks: AI Impact Assessment, Aﬀected Individuals and Communities, Governance and Oversight"
"GOVERN 4.3: Organizational practices are in place to enable AI testing, identiﬁcation of incidents, and information sharing.",GV-4.3-002,"Establish organizational practices to identify the minimum set of criteria necessary for GAI system incident reporting such as: System ID (auto-generated most likely), Title, Reporter, System/Source, Data Reported, Date of Incident, Description, Impact(s), Stakeholder(s) Impacted.",Information Security,"AI Actor Tasks: AI Impact Assessment, Aﬀected Individuals and Communities, Governance and Oversight"
"GOVERN 4.3: Organizational practices are in place to enable AI testing, identiﬁcation of incidents, and information sharing.",GV-4.3-003,Verify information sharing and feedback mechanisms among individuals and organizations regarding any negative impact from GAI systems.,Information Integrity; Data Privacy,"AI Actor Tasks: AI Impact Assessment, Aﬀected Individuals and Communities, Governance and Oversight"
"GOVERN 5.1: Organizational policies and practices are in place to collect, consider, prioritize, and integrate feedback from those external to the team that developed or deployed the AI system regarding the potential individual and societal impacts related to AI risks.",GV-5.1-001,"Allocate time and resources for outreach, feedback, and recourse processes in GAI
system development.","Human-AI Conﬁguration; Harmful
Bias and Homogenization","AI Actor Tasks: AI Design, AI Impact Assessment, Aﬀected Individuals and Communities, Governance and Oversight"
"GOVERN 5.1: Organizational policies and practices are in place to collect, consider, prioritize, and integrate feedback from those external to the team that developed or deployed the AI system regarding the potential individual and societal impacts related to AI risks.",GV-5.1-002,"Document interactions with GAI systems to users prior to interactive activities, particularly in contexts involving more signiﬁcant risks.",Human-AI Conﬁguration; Confabulation,"AI Actor Tasks: AI Design, AI Impact Assessment, Aﬀected Individuals and Communities, Governance and Oversight"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-001,"Categorize diﬀerent types of GAI content with associated third-party rights (e.g., copyright, intellectual property, data privacy).",Data Privacy; Intellectual Property; Value Chain and Component Integration,"AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-002,"Conduct joint educational activities and events in collaboration with third parties
to promote best practices for managing GAI risks.",Value Chain and Component Integration,"AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-003,"Develop and validate approaches for measuring the success of content provenance management eﬀorts with third parties (e.g., incidents detected and response times).",Information Integrity; Value Chain and Component Integration,"AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-004,"Draft and maintain well-deﬁned contracts and service level agreements (SLAs) that specify content ownership, usage rights, quality standards, security requirements, and content provenance expectations for GAI systems.","Information Integrity; Information
Security; Intellectual Property","AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-005,Implement a use-cased based supplier risk assessment framework to evaluate and monitor third-party entities’ performance and adherence to content provenance standards and technologies to detect anomalies and unauthorized changes; services acquisition and value chain risk management; and legal compliance.,Data Privacy; Information Integrity; Information Security; Intellectual Property; Value Chain and Component Integration,"AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-006,"Include clauses in contracts which allow an organization to evaluate third-party
GAI processes and standards.",Information Integrity,"AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-007,Inventory all third-party entities with access to organizational content and establish approved GAI technology and service provider lists.,"Value Chain and Component
Integration","AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-008,"Maintain records of changes to content made by third parties to promote content
provenance, including sources, timestamps, metadata.",Information Integrity; Value Chain and Component Integration; Intellectual Property,"AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-009,"Update and integrate due diligence processes for GAI acquisition and procurement vendor assessments to include intellectual property, data privacy, security, and other risks. For example, update processes to: Address solutions that may rely on embedded GAI technologies; Address ongoing monitoring, assessments, and alerting, dynamic risk assessments, and real-time reporting tools for monitoring third-party GAI risks; Consider policy adjustments across GAI modeling libraries, tools and APIs, ﬁne-tuned models, and embedded tools; Assess GAI vendors, open-source or proprietary GAI tools, or GAI service  providers against incident or vulnerability databases.",Data Privacy; Human-AI Conﬁguration; Information Security; Intellectual Property; Value Chain and Component Integration; Harmful Bias and Homogenization,"AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
"GOVERN 6.1: Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights.",GV-6.1-010,"Update GAI acceptable use policies to address proprietary and open-source GAI technologies and data, and contractors, consultants, and other third-party personnel.",Intellectual Property; Value Chain and Component Integration,"AI Actor Tasks: Operation and Monitoring, Procurement, Third-party entities"
GOVERN 6.2: Contingency processes are in place to handle failures or incidents in third-party data or AI systems deemed to be high-risk.,GV-6.2-001,Document GAI risks associated with system value chain to identify over-reliance on third-party data and to identify fallbacks.,Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities"
GOVERN 6.2: Contingency processes are in place to handle failures or incidents in third-party data or AI systems deemed to be high-risk.,GV-6.2-002,"Document incidents involving third-party GAI data and systems, including open- data and open-source software.",Intellectual Property; Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities"
GOVERN 6.2: Contingency processes are in place to handle failures or incidents in third-party data or AI systems deemed to be high-risk.,GV-6.2-003,"Establish incident response plans for third-party GAI technologies: Align incident response plans with impacts enumerated in MAP 5.1; Communicate third-party GAI incident response plans to all relevant AI Actors; Deﬁne ownership of GAI incident response functions; Rehearse third-party GAI incident response plans at a regular cadence; Improve incident response plans based on retrospective learning; Review incident response plans for alignment with relevant breach reporting, data protection, data privacy, or other laws.",Data Privacy; Human-AI Conﬁguration; Information Security; Value Chain and Component Integration; Harmful Bias and Homogenization,"AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities"
GOVERN 6.2: Contingency processes are in place to handle failures or incidents in third-party data or AI systems deemed to be high-risk.,GV-6.2-004,"Establish policies and procedures for continuous monitoring of third-party GAI
systems in deployment.",Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities"
GOVERN 6.2: Contingency processes are in place to handle failures or incidents in third-party data or AI systems deemed to be high-risk.,GV-6.2-005,"Establish policies and procedures that address GAI data redundancy, including model weights and other system artifacts.",Harmful Bias and Homogenization,"AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities"
GOVERN 6.2: Contingency processes are in place to handle failures or incidents in third-party data or AI systems deemed to be high-risk.,GV-6.2-006,"Establish policies and procedures to test and manage risks related to rollover and fallback technologies for GAI systems, acknowledging that rollover and fallback may include manual processing.",Information Integrity,"AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities"
GOVERN 6.2: Contingency processes are in place to handle failures or incidents in third-party data or AI systems deemed to be high-risk.,GV-6.2-007,"Review vendor contracts and avoid arbitrary or capricious termination of critical GAI technologies or vendor services and non-standard terms that may amplify or defer liability in unexpected ways and/or contribute to unauthorized data collection by vendors or third-parties (e.g., secondary data use). Consider: Clear assignment of liability and responsibility for incidents, GAI system changes over time (e.g., ﬁne-tuning, drift, decay); Request: Notiﬁcation and disclosure for serious incidents arising from third-party data and systems; Service Level Agreements (SLAs) in vendor contracts that address incident response, response times, and availability of critical support.",Human-AI Conﬁguration; Information Security; Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring, TEVV, Third-party entities"
"MANAGE 1.3: Responses to the AI risks deemed high priority, as identiﬁed by the MAP function, are developed, planned, and documented. Risk response options can include mitigating, transferring, avoiding, or accepting.",MG-1.3-001,"Document trade-oﬀs, decision processes, and relevant measurement and feedback results for risks that do not surpass organizational risk tolerance, for example, in the context of model release: Consider diﬀerent approaches for model release, for example, leveraging a staged release approach. Consider release approaches in the context of the model and its projected use cases. Mitigate, transfer, or avoid risks that surpass organizational risk tolerances.",Information Security,"AI Actor Tasks: AI Development, AI Deployment, AI Impact Assessment, Operation and Monitoring"
"MANAGE 1.3: Responses to the AI risks deemed high priority, as identiﬁed by the MAP function, are developed, planned, and documented. Risk response options can include mitigating, transferring, avoiding, or accepting.",MG-1.3-002,"Monitor the robustness and eﬀectiveness of risk controls and mitigation plans (e.g., via red-teaming, ﬁeld testing, participatory engagements, performance assessments, user feedback mechanisms).",Human-AI Conﬁguration,"AI Actor Tasks: AI Development, AI Deployment, AI Impact Assessment, Operation and Monitoring"
MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed AI systems.,MG-2.2-001,"Compare GAI system outputs against pre-deﬁned organization risk tolerance, guidelines, and principles, and review and test AI-generated content against these guidelines.","CBRN Information or Capabilities; Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content","AI Actor Tasks: AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring"
MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed AI systems.,MG-2.2-002,Document training data sources to trace the origin and provenance of AI- generated content.,Information Integrity,"AI Actor Tasks: AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring"
MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed AI systems.,MG-2.2-003,"Evaluate feedback loops between GAI system content provenance and human reviewers, and update where needed. Implement real-time monitoring systems to aﬃrm that content provenance protocols remain eﬀective.",Information Integrity,"AI Actor Tasks: AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring"
MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed AI systems.,MG-2.2-004,"Evaluate GAI content and data for representational biases and employ techniques such as re-sampling, re-ranking, or adversarial training to mitigate biases in the generated content.",Information Security; Harmful Bias and Homogenization,"AI Actor Tasks: AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring"
MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed AI systems.,MG-2.2-005,"Engage in due diligence to analyze GAI output for harmful content, potential misinformation, and CBRN-related or NCII content.","CBRN Information or Capabilities; Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content","AI Actor Tasks: AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring"
MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed AI systems.,MG-2.2-006,"Use feedback from internal and external AI Actors, users, individuals, and communities, to assess impact of AI-generated content.",Human-AI Conﬁguration,"AI Actor Tasks: AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring"
MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed AI systems.,MG-2.2-007,Use real-time auditing tools where they can be demonstrated to aid in the tracking and validation of the lineage and authenticity of AI-generated data.,Information Integrity,"AI Actor Tasks: AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring"
MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed AI systems.,MG-2.2-008,Use structured feedback mechanisms to solicit and capture user input about AI- generated content to detect subtle shifts in quality or alignment with community and societal values.,"Human-AI Conﬁguration; Harmful
Bias and Homogenization","AI Actor Tasks: AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring"
MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed AI systems.,MG-2.2-009,"Consider opportunities to responsibly use synthetic data and other privacy enhancing techniques in GAI development, where appropriate and applicable, match the statistical properties of real-world data without disclosing personally identiﬁable information or contributing to homogenization.",Data Privacy; Intellectual Property; Information Integrity; Confabulation; Harmful Bias and Homogenization,"AI Actor Tasks: AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring"
MANAGE 2.3: Procedures are followed to respond to and recover from a previously unknown risk when it is identiﬁed.,MG-2.3-001,"Develop and update GAI system incident response and recovery plans and procedures to address the following: Review and maintenance of policies and procedures to account for newly encountered uses; Review and maintenance of policies and procedures for detection of unanticipated uses; Verify response and recovery plans account for the GAI system value chain; Verify response and recovery plans are updated for and include necessary details to communicate with downstream GAI system Actors: Points-of-Contact (POC), Contact information, notiﬁcation format.",Value Chain and Component Integration,"AI Actor Tasks: AI Deployment, Operation and Monitoring"
"MANAGE 2.4: Mechanisms are in place and applied, and responsibilities are assigned and understood, to supersede, disengage, or deactivate AI systems that demonstrate performance or outcomes inconsistent with intended use.",MG-2.4-001,"Establish and maintain communication plans to inform AI stakeholders as part of the deactivation or disengagement process of a speciﬁc GAI system (including for open-source models) or context of use, including reasons, workarounds, user access removal, alternative processes, contact information, etc.",Human-AI Conﬁguration,"AI Actor Tasks: AI Deployment, Governance and Oversight, Operation and Monitoring"
"MANAGE 2.4: Mechanisms are in place and applied, and responsibilities are assigned and understood, to supersede, disengage, or deactivate AI systems that demonstrate performance or outcomes inconsistent with intended use.",MG-2.4-002,Establish and maintain procedures for escalating GAI system incidents to the organizational risk management authority when speciﬁc criteria for deactivation or disengagement is met for a particular context of use or for the GAI system as a whole.,Information Security,"AI Actor Tasks: AI Deployment, Governance and Oversight, Operation and Monitoring"
